Season,Team ID,Team ABV,Team,ATL,BOS,CHH,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MIA,MIL,MIN,NJN,NYK,ORL,PHI,PHO,POR,SAC,SAS,SEA,TOR,UTA,VAN,WSB
1997,1,ATL,Atlanta Hawks,,3-1,1-3,1-3,3-1,2-0,1-1,1-3,2-0,1-1,3-1,2-0,1-1,1-2,4-0,2-0,3-1,1-3,3-1,4-0,1-1,2-0,2-0,2-0,1-1,4-0,1-1,2-0,2-1
1997,2,BOS,Boston Celtics,1-3,,0-4,0-4,1-2,1-1,1-1,0-4,1-1,0-2,1-2,0-2,1-1,0-4,1-3,0-2,0-4,0-4,0-4,1-3,1-1,1-1,0-2,1-1,0-2,3-1,0-2,0-2,0-4
1997,4,CHO,Charlotte Hornets,3-1,4-0,,0-4,3-1,1-1,2-0,2-2,2-0,2-0,2-2,1-1,1-1,1-2,2-2,2-0,4-0,3-1,1-2,4-0,1-1,0-2,2-0,2-0,2-0,2-2,0-2,2-0,3-1
1997,5,CHI,Chicago Bulls,3-1,4-0,4-0,,3-1,2-0,2-0,3-1,2-0,1-1,4-0,2-0,1-1,2-2,4-0,2-0,3-1,2-2,3-0,4-0,2-0,2-0,2-0,2-0,2-0,3-1,1-1,2-0,2-1
1997,6,CLE,Cleveland Cavaliers,1-3,2-1,1-3,1-3,,2-0,1-1,2-2,1-1,0-2,3-1,2-0,1-1,0-4,2-2,2-0,4-0,1-3,2-2,3-0,1-1,1-1,2-0,0-2,0-2,3-1,1-1,2-0,1-3
1997,7,DAL,Dallas Mavericks,0-2,1-1,1-1,0-2,0-2,,3-1,0-2,0-4,0-4,1-1,2-2,0-4,0-2,0-2,1-3,1-1,1-1,1-1,2-0,1-3,1-3,2-2,1-3,1-3,0-2,1-3,3-1,0-2
1997,8,DEN,Denver Nuggets,1-1,1-1,0-2,0-2,1-1,1-3,,0-2,1-3,1-3,0-2,1-3,0-4,0-2,1-1,0-4,1-1,0-2,0-2,1-1,2-2,0-4,2-2,2-2,0-4,1-1,0-4,3-1,1-1
1997,9,DET,Detroit Pistons,3-1,4-0,2-2,1-3,2-2,2-0,2-0,,2-0,1-1,3-1,2-0,1-1,0-4,3-1,2-0,4-0,1-2,2-2,2-1,0-2,1-1,1-1,2-0,1-1,3-1,1-1,2-0,4-0
1997,10,GSW,Golden State Warriors,0-2,1-1,0-2,0-2,1-1,4-0,3-1,0-2,,0-4,1-1,1-3,0-4,0-2,1-1,1-3,2-0,0-2,1-1,2-0,0-4,2-2,1-3,4-0,0-4,2-0,0-4,3-1,0-2
1997,11,HOU,Houston Rockets,1-1,2-0,0-2,1-1,2-0,4-0,3-1,1-1,4-0,,1-1,3-1,3-1,0-2,1-1,4-0,2-0,1-1,0-2,2-0,2-2,2-2,4-0,3-1,3-1,1-1,2-2,3-1,2-0
1997,12,IND,Indiana Pacers,1-3,2-1,2-2,0-4,1-3,1-1,2-0,1-3,1-1,1-1,,2-0,1-1,1-3,2-2,2-0,2-2,1-3,1-3,3-0,1-1,1-1,1-1,1-1,1-1,4-0,0-2,2-0,1-3
1997,13,LAC,Los Angeles Clippers,0-2,2-0,1-1,0-2,0-2,2-2,3-1,0-2,3-1,1-3,0-2,,2-2,0-2,2-0,1-3,1-1,0-2,1-1,1-1,2-2,0-4,2-2,4-0,1-3,2-0,1-3,4-0,0-2
1997,14,LAL,Los Angeles Lakers,1-1,1-1,1-1,1-1,1-1,4-0,4-0,1-1,4-0,1-3,1-1,2-2,,1-1,2-0,3-1,2-0,1-1,1-1,2-0,4-0,1-3,4-0,2-2,3-1,1-1,1-3,4-0,2-0
1997,16,MIA,Miami Heat,2-1,4-0,2-1,2-2,4-0,2-0,2-0,4-0,2-0,2-0,3-1,2-0,1-1,,4-0,1-1,3-1,1-3,2-2,3-1,2-0,1-1,2-0,2-0,0-2,3-1,0-2,2-0,3-1
1997,17,MIL,Milwaukee Bucks,0-4,3-1,2-2,0-4,2-2,2-0,1-1,1-3,1-1,1-1,2-2,0-2,0-2,0-4,,0-2,2-1,1-2,2-2,3-1,1-1,0-2,0-2,1-1,1-1,3-1,1-1,2-0,1-3
1997,18,MIN,Minnesota Timberwolves,0-2,2-0,0-2,0-2,0-2,3-1,4-0,0-2,3-1,0-4,0-2,3-1,1-3,1-1,2-0,,2-0,1-1,1-1,1-1,3-1,2-2,0-4,4-0,0-4,1-1,1-3,4-0,1-1
1997,3,NJN,New Jersey Nets,1-3,4-0,0-4,1-3,0-4,1-1,1-1,0-4,0-2,0-2,2-2,1-1,0-2,1-3,1-2,0-2,,2-2,1-3,2-2,1-1,0-2,1-1,2-0,1-1,0-3,0-2,2-0,1-3
1997,20,NYK,New York Knicks,3-1,4-0,1-3,2-2,3-1,1-1,2-0,2-1,2-0,1-1,3-1,2-0,1-1,3-1,2-1,1-1,2-2,,3-1,3-2,1-1,1-1,2-0,2-0,0-2,3-0,1-1,2-0,4-0
1997,22,ORL,Orlando Magic,1-3,4-0,2-1,0-3,2-2,1-1,2-0,2-2,1-1,2-0,3-1,1-1,1-1,2-2,2-2,1-1,3-1,1-3,,2-2,1-1,2-0,1-1,1-1,1-1,4-0,0-2,1-1,1-3
1997,23,PHI,Philadelphia 76Ers,0-4,3-1,0-4,0-4,0-3,0-2,1-1,1-2,0-2,0-2,0-3,1-1,0-2,1-3,1-3,1-1,2-2,2-3,2-2,,1-1,1-1,0-2,1-1,0-2,1-3,0-2,2-0,1-3
1997,24,PHO,Phoenix Suns,1-1,1-1,1-1,0-2,1-1,3-1,2-2,2-0,4-0,2-2,1-1,2-2,0-4,0-2,1-1,1-3,1-1,1-1,1-1,1-1,,1-3,4-0,3-1,2-2,0-2,1-3,2-2,1-1
1997,25,POR,Portland Trail Blazers,0-2,1-1,2-0,0-2,1-1,3-1,4-0,1-1,2-2,2-2,1-1,4-0,3-1,1-1,2-0,2-2,2-0,1-1,0-2,1-1,3-1,,2-2,4-0,1-3,0-2,2-2,4-0,0-2
1997,26,SAC,Sacramento Kings,0-2,2-0,0-2,0-2,0-2,2-2,2-2,1-1,3-1,0-4,1-1,2-2,0-4,0-2,2-0,4-0,1-1,0-2,1-1,2-0,0-4,2-2,,3-1,1-3,1-1,0-4,4-0,0-2
1997,27,SAS,San Antonio Spurs,0-2,1-1,0-2,0-2,2-0,3-1,2-2,0-2,0-4,1-3,1-1,0-4,2-2,0-2,1-1,0-4,0-2,0-2,1-1,1-1,1-3,0-4,1-3,,0-4,1-1,1-3,1-3,0-2
1997,21,SEA,Seattle Supersonics,1-1,2-0,0-2,0-2,2-0,3-1,4-0,1-1,4-0,1-3,1-1,3-1,1-3,2-0,1-1,4-0,1-1,2-0,1-1,2-0,2-2,3-1,3-1,4-0,,2-0,1-3,4-0,2-0
1997,28,TOR,Toronto Raptors,0-4,1-3,2-2,1-3,1-3,2-0,1-1,1-3,0-2,1-1,0-4,0-2,1-1,1-3,1-3,1-1,3-0,0-3,0-4,3-1,2-0,2-0,1-1,1-1,0-2,,1-1,1-1,2-2
1997,29,UTA,Utah Jazz,1-1,2-0,2-0,1-1,1-1,3-1,4-0,1-1,4-0,2-2,2-0,3-1,3-1,2-0,1-1,3-1,2-0,1-1,2-0,2-0,3-1,2-2,4-0,3-1,3-1,1-1,,4-0,2-0
1997,15,VAN,Vancouver Grizzlies,0-2,2-0,0-2,0-2,0-2,1-3,1-3,0-2,1-3,1-3,0-2,0-4,0-4,0-2,0-2,0-4,0-2,0-2,1-1,0-2,2-2,0-4,0-4,3-1,0-4,1-1,0-4,,1-1
1997,30,WAB,Washington Bullets,1-2,4-0,1-3,1-2,3-1,2-0,1-1,0-4,2-0,0-2,3-1,2-0,0-2,1-3,3-1,1-1,3-1,0-4,3-1,3-1,1-1,2-0,2-0,2-0,0-2,2-2,0-2,1-1,
