Season,Team ID,Team ABV,Team,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
2017,1,ATL,Atlanta Hawks,,2-1,2-2,3-1,1-3,3-1,2-0,2-0,1-2,0-2,2-0,1-2,0-2,0-2,1-1,2-2,3-1,0-2,1-1,3-1,1-1,2-2,4-0,1-1,1-1,1-1,1-1,2-1,0-2,1-3
2017,2,BOS,Boston Celtics,1-2,,4-0,2-2,4-0,1-3,2-0,0-2,3-1,1-1,1-1,3-0,1-1,2-0,2-0,4-0,2-1,2-0,1-1,3-1,0-2,3-0,3-1,1-1,1-1,1-1,0-2,1-3,2-0,2-2
2017,3,BRK,Brooklyn Nets,2-2,0-4,,1-3,1-3,0-3,0-2,1-1,2-1,0-2,0-2,1-3,1-1,1-1,1-1,0-3,0-4,1-1,1-1,2-2,0-2,1-2,1-3,2-0,0-2,1-1,0-2,0-4,0-2,0-4
2017,5,CHI,Chicago Bulls,1-3,2-2,3-1,,2-1,4-0,0-2,0-2,2-2,1-1,0-2,2-2,0-2,1-1,1-1,2-1,1-3,0-2,2-0,0-3,1-1,3-1,3-1,1-1,1-1,2-0,1-1,2-1,2-0,1-3
2017,4,CHO,Charlotte Hornets,3-1,0-4,3-1,1-2,,0-4,2-0,2-0,1-3,0-2,0-2,2-2,0-2,2-0,1-1,2-2,1-2,1-1,0-2,1-2,2-0,4-0,1-2,1-1,1-1,1-1,0-2,2-2,1-1,1-3
2017,6,CLE,Cleveland Cavaliers,1-3,3-1,3-0,0-4,4-0,,1-1,1-1,2-2,1-1,1-1,3-1,0-2,2-0,1-1,1-3,3-1,2-0,1-1,4-0,1-1,3-0,3-0,2-0,1-1,1-1,0-2,3-1,1-1,2-1
2017,7,DAL,Dallas Mavericks,0-2,0-2,2-0,2-0,0-2,1-1,,1-3,0-2,0-3,0-4,1-1,2-2,4-0,2-2,1-1,2-0,1-2,2-2,1-1,1-2,1-1,1-1,1-3,2-2,1-2,1-3,0-2,1-3,2-0
2017,8,DEN,Denver Nuggets,0-2,2-0,1-1,2-0,0-2,1-1,3-1,,0-2,1-2,0-4,2-0,3-1,2-1,0-3,1-1,2-0,2-2,3-1,2-0,1-3,2-0,1-1,4-0,1-3,2-2,0-3,0-2,2-2,0-2
2017,9,DET,Detroit Pistons,2-1,1-3,1-2,2-2,3-1,2-2,2-0,2-0,,0-2,1-1,0-4,1-1,2-0,1-1,2-2,1-3,2-0,1-1,2-2,1-1,1-3,2-1,1-1,2-0,0-2,0-2,1-3,0-2,1-2
2017,10,GSW,Golden State Warriors,2-0,1-1,2-0,1-1,2-0,1-1,3-0,2-1,2-0,,3-1,2-0,4-0,3-1,2-2,1-1,2-0,3-1,4-0,2-0,4-0,2-0,2-0,4-0,4-0,3-1,1-2,2-0,2-1,1-1
