Season,Team ID,Team ABV,Team,ATL,BOS,CHA,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NJN,NOH,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
2009,1,ATL,Atlanta Hawks,,0-4,3-1,3-0,1-3,1-1,1-1,3-0,1-1,1-1,3-1,1-1,1-1,1-1,3-1,3-1,2-0,1-3,2-0,1-2,2-0,1-3,1-2,0-2,1-1,2-0,0-2,3-1,1-1,4-0
2009,2,BOS,Boston Celtics,4-0,,2-1,2-1,2-2,2-0,1-1,3-1,1-1,1-1,3-1,1-1,0-2,2-0,3-1,2-1,2-0,4-0,2-0,3-1,2-0,2-2,4-0,2-0,1-1,2-0,1-1,4-0,1-1,3-0
2009,4,CHA,Charlotte Bobcats,1-3,1-2,,2-1,0-3,0-2,0-2,1-3,1-1,0-2,2-2,2-0,2-0,2-0,1-3,1-3,1-1,1-2,1-1,2-2,1-1,0-4,3-1,1-1,1-1,2-0,0-2,2-2,1-1,3-1
2009,5,CHI,Chicago Bulls,0-3,1-2,1-2,,1-3,1-1,1-1,3-1,2-0,1-1,2-2,2-0,0-2,1-1,1-3,3-1,0-2,3-1,2-0,2-1,1-1,1-3,2-2,2-0,0-2,2-0,0-2,1-3,2-0,3-1
2009,6,CLE,Cleveland Cavaliers,3-1,2-2,3-0,3-1,,2-0,2-0,3-1,2-0,1-1,3-1,2-0,0-2,2-0,3-1,4-0,2-0,3-0,1-1,4-0,2-0,1-2,3-1,2-0,2-0,2-0,2-0,3-0,2-0,2-2
2009,7,DAL,Dallas Mavericks,1-1,0-2,2-0,1-1,0-2,,0-4,2-0,2-1,2-2,2-0,3-1,0-3,2-2,2-0,1-1,4-0,1-1,1-3,2-0,2-1,1-1,2-0,3-1,3-0,3-1,2-2,2-0,2-2,2-0
2009,8,DEN,Denver Nuggets,1-1,1-1,2-0,1-1,0-2,4-0,,0-2,2-1,1-3,1-1,4-0,1-3,3-0,2-0,1-1,4-0,1-1,2-2,2-0,4-0,1-1,2-0,1-2,2-2,3-1,2-1,2-0,2-2,2-0
2009,9,DET,Detroit Pistons,0-3,1-3,3-1,1-3,1-3,0-2,2-0,,2-0,0-2,2-2,2-0,1-1,1-1,1-3,3-1,1-1,2-2,0-2,2-2,1-1,3-0,1-2,0-2,0-2,2-0,1-1,3-0,0-2,3-1
2009,10,GSW,Golden State Warriors,1-1,1-1,1-1,0-2,0-2,1-2,1-2,0-2,,0-4,1-1,3-1,0-4,0-3,0-2,1-1,2-2,2-0,2-2,1-1,2-2,0-2,1-1,1-3,2-1,2-2,0-4,1-1,2-2,1-1
2009,11,HOU,Houston Rockets,1-1,1-1,2-0,1-1,1-1,2-2,3-1,2-0,4-0,,0-2,3-1,0-4,2-2,2-0,1-1,4-0,2-0,3-1,1-1,3-0,2-0,0-2,2-1,2-1,3-0,2-2,1-1,2-2,1-1
2009,12,IND,Indiana Pacers,1-3,1-3,2-2,2-2,1-3,0-2,1-1,2-2,1-1,2-0,,1-1,1-1,1-1,2-1,2-2,1-1,2-1,0-2,1-2,2-0,1-3,2-2,1-1,0-2,2-0,0-2,2-2,0-2,2-1
2009,13,LAC,Los Angeles Clippers,1-1,1-1,0-2,0-2,0-2,1-3,0-4,0-2,1-3,1-3,1-1,,0-4,1-2,1-1,1-1,1-2,1-1,0-3,2-0,3-1,0-2,0-2,0-4,1-3,1-3,0-4,0-2,0-3,1-1
2009,14,LAL,Los Angeles Lakers,1-1,2-0,0-2,2-0,2-0,3-0,3-1,1-1,4-0,4-0,1-1,4-0,,4-0,1-1,2-0,4-0,2-0,3-1,2-0,3-0,0-2,1-1,3-1,2-2,3-1,2-1,2-0,2-1,2-0
2009,15,MEM,Memphis Grizzlies,1-1,0-2,0-2,1-1,0-2,2-2,0-3,1-1,3-0,2-2,1-1,2-1,0-4,,1-1,1-1,0-3,0-2,1-3,0-2,1-3,1-1,0-2,1-3,0-4,2-2,0-4,1-1,0-4,2-0
2009,16,MIA,Miami Heat,1-3,1-3,3-1,3-1,1-3,0-2,0-2,3-1,2-0,0-2,1-2,1-1,1-1,1-1,,2-1,1-1,3-1,0-2,2-1,2-0,1-3,2-2,2-0,0-2,2-0,1-1,1-2,2-0,4-0
