Season,Team ID,Team ABV,Team,ATL,BOS,CHH,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MIA,MIL,MIN,NJN,NYK,ORL,PHI,PHO,POR,SAC,SAS,SEA,TOR,UTA,VAN,WAS
2000,1,ATL,Atlanta Hawks,,1-3,1-3,3-1,3-1,0-2,1-1,1-3,0-2,1-1,1-3,1-1,0-2,2-2,0-4,1-1,3-1,2-1,0-3,0-4,0-2,0-2,2-0,0-2,1-1,2-2,0-2,1-1,1-3
2000,2,BOS,Boston Celtics,3-1,,1-3,2-2,2-2,1-1,2-0,0-3,1-1,1-1,1-3,1-1,0-2,1-3,1-2,0-2,3-1,2-2,2-2,1-3,1-1,0-2,1-1,0-2,1-1,2-2,1-1,1-1,3-1
2000,4,CHO,Charlotte Hornets,3-1,3-1,,4-0,3-1,1-1,1-1,2-2,2-0,1-1,2-2,2-0,0-2,2-2,3-1,2-0,2-1,1-3,2-2,3-1,1-1,0-2,0-2,0-2,1-1,3-1,0-2,2-0,3-0
2000,5,CHI,Chicago Bulls,1-3,2-2,0-4,,1-3,0-2,1-1,1-3,0-2,0-2,1-3,2-0,0-2,2-2,1-3,0-2,2-1,0-3,0-4,0-4,0-2,0-2,0-2,0-2,1-1,0-4,0-2,0-2,2-2
2000,6,CLE,Cleveland Cavaliers,1-3,2-2,1-3,3-1,,2-0,2-0,2-2,1-1,1-1,0-4,2-0,0-2,0-3,1-3,0-2,2-2,3-1,2-1,0-4,0-2,1-1,0-2,1-1,0-2,0-4,0-2,2-0,3-1
2000,7,DAL,Dallas Mavericks,2-0,1-1,1-1,2-0,0-2,,3-1,2-0,4-0,1-3,1-1,4-0,1-3,0-2,0-2,2-2,0-2,0-2,1-1,0-2,3-1,2-2,1-3,2-2,1-3,1-1,1-3,3-1,1-1
2000,8,DEN,Denver Nuggets,1-1,0-2,1-1,1-1,0-2,1-3,,1-1,2-2,2-2,0-2,3-1,1-3,0-2,2-0,2-2,1-1,1-1,0-2,2-0,1-3,2-2,2-2,1-3,1-3,2-0,2-2,2-2,1-1
2000,9,DET,Detroit Pistons,3-1,3-0,2-2,3-1,2-2,0-2,1-1,,2-0,1-1,1-3,2-0,0-2,2-2,3-1,0-2,2-1,1-3,2-2,2-2,0-2,1-1,0-2,1-1,2-0,2-2,0-2,2-0,2-2
2000,10,GSW,Golden State Warriors,2-0,1-1,0-2,2-0,1-1,0-4,2-2,0-2,,1-3,0-2,1-3,0-4,1-1,1-1,1-3,0-2,0-2,1-1,0-2,0-4,0-4,1-3,0-4,0-4,0-2,0-4,3-1,1-1
2000,11,HOU,Houston Rockets,1-1,1-1,1-1,2-0,1-1,3-1,2-2,1-1,3-1,,0-2,4-0,2-2,1-1,0-2,0-4,1-1,0-2,0-2,1-1,2-2,2-2,1-3,0-4,1-3,0-2,1-3,2-2,1-1
2000,12,IND,Indiana Pacers,3-1,3-1,2-2,3-1,4-0,1-1,2-0,3-1,2-0,2-0,,1-1,1-1,2-2,2-2,1-1,3-1,2-2,2-1,2-2,1-1,2-0,1-1,1-1,1-1,3-1,2-0,2-0,2-1
2000,13,LAC,Los Angeles Clippers,1-1,1-1,0-2,0-2,0-2,0-4,1-3,0-2,3-1,0-4,1-1,,0-4,0-2,0-2,1-3,1-1,1-1,0-2,1-1,0-4,0-4,1-3,0-4,1-3,0-2,0-4,1-3,1-1
2000,14,LAL,Los Angeles Lakers,2-0,2-0,2-0,2-0,2-0,3-1,3-1,2-0,4-0,2-2,1-1,4-0,,2-0,2-0,4-0,2-0,2-0,2-0,2-0,4-0,2-2,3-1,1-3,3-1,1-1,3-1,4-0,1-1
2000,16,MIA,Miami Heat,2-2,3-1,2-2,2-2,3-0,2-0,2-0,2-2,1-1,1-1,2-2,2-0,0-2,,2-2,2-0,2-2,3-1,3-1,3-1,1-1,1-1,2-0,1-1,1-1,1-2,1-1,1-1,4-0
2000,17,MIL,Milwaukee Bucks,4-0,2-1,1-3,3-1,3-1,2-0,0-2,1-3,1-1,2-0,2-2,2-0,0-2,2-2,,0-2,1-3,0-4,4-0,0-3,1-1,0-2,1-1,2-0,1-1,2-2,1-1,1-1,3-1
2000,18,MIN,Minnesota Timberwolves,1-1,2-0,0-2,2-0,2-0,2-2,2-2,2-0,3-1,4-0,1-1,3-1,0-4,0-2,2-0,,1-1,1-1,1-1,1-1,1-3,2-2,3-1,3-1,2-2,2-0,3-1,4-0,0-2
2000,3,NJN,New Jersey Nets,1-3,1-3,1-2,1-2,2-2,2-0,1-1,1-2,2-0,1-1,1-3,1-1,0-2,2-2,3-1,1-1,,1-3,3-2,1-3,0-2,1-1,1-1,0-2,0-2,2-2,0-2,0-2,1-3
