Season,Team ID,Team ABV,Team,ATL,BOS,CHA,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NJN,NOK,NYK,ORL,PHI,PHO,POR,SAC,SAS,SEA,TOR,UTA,WAS
2006,1,ATL,Atlanta Hawks,,2-1,1-3,0-3,1-2,0-2,1-1,1-3,1-1,1-1,4-0,0-2,1-1,0-2,1-3,1-3,1-1,1-3,1-1,2-2,2-2,1-2,0-2,0-2,0-2,1-1,0-2,1-3,0-2,1-3
2006,2,BOS,Boston Celtics,1-2,,2-1,0-4,0-4,0-2,1-1,0-3,1-1,1-1,3-1,1-1,1-1,1-1,1-3,0-3,1-1,1-3,2-0,3-1,1-3,3-1,0-2,2-0,1-1,0-2,0-2,3-1,2-0,1-3
2006,4,CHA,Charlotte Bobcats,3-1,1-2,,2-2,0-3,0-2,0-2,0-4,1-1,1-1,2-2,0-2,1-1,0-2,0-4,0-3,1-1,1-3,0-2,3-0,1-3,3-1,0-2,1-1,1-1,0-2,1-1,1-3,1-1,1-3
2006,5,CHI,Chicago Bulls,3-0,4-0,2-2,,0-4,0-2,1-1,0-4,1-1,1-1,2-2,1-1,1-1,1-1,1-2,2-2,1-1,2-1,1-1,2-1,3-1,2-2,0-2,1-1,0-2,1-1,0-2,4-0,1-1,3-1
2006,6,CLE,Cleveland Cavaliers,2-1,4-0,3-0,4-0,,1-1,1-1,1-3,0-2,1-1,3-1,1-1,1-1,1-1,2-2,3-1,1-1,2-2,2-0,1-2,3-1,2-2,1-1,1-1,1-1,1-1,1-1,3-0,2-0,1-3
2006,7,DAL,Dallas Mavericks,2-0,2-0,2-0,2-0,1-1,,3-1,1-1,1-3,4-0,2-0,3-1,1-2,3-1,2-0,1-1,2-1,1-1,4-0,1-1,1-1,1-1,2-2,4-0,2-1,2-2,3-0,2-0,3-1,2-0
2006,8,DEN,Denver Nuggets,1-1,1-1,2-0,1-1,1-1,1-3,,1-1,2-1,2-2,2-0,1-3,1-2,2-1,2-0,1-1,3-1,0-2,2-1,2-0,1-1,1-1,1-3,4-0,1-3,2-2,2-2,2-0,1-3,1-1
2006,9,DET,Detroit Pistons,3-1,3-0,4-0,4-0,3-1,1-1,1-1,,2-0,2-0,3-1,2-0,1-1,2-0,3-1,3-1,2-0,2-2,2-0,3-1,2-1,3-0,2-0,2-0,2-0,2-0,2-0,3-1,0-2,0-3
2006,10,GSW,Golden State Warriors,1-1,1-1,1-1,1-1,2-0,3-1,1-2,0-2,,1-3,0-2,1-3,0-4,0-3,1-1,1-1,2-2,1-1,1-2,2-0,1-1,1-1,1-3,4-0,2-2,0-4,2-1,2-0,1-3,0-2
2006,11,HOU,Houston Rockets,1-1,1-1,1-1,1-1,1-1,0-4,2-2,0-2,3-1,,1-1,2-2,1-2,0-4,0-2,2-0,2-2,1-1,1-3,2-0,1-1,1-1,0-3,2-1,2-2,0-4,3-1,0-2,1-2,2-0
2006,12,IND,Indiana Pacers,0-4,1-3,2-2,2-2,1-3,0-2,0-2,1-3,2-0,1-1,,2-0,1-1,1-1,2-1,2-2,1-1,2-1,2-0,2-2,3-0,2-1,0-2,2-0,2-0,0-2,1-1,2-2,2-0,2-2
2006,13,LAC,Los Angeles Clippers,2-0,1-1,2-0,1-1,1-1,1-3,3-1,0-2,3-1,2-2,0-2,,2-2,1-3,1-1,2-0,3-1,1-1,1-2,2-0,2-0,1-1,2-2,3-0,0-4,1-2,3-1,2-0,2-1,2-0
2006,14,LAL,Los Angeles Lakers,1-1,1-1,1-1,1-1,1-1,2-1,2-1,1-1,4-0,2-1,1-1,2-2,,1-3,1-1,2-0,1-3,0-2,3-1,2-0,2-0,1-1,1-3,2-2,2-2,1-3,2-1,2-0,2-2,1-1
2006,15,MEM,Memphis Grizzlies,2-0,1-1,2-0,1-1,1-1,1-3,1-2,0-2,3-0,4-0,1-1,3-1,3-1,,0-2,1-1,3-1,1-1,1-3,2-0,2-0,0-2,2-1,2-1,2-2,0-4,3-1,2-0,3-1,2-0
2006,16,MIA,Miami Heat,3-1,3-1,4-0,2-1,2-2,0-2,0-2,1-3,1-1,2-0,1-2,1-1,1-1,2-0,,3-1,1-1,1-3,1-1,3-0,2-2,3-0,0-2,2-0,2-0,0-2,2-0,3-1,2-0,4-0
2006,17,MIL,Milwaukee Bucks,3-1,3-0,3-0,2-2,1-3,1-1,1-1,1-3,1-1,0-2,2-2,0-2,0-2,1-1,1-3,,1-1,1-3,1-1,3-1,2-2,3-1,1-1,2-0,0-2,1-1,1-1,2-1,0-2,2-1
2006,18,MIN,Minnesota Timberwolves,1-1,1-1,1-1,1-1,1-1,1-2,1-3,0-2,2-2,2-2,1-1,1-3,3-1,1-3,1-1,1-1,,1-1,1-2,2-0,1-1,0-2,1-2,2-2,2-1,0-4,2-2,0-2,1-3,1-1
2006,3,NJN,New Jersey Nets,3-1,3-1,3-1,1-2,2-2,1-1,2-0,2-2,1-1,1-1,1-2,1-1,2-0,1-1,3-1,3-1,1-1,,2-0,3-1,3-0,1-3,1-1,1-1,0-2,0-2,1-1,3-1,1-1,2-1
2006,19,NOK,New Orleans/Oklahoma City Hornets,1-1,0-2,2-0,1-1,0-2,0-4,1-2,0-2,2-1,3-1,0-2,2-1,1-3,3-1,1-1,1-1,2-1,0-2,,2-0,1-1,1-1,1-3,3-1,2-2,1-3,3-1,2-0,1-3,1-1
2006,20,NYK,New York Knicks,2-2,1-3,0-3,1-2,2-1,1-1,0-2,1-3,0-2,0-2,2-2,0-2,0-2,0-2,0-3,1-3,0-2,1-3,0-2,,1-3,1-3,1-1,1-1,1-1,0-2,2-0,1-3,2-0,1-3
2006,22,ORL,Orlando Magic,2-2,3-1,3-1,1-3,1-3,1-1,1-1,1-2,1-1,1-1,0-3,0-2,0-2,0-2,2-2,2-2,1-1,0-3,1-1,3-1,,3-1,1-1,1-1,1-1,1-1,1-1,1-2,1-1,2-2
2006,23,PHI,Philadelphia 76Ers,2-1,1-3,1-3,2-2,2-2,1-1,1-1,0-3,1-1,1-1,1-2,1-1,1-1,2-0,0-3,1-3,2-0,3-1,1-1,3-1,1-3,,0-2,1-1,2-0,1-1,1-1,3-1,0-2,2-2
2006,24,PHO,Phoenix Suns,2-0,2-0,2-0,2-0,1-1,2-2,3-1,0-2,3-1,3-0,2-0,2-2,3-1,1-2,2-0,1-1,2-1,1-1,3-1,1-1,1-1,2-0,,3-1,2-2,1-3,2-2,2-0,2-1,1-1
2006,25,POR,Portland Trail Blazers,2-0,0-2,1-1,1-1,1-1,0-4,0-4,0-2,0-4,1-2,0-2,0-3,2-2,1-2,0-2,0-2,2-2,1-1,1-3,1-1,1-1,1-1,1-3,,1-2,0-4,1-3,1-1,0-4,1-1
2006,26,SAC,Sacramento Kings,2-0,1-1,1-1,2-0,1-1,1-2,3-1,0-2,2-2,2-2,0-2,4-0,2-2,2-2,0-2,2-0,1-2,2-0,2-2,1-1,1-1,0-2,2-2,2-1,,1-2,3-1,1-1,3-1,0-2
2006,27,SAS,San Antonio Spurs,1-1,2-0,2-0,1-1,1-1,2-2,2-2,0-2,4-0,4-0,2-0,2-1,3-1,4-0,2-0,1-1,4-0,2-0,3-1,2-0,1-1,1-1,3-1,4-0,2-1,,2-1,2-0,3-0,1-1
2006,21,SEA,Seattle Supersonics,2-0,2-0,1-1,2-0,1-1,0-3,2-2,0-2,1-2,1-3,1-1,1-3,1-2,1-3,0-2,1-1,2-2,1-1,1-3,0-2,1-1,1-1,2-2,3-1,1-3,1-2,,1-1,3-1,1-1
2006,28,TOR,Toronto Raptors,3-1,1-3,3-1,0-4,0-3,0-2,0-2,1-3,0-2,2-0,2-2,0-2,0-2,0-2,1-3,1-2,2-0,1-3,0-2,3-1,2-1,1-3,0-2,1-1,1-1,0-2,1-1,,0-2,1-2
2006,29,UTA,Utah Jazz,2-0,0-2,1-1,1-1,0-2,1-3,3-1,2-0,3-1,2-1,0-2,1-2,2-2,1-3,0-2,2-0,3-1,1-1,3-1,0-2,1-1,2-0,1-2,4-0,1-3,0-3,1-3,2-0,,1-1
2006,30,WAS,Washington Wizards,3-1,3-1,3-1,1-3,3-1,0-2,1-1,3-0,2-0,0-2,2-2,0-2,1-1,0-2,0-4,1-2,1-1,1-2,1-1,3-1,2-2,2-2,1-1,1-1,2-0,1-1,1-1,2-1,1-1,
