Season,Team ID,Team ABV,Team,ATL,BOS,CHH,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MIA,MIL,MIN,NJN,NYK,ORL,PHI,PHO,POR,SAC,SAS,SEA,UTA,WSB
1995,1,ATL,Atlanta Hawks,,3-1,2-2,1-4,1-4,2-0,2-0,3-2,2-0,0-2,1-4,2-0,0-2,2-2,1-3,2-0,4-0,2-2,1-3,3-1,1-1,1-1,1-1,1-1,0-2,0-2,4-0
1995,2,BOS,Boston Celtics,1-3,,1-3,0-4,2-2,1-1,1-1,3-1,2-0,1-1,2-2,0-2,1-1,4-1,1-3,2-0,2-3,0-5,2-3,3-1,1-1,0-2,1-1,0-2,1-1,0-2,3-1
1995,4,CHO,Charlotte Hornets,2-2,3-1,,2-2,3-2,0-2,1-1,5-0,2-0,0-2,1-4,2-0,0-2,3-1,4-1,1-1,3-1,3-1,1-3,3-1,0-2,2-0,1-1,1-1,2-0,2-0,3-1
1995,5,CHI,Chicago Bulls,4-1,4-0,2-2,,2-3,1-1,1-1,5-0,2-0,1-1,2-2,1-1,1-1,3-1,1-4,2-0,2-2,3-1,1-3,4-0,1-1,1-1,0-2,1-1,0-2,0-2,2-2
1995,6,CLE,Cleveland Cavaliers,4-1,2-2,2-3,3-2,,0-2,1-1,2-2,2-0,0-2,2-3,1-1,1-1,1-3,4-0,1-1,4-0,2-2,1-3,3-1,1-1,1-1,1-1,0-2,0-2,1-1,3-1
1995,7,DAL,Dallas Mavericks,0-2,1-1,2-0,1-1,2-0,,1-4,1-1,3-1,2-3,1-1,3-1,1-3,0-2,1-1,4-1,1-1,0-2,0-2,2-0,0-4,3-1,2-2,2-3,0-4,2-4,1-1
1995,8,DEN,Denver Nuggets,0-2,1-1,1-1,1-1,1-1,4-1,,1-1,1-3,1-4,1-1,4-0,2-2,2-0,2-0,6-0,1-1,0-2,0-2,1-1,1-3,3-1,2-2,1-4,1-3,1-4,2-0
1995,9,DET,Detroit Pistons,2-3,1-3,0-5,0-5,2-2,1-1,1-1,,1-1,0-2,2-2,1-1,0-2,1-3,2-3,1-1,2-2,1-3,1-3,4-0,1-1,0-2,1-1,0-2,0-2,0-2,3-1
1995,10,GSW,Golden State Warriors,0-2,0-2,0-2,0-2,0-2,1-3,3-1,1-1,,0-4,0-2,3-2,3-2,1-1,0-2,1-3,1-1,1-1,0-2,1-1,3-2,1-4,0-5,1-3,1-4,2-2,2-0
1995,11,HOU,Houston Rockets,2-0,1-1,2-0,1-1,2-0,3-2,4-1,2-0,4-0,,1-1,3-1,0-4,2-0,1-1,3-2,2-0,0-2,0-2,2-0,3-1,1-3,3-1,1-5,0-4,2-3,2-0
1995,12,IND,Indiana Pacers,4-1,2-2,4-1,2-2,3-2,1-1,1-1,2-2,2-0,1-1,,2-0,1-1,2-2,3-2,2-0,3-1,1-3,2-2,4-0,1-1,1-1,2-0,2-0,1-1,0-2,3-1
1995,13,LAC,Los Angeles Clippers,0-2,2-0,0-2,1-1,1-1,1-3,0-4,1-1,2-3,1-3,0-2,,2-3,0-2,1-1,1-3,0-2,0-2,0-2,1-1,1-4,0-5,1-4,0-4,0-5,1-3,0-2
1995,14,LAL,Los Angeles Lakers,2-0,1-1,2-0,1-1,1-1,3-1,2-2,2-0,2-3,4-0,1-1,3-2,,1-1,1-1,3-1,2-0,0-2,1-1,1-1,1-4,2-3,3-2,1-3,4-1,2-2,2-0
1995,16,MIA,Miami Heat,2-2,1-4,1-3,1-3,3-1,2-0,0-2,3-1,1-1,0-2,2-2,2-0,1-1,,4-0,1-1,1-3,1-4,1-3,1-4,0-2,0-2,0-2,0-2,0-2,0-2,4-1
1995,17,MIL,Milwaukee Bucks,3-1,3-1,1-4,4-1,0-4,1-1,0-2,3-2,2-0,1-1,2-3,1-1,1-1,0-4,,1-1,2-2,2-2,0-4,3-1,0-2,0-2,1-1,0-2,0-2,0-2,3-1
1995,18,MIN,Minnesota Timberwolves,0-2,0-2,1-1,0-2,1-1,1-4,0-6,1-1,3-1,2-3,0-2,3-1,1-3,1-1,1-1,,1-1,0-2,1-1,1-1,0-4,0-4,1-3,0-5,0-4,1-4,1-1
1995,3,NJN,New Jersey Nets,0-4,3-2,1-3,2-2,0-4,1-1,1-1,2-2,1-1,0-2,1-3,2-0,0-2,3-1,2-2,1-1,,1-4,2-2,2-3,0-2,1-1,1-1,0-2,1-1,0-2,2-3
1995,20,NYK,New York Knicks,2-2,5-0,1-3,1-3,2-2,2-0,2-0,3-1,1-1,2-0,3-1,2-0,2-0,4-1,2-2,2-0,4-1,,2-3,4-0,1-1,1-1,2-0,1-1,0-2,0-2,4-0
1995,22,ORL,Orlando Magic,3-1,3-2,3-1,3-1,3-1,2-0,2-0,3-1,2-0,2-0,2-2,2-0,1-1,3-1,4-0,1-1,2-2,3-2,,4-1,1-1,2-0,1-1,1-1,0-2,1-1,3-2
1995,23,PHI,Philadelphia 76Ers,1-3,1-3,1-3,0-4,1-3,0-2,1-1,0-4,1-1,0-2,0-4,1-1,1-1,4-1,1-3,1-1,3-2,0-4,1-4,,0-2,2-0,1-1,0-2,0-2,0-2,3-2
1995,24,PHO,Phoenix Suns,1-1,1-1,2-0,1-1,1-1,4-0,3-1,1-1,2-3,1-3,1-1,4-1,4-1,2-0,2-0,4-0,2-0,1-1,1-1,2-0,,5-0,4-1,2-2,4-1,2-2,2-0
1995,25,POR,Portland Trail Blazers,1-1,2-0,0-2,1-1,1-1,1-3,1-3,2-0,4-1,3-1,1-1,5-0,3-2,2-0,2-0,4-0,1-1,1-1,0-2,0-2,0-5,,3-2,1-3,2-3,1-3,2-0
1995,26,SAC,Sacramento Kings,1-1,1-1,1-1,2-0,1-1,2-2,2-2,1-1,5-0,1-3,0-2,4-1,2-3,2-0,1-1,3-1,1-1,0-2,1-1,1-1,1-4,2-3,,0-4,3-2,0-4,1-1
