Season,Team ID,Team ABV,Team,ATL,BOS,CHH,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MIA,MIL,MIN,NJN,NYK,ORL,PHI,PHO,POR,SAC,SAS,SEA,UTA,WSB
1993,1,ATL,Atlanta Hawks,,2-2,3-2,2-2,0-5,1-1,2-0,2-3,2-0,1-1,2-2,1-1,1-1,3-1,3-2,2-0,1-3,2-2,1-3,3-1,0-2,1-1,1-1,2-0,1-1,2-0,2-2
1993,2,BOS,Boston Celtics,2-2,,3-1,1-3,3-1,2-0,2-0,1-3,2-0,1-1,2-2,1-1,1-1,3-1,2-2,2-0,4-0,1-4,3-2,4-1,0-2,2-0,1-1,1-1,0-2,0-2,4-1
1993,4,CHO,Charlotte Hornets,2-3,1-3,,2-3,1-3,2-0,1-1,4-1,2-0,0-2,0-5,1-1,1-1,2-2,3-1,2-0,2-2,1-3,3-1,4-0,0-2,1-1,2-0,1-1,1-1,1-1,4-0
1993,5,CHI,Chicago Bulls,2-2,3-1,3-2,,2-3,2-0,1-1,3-1,2-0,0-2,5-0,2-0,0-2,3-1,4-1,2-0,4-0,1-3,3-1,2-2,1-1,2-0,2-0,0-2,2-0,2-0,4-0
1993,6,CLE,Cleveland Cavaliers,5-0,1-3,3-1,3-2,,2-0,1-1,3-2,2-0,1-1,4-0,1-1,2-0,2-2,4-1,2-0,2-2,1-3,2-2,4-0,2-0,0-2,1-1,1-1,1-1,1-1,3-1
1993,7,DAL,Dallas Mavericks,1-1,0-2,0-2,0-2,0-2,,1-5,1-1,0-4,1-4,1-1,0-4,1-3,0-2,0-2,1-4,0-2,0-2,1-1,1-1,0-4,0-4,0-4,0-5,1-3,0-5,1-1
1993,8,DEN,Denver Nuggets,0-2,0-2,1-1,1-1,1-1,5-1,,1-1,3-1,2-3,1-1,2-2,1-3,0-2,1-1,3-2,1-1,1-1,0-2,1-1,1-3,1-3,3-1,1-4,1-3,2-3,2-0
1993,9,DET,Detroit Pistons,3-2,3-1,1-4,1-3,2-3,1-1,1-1,,0-2,1-1,3-2,1-1,1-1,1-3,2-2,1-1,3-1,2-2,3-1,3-1,0-2,1-1,2-0,0-2,0-2,0-2,4-0
1993,10,GSW,Golden State Warriors,0-2,0-2,0-2,0-2,0-2,4-0,1-3,2-0,,2-2,0-2,2-3,1-4,2-0,1-1,3-1,1-1,0-2,1-1,1-1,1-4,0-5,4-1,3-1,1-4,3-1,1-1
1993,11,HOU,Houston Rockets,1-1,1-1,2-0,2-0,1-1,4-1,3-2,1-1,2-2,,2-0,4-0,3-1,2-0,1-1,4-2,1-1,1-1,1-1,2-0,2-2,1-3,4-0,4-1,1-3,4-1,1-1
1993,12,IND,Indiana Pacers,2-2,2-2,5-0,0-5,0-4,1-1,1-1,2-3,2-0,0-2,,1-1,1-1,2-2,2-3,1-1,3-1,1-3,2-2,3-1,1-1,1-1,2-0,1-1,2-0,0-2,3-1
1993,13,LAC,Los Angeles Clippers,1-1,1-1,1-1,0-2,1-1,4-0,2-2,1-1,3-2,0-4,1-1,,3-2,0-2,2-0,4-0,0-2,2-0,1-1,1-1,3-2,2-3,3-2,0-4,1-4,2-2,2-0
1993,14,LAL,Los Angeles Lakers,1-1,1-1,1-1,2-0,0-2,3-1,3-1,1-1,4-1,1-3,1-1,2-3,,0-2,1-1,3-1,0-2,0-2,1-1,2-0,0-5,3-2,3-2,2-2,1-4,1-3,2-0
1993,16,MIA,Miami Heat,1-3,1-3,2-2,1-3,2-2,2-0,2-0,3-1,0-2,0-2,2-2,2-0,2-0,,2-2,2-0,2-3,0-5,3-2,1-3,0-2,1-1,1-1,1-1,1-1,0-2,2-3
1993,17,MIL,Milwaukee Bucks,2-3,2-2,1-3,1-4,1-4,2-0,1-1,2-2,1-1,1-1,3-2,0-2,1-1,2-2,,1-1,0-4,1-3,2-2,2-2,0-2,0-2,1-1,0-2,0-2,0-2,1-3
