Season,Team ID,Team ABV,Team,ATL,BOS,CHH,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MIA,MIL,MIN,NJN,NYK,ORL,PHI,PHO,POR,SAC,SAS,SEA,UTA,WSB
1992,1,ATL,Atlanta Hawks,,3-1,2-2,0-5,0-5,2-0,2-0,1-4,1-1,2-0,1-4,1-1,0-2,2-2,3-1,2-0,3-1,2-2,2-2,2-2,2-0,0-2,1-1,0-2,1-1,1-1,2-2
1992,2,BOS,Boston Celtics,1-3,,3-1,1-3,3-1,1-1,1-1,4-0,1-1,1-1,2-2,2-0,2-0,3-2,2-2,0-2,2-3,3-2,5-0,3-1,1-1,1-1,2-0,1-1,2-0,1-1,3-1
1992,4,CHO,Charlotte Hornets,2-2,1-3,,0-4,2-3,1-1,1-1,1-4,1-1,0-2,3-2,0-2,1-1,1-3,2-3,1-1,1-3,0-4,3-1,3-1,1-1,0-2,1-1,2-0,1-1,0-2,2-2
1992,5,CHI,Chicago Bulls,5-0,3-1,4-0,,3-2,2-0,2-0,4-1,1-1,1-1,3-1,2-0,1-1,4-0,3-2,2-0,4-0,4-0,3-1,3-1,1-1,2-0,2-0,1-1,2-0,1-1,4-0
1992,6,CLE,Cleveland Cavaliers,5-0,1-3,3-2,2-3,,1-1,1-1,3-1,1-1,1-1,5-0,1-1,2-0,3-1,3-1,2-0,2-2,4-0,3-1,4-0,1-1,0-2,2-0,1-1,1-1,1-1,4-0
1992,7,DAL,Dallas Mavericks,0-2,1-1,1-1,0-2,1-1,,3-2,0-2,0-4,4-2,1-1,1-3,0-4,1-1,1-1,3-2,0-2,0-2,1-1,0-2,2-2,0-4,1-3,0-5,0-4,1-4,0-2
1992,8,DEN,Denver Nuggets,0-2,1-1,1-1,0-2,1-1,2-3,,0-2,0-4,2-3,0-2,0-4,1-3,0-2,1-1,2-3,1-1,0-2,2-0,2-0,1-3,1-3,2-2,1-4,1-3,1-5,1-1
1992,9,DET,Detroit Pistons,4-1,0-4,4-1,1-4,1-3,2-0,2-0,,1-1,2-0,2-2,0-2,2-0,2-2,3-2,1-1,2-2,2-2,4-0,3-1,0-2,2-0,2-0,1-1,1-1,1-1,3-1
1992,10,GSW,Golden State Warriors,1-1,1-1,1-1,1-1,1-1,4-0,4-0,1-1,,2-2,2-0,3-2,3-2,1-1,2-0,4-0,2-0,1-1,2-0,1-1,3-2,2-3,5-0,2-2,3-2,1-3,2-0
1992,11,HOU,Houston Rockets,0-2,1-1,2-0,1-1,1-1,2-4,3-2,0-2,2-2,,1-1,2-2,2-2,2-0,1-1,3-2,1-1,1-1,2-0,1-1,1-3,3-1,3-1,3-2,1-3,1-4,2-0
