Season,Team ID,Team ABV,Team,ATL,BOS,CHH,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MIA,MIL,MIN,NJN,NYK,ORL,PHI,PHO,POR,SAC,SAS,SEA,UTA,WSB
1990,1,ATL,Atlanta Hawks,,1-3,2-0,0-5,2-3,0-2,1-1,3-2,2-0,2-0,2-3,1-1,0-2,4-0,3-2,1-1,2-2,1-3,5-0,2-2,0-2,1-1,1-1,1-1,1-1,1-1,2-2
1990,2,BOS,Boston Celtics,3-1,,2-0,2-2,3-1,1-1,1-1,2-2,1-1,2-0,1-3,1-1,0-2,5-0,2-2,1-1,5-1,4-1,4-0,3-2,1-1,0-2,2-0,1-1,2-0,1-1,2-3
1990,4,CHO,Charlotte Hornets,0-2,0-2,,0-2,1-1,1-3,3-2,0-2,2-2,1-4,1-1,2-2,0-4,1-1,0-2,2-2,1-1,1-1,1-1,0-2,1-3,0-4,1-3,0-5,0-4,0-5,0-2
1990,5,CHI,Chicago Bulls,5-0,2-2,2-0,,5-0,2-0,1-1,1-4,2-0,1-1,2-3,1-1,1-1,4-0,4-1,2-0,3-1,3-1,3-2,2-2,2-0,1-1,1-1,1-1,1-1,0-2,3-1
1990,6,CLE,Cleveland Cavaliers,3-2,1-3,1-1,0-5,,0-2,0-2,1-4,1-1,0-2,3-2,1-1,1-1,4-0,3-2,1-1,4-0,2-2,4-1,2-2,1-1,1-1,2-0,1-1,1-1,1-1,3-1
1990,7,DAL,Dallas Mavericks,2-0,1-1,3-1,0-2,2-0,,2-3,1-1,3-1,4-1,2-0,3-1,0-4,2-0,1-1,4-1,2-0,1-1,2-0,1-1,1-3,0-4,3-1,3-2,2-2,1-3,1-1
1990,8,DEN,Denver Nuggets,1-1,1-1,2-3,1-1,2-0,3-2,,0-2,2-2,4-1,0-2,2-2,0-4,2-0,1-1,5-0,2-0,1-1,2-0,1-1,1-3,2-2,4-0,1-3,2-2,0-4,1-1
1990,9,DET,Detroit Pistons,2-3,2-2,2-0,4-1,4-1,1-1,2-0,,1-1,1-1,4-1,1-1,1-1,3-1,3-2,2-0,4-0,4-0,5-0,1-3,2-0,1-1,2-0,1-1,1-1,1-1,4-0
1990,10,GSW,Golden State Warriors,0-2,1-1,2-2,0-2,1-1,1-3,2-2,1-1,,2-2,1-1,3-1,1-4,2-0,1-1,3-1,2-0,0-2,2-0,1-1,0-5,2-2,3-2,1-3,2-3,2-2,1-1
1990,11,HOU,Houston Rockets,0-2,0-2,4-1,1-1,2-0,1-4,1-4,1-1,2-2,,1-1,2-2,2-2,1-1,1-1,2-2,1-1,1-1,2-0,1-1,2-2,1-3,4-0,2-2,2-2,3-2,1-1
