Season,Team ID,Team ABV,Team,ATL,BOS,CHA,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NJN,NOH,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
2012,1,ATL,Atlanta Hawks,,1-2,4-0,1-3,3-0,1-0,0-1,3-1,0-1,0-1,2-1,1-1,0-1,0-1,1-3,2-1,1-0,4-0,1-0,1-2,1-0,3-0,0-3,1-1,1-1,1-0,0-1,3-1,1-0,3-0
2012,2,BOS,Boston Celtics,2-1,,3-0,1-3,2-1,0-2,0-1,1-2,1-0,1-0,2-2,1-0,0-2,1-0,3-1,3-0,1-0,3-0,0-1,2-2,0-2,3-0,1-2,0-1,1-0,0-1,0-1,2-2,1-0,4-0
2012,4,CHA,Charlotte Bobcats,0-4,0-3,,0-3,0-3,0-1,0-1,0-4,1-0,0-2,0-3,0-1,0-1,0-1,0-3,1-2,0-2,0-4,1-1,1-3,0-1,1-3,0-3,0-1,0-1,0-1,0-1,2-1,0-1,0-4
2012,5,CHI,Chicago Bulls,3-1,3-1,3-0,,3-0,1-0,0-1,4-0,0-1,0-1,2-1,1-0,1-0,1-1,2-2,4-0,1-0,2-1,2-0,3-1,0-1,2-1,2-1,1-0,0-1,2-0,1-0,3-0,1-0,2-1
2012,6,CLE,Cleveland Cavaliers,0-3,1-2,3-0,0-3,,1-0,1-0,2-2,0-1,1-0,1-3,1-0,0-1,0-1,0-3,0-4,1-0,2-2,0-1,2-2,1-0,0-3,0-3,1-1,0-1,1-0,0-2,1-3,0-2,1-2
2012,7,DAL,Dallas Mavericks,0-1,2-0,1-0,0-1,0-1,,3-1,1-0,2-1,3-0,0-1,1-2,0-4,1-2,0-2,1-0,1-2,0-1,2-1,1-1,1-3,1-0,1-0,3-1,2-1,2-1,2-2,1-0,3-1,1-0
2012,8,DEN,Denver Nuggets,1-0,1-0,1-0,1-0,0-1,1-3,,1-0,1-2,3-1,1-0,1-3,1-3,0-3,1-0,2-0,3-1,1-0,2-2,1-0,1-2,2-0,1-0,3-0,1-2,3-0,1-2,1-1,1-2,1-0
2012,9,DET,Detroit Pistons,1-3,2-1,4-0,0-4,2-2,0-1,0-1,,0-1,0-1,1-2,0-1,1-0,0-2,0-3,1-3,0-2,2-1,1-0,0-3,0-1,2-1,1-3,0-1,1-0,2-0,0-1,2-1,0-1,2-1
2012,10,GSW,Golden State Warriors,1-0,0-1,0-1,1-0,1-0,1-2,2-1,1-0,,1-2,0-2,2-2,0-4,0-4,1-0,0-1,2-1,0-2,1-2,1-0,0-3,0-1,0-2,2-1,1-3,3-1,0-3,0-1,1-3,1-0
2012,11,HOU,Houston Rockets,1-0,0-1,2-0,1-0,0-1,0-3,1-3,1-0,2-1,,0-1,0-3,2-1,2-2,0-1,0-1,1-3,1-0,2-1,1-0,2-2,0-1,1-0,2-2,3-0,3-0,2-2,1-1,1-2,2-0
