Season,Team ID,Team ABV,Team,ATL,BOS,CHA,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NJN,NOH,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
2011,1,ATL,Atlanta Hawks,,1-2,2-2,1-2,3-0,0-2,0-2,3-1,2-0,0-2,3-1,2-0,0-2,2-0,1-3,2-2,2-0,2-2,0-2,2-2,0-2,3-1,2-2,0-2,2-0,2-0,0-2,3-0,1-1,3-1
2011,2,BOS,Boston Celtics,2-1,,2-2,2-2,2-1,0-2,1-1,3-1,2-0,0-2,3-1,1-1,1-1,1-1,3-1,3-0,2-0,3-1,1-1,4-0,1-1,2-1,3-1,1-1,2-0,2-0,2-0,3-1,2-0,2-2
2011,4,CHA,Charlotte Bobcats,2-2,2-2,,2-2,2-1,0-2,1-1,2-2,1-1,1-1,0-4,0-2,1-1,1-1,0-4,1-2,2-0,3-1,0-2,1-2,0-2,0-4,1-2,2-0,1-1,2-0,0-2,4-0,0-2,2-2
2011,5,CHI,Chicago Bulls,2-1,2-2,2-2,,4-0,2-0,1-1,4-0,1-1,2-0,3-1,1-1,1-1,2-0,3-0,4-0,2-0,3-1,2-0,1-2,1-1,3-1,1-2,2-0,1-1,2-0,1-1,3-1,2-0,4-0
2011,6,CLE,Cleveland Cavaliers,0-3,1-2,1-2,0-4,,0-2,0-2,2-2,0-2,0-2,0-4,1-1,1-1,1-1,1-3,1-3,0-2,1-3,0-2,3-1,0-2,0-4,2-2,0-2,0-2,1-1,0-2,1-2,0-2,2-2
2011,7,DAL,Dallas Mavericks,2-0,2-0,2-0,0-2,2-0,,1-3,1-1,3-1,4-0,1-1,4-0,1-2,1-3,2-0,0-2,3-0,2-0,2-2,2-0,2-1,1-1,2-0,4-0,2-2,3-0,1-3,1-1,4-0,2-0
2011,8,DEN,Denver Nuggets,2-0,1-1,1-1,1-1,2-0,3-1,,2-0,2-1,2-2,1-1,2-2,2-1,2-1,1-1,2-0,4-0,1-1,1-2,1-1,1-3,1-1,0-2,3-1,2-2,3-1,1-3,2-0,2-2,2-0
2011,9,DET,Detroit Pistons,1-3,1-3,2-2,0-4,2-2,1-1,0-2,,1-1,0-2,2-2,1-1,0-2,0-2,0-4,3-1,0-2,2-2,1-1,1-2,0-2,1-2,2-1,1-1,0-2,2-0,0-2,3-1,1-1,2-1
2011,10,GSW,Golden State Warriors,0-2,0-2,1-1,1-1,2-0,1-3,1-2,1-1,,1-3,1-1,2-2,1-3,1-2,0-2,1-1,3-1,1-1,2-1,1-1,1-2,1-1,1-1,0-4,3-1,2-2,0-4,2-0,3-1,2-0
2011,11,HOU,Houston Rockets,2-0,2-0,1-1,0-2,2-0,0-4,2-2,2-0,3-1,,2-0,3-1,1-2,3-1,0-2,1-1,3-1,2-0,1-3,2-0,1-3,0-2,0-2,1-2,1-2,3-1,1-3,1-1,2-1,1-1
2011,12,IND,Indiana Pacers,1-3,1-3,4-0,1-3,4-0,1-1,1-1,2-2,1-1,0-2,,1-1,1-1,0-2,1-2,2-2,1-1,3-0,1-1,2-2,0-2,0-3,2-2,0-2,1-1,1-1,0-2,2-1,0-2,3-1
2011,13,LAC,Los Angeles Clippers,0-2,1-1,2-0,1-1,1-1,0-4,2-2,1-1,2-2,1-3,1-1,,1-3,2-2,1-1,1-1,3-1,0-2,1-2,1-1,2-2,0-2,0-2,1-3,0-3,3-1,1-2,1-1,0-3,2-0
2011,14,LAL,Los Angeles Lakers,2-0,1-1,1-1,1-1,1-1,2-1,1-2,2-0,3-1,2-1,1-1,3-1,,2-2,0-2,1-1,4-0,2-0,4-0,2-0,2-1,1-1,2-0,3-1,3-1,3-1,2-2,2-0,2-2,2-0
2011,15,MEM,Memphis Grizzlies,0-2,1-1,1-1,0-2,1-1,3-1,1-2,2-0,2-1,1-3,2-0,2-2,2-2,,1-1,2-0,4-0,0-2,2-2,0-2,3-1,1-1,2-0,2-1,1-2,3-1,2-2,2-0,2-2,1-1
2011,16,MIA,Miami Heat,3-1,1-3,4-0,0-3,3-1,0-2,1-1,4-0,2-0,2-0,2-1,1-1,2-0,1-1,,3-1,2-0,3-0,1-1,2-2,1-1,2-2,3-0,2-0,1-1,2-0,1-1,4-0,1-1,4-0
