Season,Team ID,Team ABV,Team,ATL,BOS,CHA,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NJN,NOH,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
2011,17,MIL,Milwaukee Bucks,2-2,0-3,2-1,0-4,3-1,2-0,0-2,1-3,1-1,1-1,2-2,1-1,1-1,0-2,1-3,,1-1,3-0,0-2,3-1,1-1,1-3,2-2,0-2,0-2,1-1,0-2,4-0,0-2,2-1
2011,18,MIN,Minnesota Timberwolves,0-2,0-2,0-2,0-2,2-0,0-3,0-4,2-0,1-3,1-3,1-1,1-3,0-4,0-4,0-2,1-1,,1-1,2-1,1-1,0-4,0-2,0-2,0-3,0-4,1-2,0-4,1-1,1-3,1-1
2011,3,NJN,New Jersey Nets,2-2,1-3,1-3,1-3,3-1,0-2,1-1,2-2,1-1,0-2,0-3,2-0,0-2,2-0,0-3,0-3,1-1,,1-1,0-4,0-2,0-4,0-4,0-2,1-1,1-1,0-2,2-2,1-1,1-2
2011,19,NOH,New Orleans Hornets,2-0,1-1,2-0,0-2,2-0,2-2,2-1,1-1,1-2,3-1,1-1,2-1,0-4,2-2,1-1,2-0,1-2,1-1,,0-2,1-3,2-0,1-1,3-1,3-1,3-1,2-2,1-1,2-2,2-0
2011,20,NYK,New York Knicks,2-2,0-4,2-1,2-1,1-3,0-2,1-1,2-1,1-1,0-2,2-2,1-1,0-2,2-0,2-2,1-3,1-1,4-0,2-0,,1-1,1-3,2-2,1-1,1-1,1-1,1-1,4-0,1-1,3-0
2011,21,OKC,Oklahoma City Thunder,2-0,1-1,2-0,1-1,2-0,1-2,3-1,2-0,2-1,3-1,2-0,2-2,1-2,1-3,1-1,1-1,4-0,2-0,3-1,1-1,,1-1,2-0,3-1,3-1,4-0,0-3,0-2,3-1,2-0
2011,22,ORL,Orlando Magic,1-3,1-2,4-0,1-3,4-0,1-1,1-1,2-1,1-1,2-0,3-0,2-0,1-1,1-1,2-2,3-1,2-0,4-0,0-2,3-1,1-1,,3-1,2-0,0-2,1-1,1-1,1-2,0-2,4-0
2011,23,PHI,Philadelphia 76Ers,2-2,1-3,2-1,2-1,2-2,0-2,2-0,1-2,1-1,2-0,2-2,2-0,0-2,0-2,0-3,2-2,2-0,4-0,1-1,2-2,0-2,1-3,,2-0,1-1,1-1,1-1,2-2,1-1,2-2
2011,24,PHO,Phoenix Suns,2-0,1-1,0-2,0-2,2-0,0-4,1-3,1-1,4-0,2-1,2-0,3-1,1-3,1-2,0-2,2-0,3-0,2-0,1-3,1-1,1-3,0-2,0-2,,1-3,1-3,1-3,2-0,3-0,2-0
2011,25,POR,Portland Trail Blazers,0-2,0-2,1-1,1-1,2-0,2-2,2-2,2-0,1-3,2-1,1-1,3-0,1-3,2-1,1-1,2-0,4-0,1-1,1-3,1-1,1-3,2-0,1-1,3-1,,2-1,3-1,2-0,3-1,1-1
2011,26,SAC,Sacramento Kings,0-2,0-2,0-2,0-2,1-1,0-3,1-3,0-2,2-2,1-3,1-1,1-3,1-3,1-3,0-2,1-1,2-1,1-1,1-3,1-1,0-4,1-1,1-1,3-1,1-2,,0-3,1-1,1-3,1-1
2011,27,SAS,San Antonio Spurs,2-0,0-2,2-0,1-1,2-0,3-1,3-1,2-0,4-0,3-1,2-0,2-1,2-2,2-2,1-1,2-0,4-0,2-0,2-2,1-1,3-0,1-1,1-1,3-1,1-3,3-0,,2-0,3-0,2-0
2011,28,TOR,Toronto Raptors,0-3,1-3,0-4,1-3,2-1,1-1,0-2,1-3,0-2,1-1,1-2,1-1,0-2,0-2,0-4,0-4,1-1,2-2,1-1,0-4,2-0,2-1,2-2,0-2,0-2,1-1,0-2,,0-2,2-2
2011,29,UTA,Utah Jazz,1-1,0-2,2-0,0-2,2-0,0-4,2-2,1-1,1-3,1-2,2-0,3-0,2-2,2-2,1-1,2-0,3-1,1-1,2-2,1-1,1-3,2-0,1-1,0-3,1-3,3-1,0-3,2-0,,0-2
2011,30,WAS,Washington Wizards,1-3,2-2,2-2,0-4,2-2,0-2,0-2,1-2,0-2,1-1,1-3,0-2,0-2,1-1,0-4,1-2,1-1,2-1,0-2,0-3,0-2,0-4,2-2,0-2,1-1,1-1,0-2,2-2,2-0,
