PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Blake Griffin,24,13,13,36.8,9.0,18.0,0.5,0.1,0.5,0.14300000000000002,8.9,17.5,0.511,0.502,5.5,7.4,0.74,2.7,4.7,7.4,3.8,1.2,1.1,2.4,4.2,23.5
Chris Paul,28,13,13,36.3,7.1,15.2,0.467,2.5,5.4,0.457,4.6,9.8,0.47200000000000003,0.5479999999999999,3.2,4.1,0.774,0.9,3.3,4.2,10.3,2.8,0.0,3.0,3.8,19.8
DeAndre Jordan,25,13,13,34.0,3.5,4.8,0.73,0.0,0.0,,3.5,4.8,0.73,0.73,2.5,5.8,0.434,3.3,9.2,12.5,0.8,0.9,2.5,1.8,3.5,9.6
Matt Barnes,33,13,13,31.1,3.5,8.2,0.42100000000000004,1.5,4.6,0.317,2.0,3.6,0.5529999999999999,0.509,1.0,1.5,0.684,1.7,2.8,4.5,1.8,0.9,0.2,1.3,3.2,9.4
J.J. Redick,29,13,13,27.0,4.7,10.2,0.45899999999999996,2.0,5.0,0.4,2.7,5.2,0.515,0.556,1.9,2.0,0.9620000000000001,0.3,1.4,1.7,1.5,0.8,0.0,1.0,1.8,13.3
Jamal Crawford,33,13,0,24.1,5.2,13.2,0.39799999999999996,2.1,6.1,0.342,3.2,7.1,0.446,0.47700000000000004,3.0,3.4,0.8859999999999999,0.4,1.1,1.5,2.0,0.9,0.2,1.2,1.8,15.5
Darren Collison,26,13,0,19.2,2.7,6.9,0.389,0.1,0.9,0.083,2.6,6.0,0.436,0.39399999999999996,3.0,3.5,0.867,0.8,1.3,2.1,2.4,0.5,0.1,0.9,1.3,8.5
Glen Davis,28,13,0,12.2,1.9,3.2,0.61,0.0,0.0,,1.9,3.2,0.61,0.61,0.0,0.0,,1.1,1.7,2.8,0.7,0.2,0.2,0.5,1.8,3.8
Danny Granger,30,13,0,10.3,0.8,3.1,0.275,0.4,1.7,0.22699999999999998,0.5,1.4,0.33299999999999996,0.33799999999999997,0.5,0.7,0.778,0.2,1.4,1.5,0.2,0.5,0.1,0.2,1.8,2.6
Hedo Türkoğlu,34,5,0,8.2,1.2,2.6,0.462,0.8,2.0,0.4,0.4,0.6,0.667,0.615,0.0,0.0,,0.0,1.0,1.0,0.2,0.6,0.0,0.0,0.6,3.2
Jared Dudley,28,7,0,6.4,0.4,1.6,0.273,0.4,0.9,0.5,0.0,0.7,0.0,0.409,0.0,0.0,,0.0,0.9,0.9,0.3,0.1,0.0,0.0,0.7,1.3
Willie Green,32,5,0,3.8,0.2,1.0,0.2,0.2,0.8,0.25,0.0,0.2,0.0,0.3,0.4,0.4,1.0,0.0,1.4,1.4,0.2,0.6,0.0,0.2,0.6,1.0
Reggie Bullock,22,2,0,2.5,0.5,0.5,1.0,0.0,0.0,,0.5,0.5,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0
Ryan Hollins,29,5,0,1.8,0.2,0.8,0.25,0.0,0.0,,0.2,0.8,0.25,0.25,0.2,0.2,1.0,0.2,0.4,0.6,0.0,0.0,0.0,0.2,0.6,0.6
