Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1990,6,1598,CLE,Cleveland Cavaliers,24.0,NBA,PG,5.0,0.0,73.0,2.0,6.9,0.29,0.0,1.5,0.0,2.0,5.4,0.36,0.0,0.0,,0.5,2.5,3.0,4.9,2.0,0.0,1.0,3.0,3.9
1992,6,1598,CLE,Cleveland Cavaliers,26.0,NBA,PG,12.0,3.0,149.0,4.3,9.9,0.44,0.7,2.7,0.27,3.6,7.2,0.5,1.2,1.2,1.0,0.2,1.2,1.4,2.4,1.2,0.0,1.0,2.9,10.6
1994,5,1598,CHI,Chicago Bulls,28.0,NBA,PG,10.0,0.0,186.0,2.5,7.0,0.36,1.2,3.1,0.38,1.4,3.9,0.35,0.6,0.6,1.0,0.4,2.3,2.7,1.9,1.4,0.0,0.2,2.5,6.8
1995,5,1598,CHI,Chicago Bulls,29.0,NBA,PG,10.0,0.0,193.0,3.5,7.5,0.48,1.5,3.5,0.42,2.1,3.9,0.52,0.9,0.9,1.0,0.2,0.9,1.1,2.8,0.2,0.0,0.0,2.6,9.5
1996,5,1598,CHI,Chicago Bulls,30.0,NBA,PG,18.0,0.0,357.0,3.9,8.8,0.45,1.7,5.3,0.32,2.2,3.4,0.65,2.7,3.1,0.87,0.3,1.5,1.8,3.1,1.4,0.0,1.3,2.1,12.3
1997,5,1598,CHI,Chicago Bulls,31.0,NBA,PG,19.0,0.0,341.0,3.5,8.1,0.43,1.7,4.4,0.38,1.8,3.7,0.49,1.4,1.5,0.93,0.4,1.5,1.9,2.1,1.8,0.2,0.8,2.6,10.0
1998,5,1598,CHI,Chicago Bulls,32.0,NBA,PG,21.0,0.0,415.0,2.9,6.6,0.43,1.6,3.6,0.46,1.2,3.0,0.4,1.6,1.9,0.82,0.7,0.8,1.5,3.0,0.6,0.0,0.4,2.3,8.9
1999,27,1598,SAS,San Antonio Spurs,33.0,NBA,PG,11.0,0.0,97.0,3.0,11.1,0.27,1.1,4.8,0.23,1.9,6.3,0.29,1.9,2.2,0.83,1.1,2.2,3.3,3.0,0.7,0.0,1.5,1.9,8.9
2001,27,1598,SAS,San Antonio Spurs,35.0,NBA,PG,9.0,0.0,101.0,4.3,8.9,0.48,1.8,5.3,0.33,2.5,3.6,0.7,0.4,0.7,0.5,1.1,2.1,3.2,2.1,1.4,0.4,0.7,2.9,10.7
2002,25,1598,POR,Portland Trail Blazers,36.0,NBA,PG,3.0,0.0,39.0,5.5,12.9,0.43,1.8,7.4,0.25,3.7,5.5,0.67,4.6,4.6,1.0,0.0,3.7,3.7,4.6,0.9,0.0,0.9,5.5,17.5
2003,27,1598,SAS,San Antonio Spurs,37.0,NBA,PG,10.0,0.0,46.0,5.5,8.6,0.64,3.9,4.7,0.83,1.6,3.9,0.4,2.3,3.1,0.75,0.8,1.6,2.3,4.7,0.8,0.0,0.8,4.7,17.2
