PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Mitch Richmond,30,4,4,146,5.9,13.3,0.444,2.0,5.7,0.348,3.9,7.6,0.516,6.9,8.6,0.8,0.7,3.5,4.2,3.0,0.7,0.0,3.7,2.7,20.7
Olden Polynice,31,4,4,141,6.1,11.7,0.522,0.3,0.3,1.0,5.9,11.5,0.511,1.5,2.3,0.667,4.1,8.2,12.3,0.8,0.3,1.8,0.8,3.8,14.0
Billy Owens,26,4,4,131,4.1,9.3,0.441,0.0,1.1,0.0,4.1,8.2,0.5,0.8,1.6,0.5,1.4,5.8,7.1,3.8,1.1,0.3,3.0,4.7,9.1
Brian Grant,23,4,4,124,4.6,12.2,0.381,0.0,0.0,,4.6,12.2,0.381,2.0,4.1,0.5,2.0,3.8,5.8,1.2,0.6,2.0,3.8,4.1,11.3
Tyus Edney,22,4,4,121,5.4,12.5,0.429,0.6,2.4,0.25,4.8,10.1,0.47100000000000003,3.0,3.6,0.833,0.6,3.0,3.6,3.3,2.4,0.0,2.7,3.3,14.3
Duane Causwell,31,4,0,101,2.9,10.3,0.276,1.4,6.4,0.222,1.4,3.9,0.364,3.2,5.3,0.6,1.4,1.1,2.5,5.0,3.6,0.0,3.6,1.4,10.3
Michael Smith,23,4,0,87,2.9,5.0,0.583,0.0,0.0,,2.9,5.0,0.583,2.1,4.6,0.455,2.9,6.2,9.1,3.3,0.4,0.8,0.8,5.8,7.9
Lionel Simmons,27,4,0,77,7.0,15.4,0.455,1.4,4.2,0.33299999999999996,5.6,11.2,0.5,2.3,3.3,0.7140000000000001,1.9,3.7,5.6,3.7,2.8,0.9,2.8,5.6,17.8
Duane Causwell,27,2,0,25,1.4,4.3,0.33299999999999996,0.0,1.4,0.0,1.4,2.9,0.5,4.3,5.8,0.75,1.4,5.8,7.2,1.4,0.0,0.0,2.9,4.3,7.2
Kevin Gamble,30,2,0,3,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bobby Hurley,24,1,0,2,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Corliss Williamson,22,1,0,2,0.0,18.0,0.0,0.0,0.0,,0.0,18.0,0.0,18.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
