PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Kevin Garnett,28,82,82,3121,7.9,15.7,0.502,0.1,0.3,0.24,7.8,15.4,0.507,5.1,6.3,0.8109999999999999,2.8,9.9,12.8,5.4,1.4,1.3,2.6,2.4,21.0
Wally Szczerbiak,27,81,37,2558,6.5,12.9,0.506,0.9,2.4,0.373,5.7,10.6,0.536,3.7,4.3,0.855,1.2,3.1,4.3,2.7,0.6,0.2,1.9,2.5,17.6
Latrell Sprewell,34,80,79,2450,5.8,14.1,0.414,1.0,3.1,0.327,4.8,11.0,0.439,2.3,2.8,0.83,1.0,2.8,3.7,2.6,0.8,0.3,1.9,1.8,15.0
Trenton Hassell,25,82,51,2068,3.9,8.3,0.474,0.0,0.2,0.091,3.9,8.1,0.483,1.6,2.0,0.789,1.4,2.4,3.8,2.2,0.5,0.5,1.1,3.5,9.4
Troy Hudson,28,79,32,1729,5.5,13.8,0.401,1.9,5.4,0.345,3.7,8.5,0.436,1.5,1.9,0.778,0.4,1.8,2.2,5.9,0.6,0.1,2.4,2.5,14.4
Sam Cassell,35,59,38,1522,7.5,16.2,0.46399999999999997,0.6,2.4,0.262,6.9,13.8,0.5,3.2,3.7,0.865,0.6,3.1,3.7,7.1,0.9,0.3,2.6,3.8,18.9
Eddie Griffin,22,70,0,1492,4.9,12.6,0.387,1.6,4.9,0.32799999999999996,3.3,7.7,0.425,1.4,1.9,0.718,3.1,7.8,10.9,1.3,0.6,2.8,1.3,2.9,12.7
Fred Hoiberg,32,76,0,1272,3.9,8.0,0.489,2.0,4.1,0.483,2.0,3.9,0.496,2.5,2.9,0.873,0.9,4.2,5.1,2.4,1.4,0.4,0.6,3.0,12.4
Michael Olowokandi,29,62,34,1215,4.8,10.5,0.456,0.0,0.0,,4.8,10.5,0.456,1.4,2.0,0.667,3.1,6.5,9.6,0.9,0.4,1.7,2.0,5.7,10.9
Anthony Carter,29,66,12,742,3.5,8.6,0.40700000000000003,0.1,0.8,0.11800000000000001,3.4,7.8,0.43799999999999994,1.7,2.5,0.6859999999999999,0.6,2.8,3.3,7.8,1.7,0.9,3.0,4.3,8.8
Mark Madsen,29,41,14,601,2.0,4.0,0.515,0.0,0.0,,2.0,4.0,0.515,1.2,2.4,0.5,3.8,3.9,7.7,1.1,0.4,0.8,1.4,6.2,5.3
John Thomas,29,44,8,521,2.9,5.9,0.488,0.0,0.0,,2.9,5.9,0.488,1.9,3.2,0.5870000000000001,2.7,4.0,6.7,1.2,1.0,0.9,1.2,5.7,7.7
Ervin Johnson,37,46,23,410,2.5,4.7,0.519,0.1,0.1,1.0,2.4,4.7,0.509,1.4,2.2,0.64,3.8,6.1,9.9,0.5,0.6,1.1,1.6,7.6,6.4
Ndudi Ebi,20,2,0,54,7.3,14.0,0.524,0.0,0.7,0.0,7.3,13.3,0.55,3.3,6.0,0.556,4.0,6.7,10.7,0.7,0.7,0.7,2.0,4.7,18.0
