Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1983,22.0,CLE,NBA,PG,68.0,3.0,990.0,5.9,13.6,0.432,0.0,0.5,0.0,5.9,13.1,0.448,2.3,3.1,0.762,0.6,2.9,3.5,6.1,2.0,0.2,4.3,2.7,14.0
1984,23.0,CLE,NBA,PG,76.0,19.0,1712.0,5.4,12.8,0.423,0.0,0.4,0.118,5.4,12.4,0.432,3.3,4.2,0.793,1.0,2.3,3.3,7.0,1.6,0.1,3.6,2.4,14.2
1985,24.0,CLE,NBA,PG,81.0,65.0,2401.0,5.1,10.4,0.488,0.0,0.4,0.115,5.0,10.0,0.502,1.9,2.5,0.749,0.8,3.6,4.4,10.5,1.9,0.1,3.1,2.0,12.1
1986,25.0,CLE,NBA,PG,78.0,77.0,2472.0,5.3,12.6,0.423,0.1,0.5,0.243,5.2,12.1,0.431,2.5,3.1,0.791,1.1,2.9,4.0,10.7,1.8,0.1,3.5,2.4,13.3
1987,26.0,CLE,NBA,PG,72.0,67.0,2182.0,5.1,12.1,0.426,0.5,1.7,0.301,4.6,10.4,0.447,1.9,2.2,0.831,0.9,3.3,4.2,6.3,1.5,0.1,2.7,1.9,12.7
1988,27.0,NJN,NBA,PG,82.0,74.0,2774.0,5.1,11.6,0.439,0.6,2.1,0.292,4.5,9.5,0.471,1.9,2.3,0.822,0.8,2.5,3.3,6.2,1.4,0.1,2.6,2.1,12.7
1989,28.0,NJN,NBA,PG,68.0,20.0,1642.0,4.4,10.5,0.416,0.2,1.2,0.204,4.1,9.4,0.443,2.0,2.7,0.724,0.8,2.4,3.2,8.6,1.6,0.1,3.5,2.6,11.0
1990,29.0,BOS,NBA,PG,54.0,17.0,1095.0,3.3,7.2,0.459,0.0,0.6,0.056,3.3,6.6,0.495,1.0,1.3,0.744,0.9,2.1,2.9,9.7,1.3,0.1,3.0,2.5,7.6
1992,31.0,BOS,NBA,PG,73.0,59.0,1742.0,4.6,10.5,0.441,0.2,0.9,0.238,4.4,9.6,0.459,1.4,2.0,0.716,0.8,2.5,3.3,9.9,1.2,0.1,3.1,2.5,10.8
1993,32.0,BOS,NBA,PG,10.0,0.0,97.0,3.3,9.3,0.36,0.0,0.4,0.0,3.3,8.9,0.375,1.9,2.2,0.833,0.4,2.2,2.6,7.4,0.7,0.0,6.3,4.1,8.5
1994,33.0,ATL,NBA,PG,3.0,0.0,13.0,0.0,5.5,0.0,0.0,0.0,,0.0,5.5,0.0,5.5,5.5,1.0,0.0,2.8,2.8,8.3,0.0,0.0,0.0,5.5,5.5
