Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1992,10,1011,GSW,Golden State Warriors,Chris Gatling,1967-09-03,24.0,NBA,PF,54.0,1.0,612.0,117.0,206.0,0.57,0.0,4.0,0.0,117.0,202.0,0.58,0.57,72.0,109.0,0.66,75.0,107.0,182.0,16.0,31.0,36.0,44.0,101.0,306.0
1993,10,1011,GSW,Golden State Warriors,Chris Gatling,1967-09-03,25.0,NBA,PF,70.0,11.0,1248.0,249.0,462.0,0.54,0.0,6.0,0.0,249.0,456.0,0.55,0.54,150.0,207.0,0.72,129.0,191.0,320.0,40.0,44.0,53.0,102.0,197.0,648.0
1994,10,1011,GSW,Golden State Warriors,Chris Gatling,1967-09-03,26.0,NBA,C,82.0,23.0,1296.0,271.0,461.0,0.59,0.0,1.0,0.0,271.0,460.0,0.59,0.59,129.0,208.0,0.62,143.0,254.0,397.0,41.0,40.0,63.0,84.0,223.0,671.0
1995,10,1011,GSW,Golden State Warriors,Chris Gatling,1967-09-03,27.0,NBA,PF,58.0,22.0,1470.0,324.0,512.0,0.63,0.0,1.0,0.0,324.0,511.0,0.63,0.63,148.0,250.0,0.59,144.0,299.0,443.0,51.0,39.0,52.0,117.0,184.0,796.0
1996,31,1011,TOT,Total After Trade,Chris Gatling,1967-09-03,28.0,NBA,PF,71.0,2.0,1427.0,326.0,567.0,0.57,0.0,1.0,0.0,326.0,566.0,0.58,0.57,139.0,207.0,0.67,129.0,288.0,417.0,43.0,36.0,40.0,95.0,217.0,791.0
1996,10,1011,GSW,Golden State Warriors,Chris Gatling,1967-09-03,28.0,NBA,PF,47.0,2.0,862.0,171.0,308.0,0.56,0.0,1.0,0.0,171.0,307.0,0.56,0.56,84.0,132.0,0.64,78.0,164.0,242.0,26.0,19.0,29.0,60.0,135.0,426.0
1996,16,1011,MIA,Miami Heat,Chris Gatling,1967-09-03,28.0,NBA,PF,24.0,0.0,565.0,155.0,259.0,0.6,0.0,0.0,,155.0,259.0,0.6,0.6,55.0,75.0,0.73,51.0,124.0,175.0,17.0,17.0,11.0,35.0,82.0,365.0
1997,31,1011,TOT,Total After Trade,Chris Gatling,1967-09-03,29.0,NBA,PF,47.0,1.0,1283.0,327.0,623.0,0.52,1.0,6.0,0.17,326.0,617.0,0.53,0.53,236.0,329.0,0.72,134.0,236.0,370.0,28.0,39.0,31.0,120.0,138.0,891.0
1997,7,1011,DAL,Dallas Mavericks,Chris Gatling,1967-09-03,29.0,NBA,PF,44.0,1.0,1191.0,309.0,580.0,0.53,1.0,6.0,0.17,308.0,574.0,0.54,0.53,221.0,313.0,0.71,126.0,222.0,348.0,25.0,35.0,31.0,114.0,125.0,840.0
1997,3,1011,NJN,New Jersey Nets,Chris Gatling,1967-09-03,29.0,NBA,PF,3.0,0.0,92.0,18.0,43.0,0.42,0.0,0.0,,18.0,43.0,0.42,0.42,15.0,16.0,0.94,8.0,14.0,22.0,3.0,4.0,0.0,6.0,13.0,51.0
1998,3,1011,NJN,New Jersey Nets,Chris Gatling,1967-09-03,30.0,NBA,PF,57.0,16.0,1359.0,248.0,545.0,0.46,1.0,4.0,0.25,247.0,541.0,0.46,0.46,159.0,265.0,0.6,118.0,216.0,334.0,53.0,52.0,29.0,99.0,152.0,656.0
1999,31,1011,TOT,Total After Trade,Chris Gatling,1967-09-03,31.0,NBA,C,48.0,3.0,775.0,117.0,265.0,0.44,1.0,8.0,0.12,116.0,257.0,0.45,0.44,37.0,93.0,0.4,52.0,127.0,179.0,32.0,32.0,10.0,62.0,118.0,272.0
1999,3,1011,NJN,New Jersey Nets,Chris Gatling,1967-09-03,31.0,NBA,C,18.0,2.0,281.0,36.0,97.0,0.37,0.0,1.0,0.0,36.0,96.0,0.38,0.37,12.0,24.0,0.5,21.0,44.0,65.0,12.0,8.0,4.0,29.0,40.0,84.0
1999,17,1011,MIL,Milwaukee Bucks,Chris Gatling,1967-09-03,31.0,NBA,C,30.0,1.0,494.0,81.0,168.0,0.48,1.0,7.0,0.14,80.0,161.0,0.5,0.48,25.0,69.0,0.36,31.0,83.0,114.0,20.0,24.0,6.0,33.0,78.0,188.0
2000,31,1011,TOT,Total After Trade,Chris Gatling,1967-09-03,32.0,NBA,PF,85.0,0.0,1811.0,365.0,802.0,0.46,18.0,70.0,0.26,347.0,732.0,0.47,0.47,266.0,373.0,0.71,154.0,348.0,502.0,71.0,82.0,23.0,169.0,246.0,1014.0
2000,22,1011,ORL,Orlando Magic,Chris Gatling,1967-09-03,32.0,NBA,PF,45.0,0.0,1041.0,210.0,462.0,0.46,7.0,23.0,0.3,203.0,439.0,0.46,0.46,171.0,245.0,0.7,91.0,206.0,297.0,40.0,48.0,10.0,105.0,142.0,598.0
2000,8,1011,DEN,Denver Nuggets,Chris Gatling,1967-09-03,32.0,NBA,PF,40.0,0.0,770.0,155.0,340.0,0.46,11.0,47.0,0.23,144.0,293.0,0.49,0.47,95.0,128.0,0.74,63.0,142.0,205.0,31.0,34.0,13.0,64.0,104.0,416.0
2001,6,1011,CLE,Cleveland Cavaliers,Chris Gatling,1967-09-03,33.0,NBA,PF,74.0,6.0,1670.0,329.0,733.0,0.45,28.0,92.0,0.3,301.0,641.0,0.47,0.47,156.0,228.0,0.68,99.0,292.0,391.0,61.0,52.0,27.0,119.0,185.0,842.0
2002,16,1011,MIA,Miami Heat,Chris Gatling,1967-09-03,34.0,NBA,PF,54.0,1.0,809.0,131.0,293.0,0.45,1.0,8.0,0.12,130.0,285.0,0.46,0.45,82.0,117.0,0.7,71.0,135.0,206.0,25.0,17.0,11.0,58.0,109.0,345.0
