Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp Dbl
1980,14,2,LAL,Los Angeles Lakers,Kareem Abdul-Jabbar,1947-04-16,32.0,NBA,C,15.0,,618.0,198.0,346.0,0.57,0.0,0.0,,198.0,346.0,0.57,0.57,83.0,105.0,0.79,51.0,130.0,181.0,46.0,17.0,58.0,55.0,51.0,479.0,0.0
1981,14,2,LAL,Los Angeles Lakers,Kareem Abdul-Jabbar,1947-04-16,33.0,NBA,C,3.0,,134.0,30.0,65.0,0.46,0.0,0.0,,30.0,65.0,0.46,0.46,20.0,28.0,0.71,13.0,37.0,50.0,12.0,3.0,8.0,11.0,14.0,80.0,0.0
1982,14,2,LAL,Los Angeles Lakers,Kareem Abdul-Jabbar,1947-04-16,34.0,NBA,C,14.0,,493.0,115.0,221.0,0.52,0.0,0.0,,115.0,221.0,0.52,0.52,55.0,87.0,0.63,33.0,86.0,119.0,51.0,14.0,45.0,41.0,45.0,285.0,0.0
1983,14,2,LAL,Los Angeles Lakers,Kareem Abdul-Jabbar,1947-04-16,35.0,NBA,C,15.0,,588.0,163.0,287.0,0.57,0.0,1.0,0.0,163.0,286.0,0.57,0.57,80.0,106.0,0.76,25.0,90.0,115.0,42.0,17.0,55.0,50.0,61.0,406.0,0.0
1984,14,2,LAL,Los Angeles Lakers,Kareem Abdul-Jabbar,1947-04-16,36.0,NBA,C,21.0,,767.0,206.0,371.0,0.56,0.0,0.0,,206.0,371.0,0.56,0.56,90.0,120.0,0.75,56.0,117.0,173.0,79.0,23.0,45.0,45.0,71.0,502.0,0.0
1985,14,2,LAL,Los Angeles Lakers,Kareem Abdul-Jabbar,1947-04-16,37.0,NBA,C,19.0,19.0,610.0,168.0,300.0,0.56,0.0,0.0,,168.0,300.0,0.56,0.56,80.0,103.0,0.78,50.0,104.0,154.0,76.0,23.0,36.0,52.0,67.0,416.0,0.0
1986,14,2,LAL,Los Angeles Lakers,Kareem Abdul-Jabbar,1947-04-16,38.0,NBA,C,14.0,14.0,489.0,157.0,282.0,0.56,0.0,0.0,,157.0,282.0,0.56,0.56,48.0,61.0,0.79,26.0,57.0,83.0,49.0,15.0,24.0,42.0,54.0,362.0,0.0
1987,14,2,LAL,Los Angeles Lakers,Kareem Abdul-Jabbar,1947-04-16,39.0,NBA,C,18.0,18.0,559.0,124.0,234.0,0.53,0.0,1.0,0.0,124.0,233.0,0.53,0.53,97.0,122.0,0.8,39.0,84.0,123.0,36.0,8.0,35.0,40.0,56.0,345.0,0.0
1988,14,2,LAL,Los Angeles Lakers,Kareem Abdul-Jabbar,1947-04-16,40.0,NBA,C,24.0,24.0,718.0,141.0,304.0,0.46,0.0,2.0,0.0,141.0,302.0,0.47,0.46,56.0,71.0,0.79,49.0,82.0,131.0,36.0,15.0,37.0,46.0,81.0,338.0,0.0
1989,14,2,LAL,Los Angeles Lakers,Kareem Abdul-Jabbar,1947-04-16,41.0,NBA,C,15.0,15.0,351.0,68.0,147.0,0.46,0.0,0.0,,68.0,147.0,0.46,0.46,31.0,43.0,0.72,13.0,46.0,59.0,19.0,5.0,11.0,22.0,43.0,167.0,0.0
