Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp Dbl
2004,6,1429,CLE,Cleveland Cavaliers,LeBron James,"December 30, 1984",19.0,NBA,SG,79.0,79.0,3122.0,622.0,1492.0,0.42,63.0,217.0,0.29,559.0,1275.0,0.44,0.44,347.0,460.0,0.75,99.0,333.0,432.0,465.0,130.0,58.0,273.0,149.0,1654.0,0.0
2005,6,1429,CLE,Cleveland Cavaliers,LeBron James,"December 30, 1984",20.0,NBA,SF,80.0,80.0,3388.0,795.0,1684.0,0.47,108.0,308.0,0.35,687.0,1376.0,0.5,0.5,477.0,636.0,0.75,111.0,477.0,588.0,577.0,177.0,52.0,262.0,146.0,2175.0,4.0
2006,6,1429,CLE,Cleveland Cavaliers,LeBron James,"December 30, 1984",21.0,NBA,SF,79.0,79.0,3361.0,875.0,1823.0,0.48,127.0,379.0,0.34,748.0,1444.0,0.52,0.52,601.0,814.0,0.74,75.0,481.0,556.0,521.0,123.0,66.0,260.0,181.0,2478.0,5.0
2007,6,1429,CLE,Cleveland Cavaliers,LeBron James,"December 30, 1984",22.0,NBA,SF,78.0,78.0,3190.0,772.0,1621.0,0.48,99.0,310.0,0.32,673.0,1311.0,0.51,0.51,489.0,701.0,0.7,83.0,443.0,526.0,470.0,125.0,55.0,250.0,171.0,2132.0,1.0
2008,6,1429,CLE,Cleveland Cavaliers,LeBron James,"December 30, 1984",23.0,NBA,SF,75.0,74.0,3027.0,794.0,1642.0,0.48,113.0,359.0,0.32,681.0,1283.0,0.53,0.52,549.0,771.0,0.71,133.0,459.0,592.0,539.0,138.0,81.0,255.0,165.0,2250.0,7.0
2009,6,1429,CLE,Cleveland Cavaliers,LeBron James,"December 30, 1984",24.0,NBA,SF,81.0,81.0,3054.0,789.0,1613.0,0.49,132.0,384.0,0.34,657.0,1229.0,0.54,0.53,594.0,762.0,0.78,106.0,507.0,613.0,587.0,137.0,93.0,241.0,139.0,2304.0,7.0
2010,6,1429,CLE,Cleveland Cavaliers,LeBron James,"December 30, 1984",25.0,NBA,SF,76.0,76.0,2966.0,768.0,1528.0,0.5,129.0,387.0,0.33,639.0,1141.0,0.56,0.55,593.0,773.0,0.77,71.0,483.0,554.0,651.0,125.0,77.0,261.0,119.0,2258.0,4.0
2011,16,1429,MIA,Miami Heat,LeBron James,"December 30, 1984",26.0,NBA,SF,79.0,79.0,3063.0,758.0,1485.0,0.51,92.0,279.0,0.33,666.0,1206.0,0.55,0.54,503.0,663.0,0.76,80.0,510.0,590.0,554.0,124.0,50.0,284.0,163.0,2111.0,4.0
2012,16,1429,MIA,Miami Heat,LeBron James,"December 30, 1984",27.0,NBA,SF,62.0,62.0,2326.0,621.0,1169.0,0.53,54.0,149.0,0.36,567.0,1020.0,0.56,0.55,387.0,502.0,0.77,94.0,398.0,492.0,387.0,115.0,50.0,213.0,96.0,1683.0,0.0
2013,16,1429,MIA,Miami Heat,LeBron James,"December 30, 1984",28.0,NBA,PF,76.0,76.0,2877.0,765.0,1354.0,0.56,103.0,254.0,0.41,662.0,1100.0,0.6,0.6,403.0,535.0,0.75,97.0,513.0,610.0,551.0,129.0,67.0,226.0,110.0,2036.0,4.0
2014,16,1429,MIA,Miami Heat,LeBron James,"December 30, 1984",29.0,NBA,PF,77.0,77.0,2902.0,767.0,1353.0,0.57,116.0,306.0,0.38,651.0,1047.0,0.62,0.61,439.0,585.0,0.75,81.0,452.0,533.0,488.0,121.0,26.0,270.0,126.0,2089.0,1.0
2015,6,1429,CLE,Cleveland Cavaliers,LeBron James,"December 30, 1984",30.0,NBA,SF,69.0,69.0,2493.0,624.0,1279.0,0.49,120.0,339.0,0.35,504.0,940.0,0.54,0.54,375.0,528.0,0.71,51.0,365.0,416.0,511.0,109.0,49.0,272.0,135.0,1743.0,2.0
2016,6,1429,CLE,Cleveland Cavaliers,LeBron James,"December 30, 1984",31.0,NBA,SF,76.0,76.0,2709.0,737.0,1416.0,0.52,87.0,282.0,0.31,650.0,1134.0,0.57,0.55,359.0,491.0,0.73,111.0,454.0,565.0,514.0,104.0,49.0,249.0,143.0,1920.0,3.0
