Season,Tm,Player,Rank,Pts Won,Pts Max,Share,Type
1986,BOS,Larry Bird,1,765.0,780,0.981,MVP
1986,ATL,Dominique Wilkins,2,407.0,780,0.522,MVP
1986,LAL,Magic Johnson,3,205.0,780,0.263,MVP
1986,HOU,Hakeem Olajuwon,4,193.0,780,0.247,MVP
1986,LAL,Kareem Abdul-Jabbar,5,135.0,780,0.173,MVP
1986,PHI,Charles Barkley,6,133.0,780,0.171,MVP
1986,MIL,Sidney Moncrief,7,56.0,780,0.072,MVP
1986,DEN,Alex English,8,55.0,780,0.071,MVP
1986,DET,Isiah Thomas,9,28.0,780,0.036,MVP
1986,PHI,Moses Malone,10,21.0,780,0.027,MVP
1986,MIL,Terry Cummings,11,9.0,780,0.012,MVP
1986,LAL,James Worthy,12,7.0,780,0.009,MVP
1986,BOS,Kevin McHale,13T,3.0,780,0.004,MVP
1986,MIL,Paul Pressey,13T,3.0,780,0.004,MVP
1986,SAS,Alvin Robertson,13T,3.0,780,0.004,MVP
1986,UTA,Adrian Dantley,16T,2.0,780,0.003,MVP
1986,NJN,Buck Williams,16T,2.0,780,0.003,MVP
1986,BOS,Dennis Johnson,18,1.0,780,0.001,MVP
