Season,Team ID,Team ABV,Team,PLAYER,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2010,28,TOR,Toronto Raptors,Andrea Bargnani,24,80,2799,15.5,0.55,0.28,0.2,4.6,15.9,10.4,5.4,0.5,3.0,8.8,22.3,3.3,0.9,4.2,0.07,0.9,-1.7,-0.8,0.9
2010,28,TOR,Toronto Raptors,Chris Bosh,25,70,2526,25.0,0.59,0.02,0.51,9.9,25.2,17.7,11.5,0.9,2.1,10.7,28.7,7.9,1.7,9.6,0.18,4.8,-1.2,3.6,3.6
2010,28,TOR,Toronto Raptors,Hedo Turkoglu,30,74,2272,13.3,0.54,0.43,0.34,2.2,15.2,8.9,19.5,1.2,1.1,13.9,18.1,2.6,0.8,3.4,0.07,0.7,-0.4,0.4,1.4
2010,28,TOR,Toronto Raptors,Jarrett Jack,26,82,2243,16.3,0.6,0.3,0.36,1.6,9.8,5.8,27.7,1.4,0.2,17.3,19.1,4.5,0.2,4.8,0.1,2.0,-1.6,0.4,1.4
2010,28,TOR,Toronto Raptors,Jose Calderon,28,68,1817,16.5,0.57,0.3,0.18,1.5,7.5,4.6,33.8,1.3,0.3,13.9,17.9,4.2,0.0,4.2,0.11,2.5,-1.9,0.6,1.2
2010,28,TOR,Toronto Raptors,DeMar DeRozan,20,77,1664,12.5,0.55,0.03,0.38,4.8,10.9,7.9,4.9,1.3,0.8,9.4,18.1,2.0,0.3,2.3,0.07,-1.5,-1.3,-2.8,-0.3
2010,28,TOR,Toronto Raptors,Amir Johnson,22,82,1453,16.7,0.64,0.01,0.45,12.9,19.1,16.1,5.0,1.6,3.5,13.6,14.5,3.4,1.1,4.5,0.15,-0.6,0.0,-0.6,0.5
2010,28,TOR,Toronto Raptors,Antoine Wright,25,67,1392,8.6,0.5,0.43,0.19,3.3,12.6,8.1,7.4,1.1,0.6,11.8,16.1,0.1,0.2,0.3,0.01,-1.9,-1.4,-3.3,-0.4
2010,28,TOR,Toronto Raptors,Sonny Weems,23,69,1368,12.9,0.53,0.03,0.14,3.7,12.6,8.3,11.6,1.5,1.4,11.8,18.4,0.8,0.5,1.3,0.04,-1.3,-0.7,-2.0,0.0
2010,28,TOR,Toronto Raptors,Marco Belinelli,23,66,1121,12.6,0.54,0.42,0.32,1.5,8.3,5.0,11.8,1.9,0.3,12.2,20.1,0.9,0.2,1.2,0.05,-0.3,-1.0,-1.3,0.2
2010,28,TOR,Toronto Raptors,Rasho Nesterovic,33,42,413,16.0,0.54,0.0,0.03,10.9,14.5,12.7,9.9,1.2,3.2,9.6,18.5,0.6,0.2,0.8,0.09,-0.2,-1.0,-1.2,0.1
2010,28,TOR,Toronto Raptors,Reggie Evans,29,28,311,11.4,0.5,0.0,0.87,11.7,27.7,19.9,3.7,2.3,1.0,18.7,17.2,-0.1,0.3,0.2,0.03,-3.5,-1.1,-4.6,-0.2
2010,28,TOR,Toronto Raptors,Marcus Banks,28,22,244,15.3,0.64,0.33,0.4,1.5,9.4,5.6,16.4,2.5,0.6,18.9,19.8,0.4,0.1,0.5,0.1,-0.4,0.1,-0.3,0.1
2010,28,TOR,Toronto Raptors,Pops Mensah-Bonsu,26,16,107,11.0,0.46,0.0,0.62,17.0,17.2,17.1,2.7,1.4,5.7,21.3,20.0,-0.1,0.1,0.0,-0.01,-4.3,-1.5,-5.8,-0.1
2010,28,TOR,Toronto Raptors,Patrick O'Bryant,23,11,51,9.9,0.54,0.07,0.4,4.8,20.3,12.7,3.0,2.0,6.0,22.1,20.3,-0.1,0.1,0.0,-0.01,-7.2,0.5,-6.6,-0.1
