PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Tim Hardaway,30,17,17,41.2,6.1,16.9,0.359,2.5,7.9,0.313,3.6,9.0,0.39899999999999997,0.43200000000000005,4.1,5.2,0.795,0.8,3.3,4.1,7.0,1.6,0.1,3.1,2.2,18.7
Alonzo Mourning,26,17,17,37.1,6.3,12.8,0.491,0.2,0.5,0.375,6.1,12.4,0.495,0.498,5.1,9.1,0.555,2.6,7.6,10.2,1.1,0.6,2.7,4.1,4.3,17.8
Jamal Mashburn,24,17,17,32.6,3.8,9.9,0.387,1.3,3.6,0.355,2.5,6.2,0.406,0.452,1.5,2.4,0.65,1.3,3.6,4.9,2.1,1.0,0.1,1.8,3.4,10.5
Voshon Lenard,23,17,17,32.2,3.7,9.1,0.406,2.1,5.4,0.396,1.6,3.8,0.42200000000000004,0.523,1.9,2.2,0.865,0.7,2.2,2.9,2.1,0.6,0.2,1.8,2.9,11.4
P.J. Brown,27,15,15,30.1,2.8,6.9,0.408,0.0,0.0,,2.8,6.9,0.408,0.408,2.5,3.5,0.7170000000000001,3.2,5.4,8.6,0.7,0.6,1.3,1.1,2.7,8.1
Dan Majerle,31,17,2,29.2,2.7,6.9,0.39299999999999996,1.5,4.4,0.33799999999999997,1.2,2.5,0.488,0.5,1.1,1.6,0.679,0.9,3.3,4.2,2.5,1.2,0.2,0.8,1.8,8.0
Isaac Austin,27,15,0,19.1,2.4,5.4,0.444,0.1,0.3,0.25,2.3,5.1,0.455,0.451,1.7,2.1,0.8059999999999999,1.1,3.3,4.4,0.4,0.4,0.5,1.5,2.3,6.5
Willie Anderson,30,9,0,13.3,1.2,3.3,0.36700000000000005,0.2,0.9,0.25,1.0,2.4,0.409,0.4,1.0,1.1,0.9,0.2,1.7,1.9,0.6,0.4,0.2,1.3,2.2,3.7
Keith Askins,29,12,0,12.2,0.8,1.9,0.435,0.5,1.0,0.5,0.3,0.9,0.364,0.565,0.3,0.3,1.0,0.9,1.4,2.3,0.6,0.3,0.2,0.3,2.2,2.5
John Crotty,27,15,0,8.3,0.9,2.2,0.39399999999999996,0.3,0.8,0.41700000000000004,0.5,1.4,0.381,0.47,0.4,0.5,0.857,0.3,0.4,0.7,0.7,0.3,0.0,0.9,1.0,2.5
Mark Strickland,26,4,0,4.0,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.5,0.0,0.0,0.8,0.8,0.3,0.3,0.0,0.5,0.0,2.0
Ed Pinckney,33,2,0,3.0,1.0,1.5,0.667,0.0,0.0,,1.0,1.5,0.667,0.667,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.0
