Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
2014,17,90,MIL,Milwaukee Bucks,19.0,NBA,SF,77,23,1897,173,418,0.41,41,118,0.35,132,300,0.44,0.46,138,202,0.68,78,261,339,150,60,61,122,173,525,,0
2015,17,90,MIL,Milwaukee Bucks,20.0,NBA,SG,81,71,2541,383,780,0.49,7,44,0.16,376,736,0.51,0.5,257,347,0.74,100,442,542,207,73,85,173,254,1030,,0
2016,17,90,MIL,Milwaukee Bucks,21.0,NBA,PG,80,79,2823,513,1013,0.51,28,109,0.26,485,904,0.54,0.52,296,409,0.72,113,499,612,345,94,113,208,258,1350,,5
2017,17,90,MIL,Milwaukee Bucks,22.0,NBA,SF,80,80,2845,656,1259,0.52,49,180,0.27,607,1079,0.56,0.54,471,612,0.77,142,558,700,434,131,151,234,246,1832,,3
2018,17,90,MIL,Milwaukee Bucks,23.0,NBA,PF,75,75,2756,742,1402,0.53,43,140,0.31,699,1262,0.55,0.55,487,641,0.76,156,597,753,361,109,106,223,231,2014,,1
2019,17,90,MIL,Milwaukee Bucks,24.0,NBA,PF,72,72,2358,721,1247,0.58,52,203,0.26,669,1044,0.64,0.6,500,686,0.73,159,739,898,424,92,110,268,232,1994,,5
2020,17,90,MIL,Milwaukee Bucks,25.0,NBA,PF,63,63,1917,685,1238,0.55,89,293,0.3,596,945,0.63,0.59,398,629,0.63,140,716,856,354,61,66,230,195,1857,,4
2021,17,90,MIL,Milwaukee Bucks,26.0,NBA,PF,15,15,485,149,273,0.55,21,70,0.3,128,203,0.63,0.58,86,147,0.58,26,132,158,80,16,16,59,52,405,,2
