Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1997,27,SAS,San Antonio Spurs,Avery Johnson,31.0,76,76.0,2472,327,685,0.48,6,26,0.23,321,659,0.49,0.48,140,203,0.69,32,115,147,513,96,15,146,158,800
1997,27,SAS,San Antonio Spurs,Vinny Del Negro,30.0,72,53.0,2243,365,781,0.47,44,140,0.31,321,641,0.5,0.5,112,129,0.87,39,171,210,231,59,7,92,131,886
1997,27,SAS,San Antonio Spurs,Vernon Maxwell,31.0,72,31.0,2068,340,906,0.38,115,372,0.31,225,534,0.42,0.44,134,180,0.74,27,132,159,153,87,19,121,168,929
1997,27,SAS,San Antonio Spurs,Dominique Wilkins,37.0,63,26.0,1945,397,953,0.42,70,239,0.29,327,714,0.46,0.45,281,350,0.8,169,233,402,119,39,31,135,100,1145
1997,27,SAS,San Antonio Spurs,Will Perdue,31.0,65,34.0,1918,233,410,0.57,0,0,,233,410,0.57,0.57,99,171,0.58,251,387,638,38,32,102,87,184,565
1997,27,SAS,San Antonio Spurs,Carl Herrera,30.0,75,58.0,1837,257,593,0.43,2,6,0.33,255,587,0.43,0.44,81,118,0.69,118,222,340,50,62,53,95,217,597
1997,27,SAS,San Antonio Spurs,Greg Anderson,32.0,82,48.0,1659,130,262,0.5,0,1,0.0,130,261,0.5,0.5,62,93,0.67,157,291,448,34,63,67,73,225,322
1997,27,SAS,San Antonio Spurs,Cory Alexander,23.0,80,6.0,1454,194,490,0.4,94,252,0.37,100,238,0.42,0.49,95,129,0.74,29,94,123,254,82,16,146,148,577
1997,27,SAS,San Antonio Spurs,Sean Elliott,28.0,39,39.0,1393,196,464,0.42,42,126,0.33,154,338,0.46,0.47,148,196,0.76,48,142,190,124,24,24,89,105,582
1997,27,SAS,San Antonio Spurs,Monty Williams,25.0,65,26.0,1345,234,460,0.51,0,1,0.0,234,459,0.51,0.51,120,186,0.64,98,108,206,91,55,52,116,161,588
1997,27,SAS,San Antonio Spurs,Jamie Feick,22.0,38,0.0,614,54,153,0.35,4,13,0.31,50,140,0.36,0.37,34,65,0.52,81,130,211,26,16,13,31,75,146
1997,27,SAS,San Antonio Spurs,Charles Smith,31.0,19,7.0,329,34,84,0.4,0,1,0.0,34,83,0.41,0.4,20,26,0.77,18,47,65,14,13,22,22,44,88
1997,27,SAS,San Antonio Spurs,David Robinson,31.0,6,6.0,147,36,72,0.5,0,0,,36,72,0.5,0.5,34,52,0.65,19,32,51,8,6,6,8,9,106
1997,27,SAS,San Antonio Spurs,Stephen Howard,26.0,7,0.0,69,7,12,0.58,0,0,,7,12,0.58,0.58,12,14,0.86,4,5,9,1,8,2,5,7,26
1997,27,SAS,San Antonio Spurs,Jason Sasser,23.0,6,0.0,62,8,19,0.42,1,2,0.5,7,17,0.41,0.45,0,0,,0,7,7,1,2,0,2,11,17
1997,27,SAS,San Antonio Spurs,Tim Kempton,33.0,10,0.0,59,1,5,0.2,0,0,,1,5,0.2,0.2,2,2,1.0,3,5,8,2,1,1,7,4,4
1997,27,SAS,San Antonio Spurs,Joe Courtney,27.0,5,0.0,48,5,16,0.31,0,0,,5,16,0.31,0.31,3,5,0.6,4,3,7,0,0,0,2,6,13
1997,27,SAS,San Antonio Spurs,Gaylon Nickerson,27.0,3,0.0,36,3,9,0.33,0,1,0.0,3,8,0.38,0.33,7,7,1.0,1,3,4,1,0,1,0,1,13
1997,27,SAS,San Antonio Spurs,Devin Gray,24.0,3,0.0,24,5,15,0.33,0,0,,5,15,0.33,0.33,0,1,0.0,3,2,5,0,1,0,5,8,10
1997,27,SAS,San Antonio Spurs,Darrin Hancock,25.0,1,0.0,8,1,2,0.5,0,0,,1,2,0.5,0.5,2,2,1.0,0,0,0,1,0,0,0,2,4
1997,27,SAS,San Antonio Spurs,Team Totals,,82,,19730,2827,6391,0.44,378,1180,0.32,2449,5211,0.47,0.47,1386,1929,0.72,1101,2129,3230,1661,646,431,1243,1764,7418
