Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1985,25,312,POR,Portland Trail Blazers,23.0,NBA,C,76.0,62.0,2216.0,4.9,9.0,0.54,0.0,0.0,,4.9,9.0,0.54,2.6,3.7,0.71,3.4,7.3,10.7,3.5,0.9,3.3,2.8,4.5,12.3
1986,25,312,POR,Portland Trail Blazers,24.0,NBA,C,38.0,34.0,1132.0,5.3,11.0,0.48,0.0,0.0,,5.3,11.0,0.48,3.6,5.1,0.71,3.0,7.4,10.4,3.1,0.7,3.1,2.8,4.5,14.2
1987,25,312,POR,Portland Trail Blazers,25.0,NBA,C,5.0,5.0,163.0,6.6,14.6,0.46,0.0,0.0,,6.6,14.6,0.46,4.4,6.6,0.67,3.1,4.2,7.3,2.0,0.2,2.2,3.3,4.2,17.7
1989,25,312,POR,Portland Trail Blazers,27.0,NBA,C,20.0,0.0,412.0,6.0,13.4,0.45,0.4,0.6,0.71,5.6,12.8,0.44,2.4,4.3,0.57,3.1,6.1,9.3,3.1,0.6,2.9,2.9,3.8,14.9
1990,3,312,NJN,New Jersey Nets,28.0,NBA,C,68.0,54.0,2207.0,5.7,13.6,0.42,0.2,0.5,0.32,5.5,13.1,0.42,4.8,6.2,0.78,3.4,7.9,11.3,1.5,0.6,2.0,2.0,3.4,16.3
1991,3,312,NJN,New Jersey Nets,29.0,NBA,C,62.0,51.0,1916.0,5.9,13.6,0.43,0.1,0.4,0.18,5.8,13.2,0.44,3.2,4.3,0.73,3.3,5.7,9.0,2.8,0.8,1.7,2.6,3.3,15.1
1992,3,312,NJN,New Jersey Nets,30.0,NBA,C,71.0,61.0,2179.0,7.0,15.6,0.44,0.1,0.4,0.32,6.8,15.2,0.45,3.5,4.6,0.76,3.4,6.2,9.5,3.1,0.7,2.0,2.5,3.5,17.5
1993,3,312,NJN,New Jersey Nets,31.0,NBA,C,79.0,65.0,2092.0,4.9,11.0,0.45,0.0,0.1,0.33,4.9,10.9,0.45,2.4,3.1,0.78,2.7,6.8,9.6,2.2,0.6,2.2,2.1,3.9,12.3
1994,14,312,LAL,Los Angeles Lakers,32.0,NBA,C,25.0,7.0,556.0,4.9,11.1,0.44,0.1,0.3,0.25,4.8,10.9,0.44,4.7,5.4,0.87,1.7,6.7,8.5,3.0,0.3,1.8,2.8,4.2,14.4
1995,14,312,LAL,Los Angeles Lakers,33.0,NBA,C,67.0,10.0,1225.0,3.5,7.8,0.44,0.1,0.3,0.18,3.4,7.5,0.45,2.0,2.6,0.76,2.1,6.3,8.5,3.5,0.6,2.4,2.7,5.3,9.0
