Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2011,25,133,POR,Portland Trail Blazers,21.0,NBA,SF,24.0,137.0,1.0,0.3,0.29,0.16,5.1,22.4,13.4,6.9,0.8,1.2,11.9,22.8,-0.6,0.1,-0.4,-0.14,-8.3,-2.5,-10.8,-0.3
2012,25,133,POR,Portland Trail Blazers,22.0,NBA,SF,40.0,537.0,11.3,0.56,0.58,0.12,3.4,17.5,10.3,4.8,1.0,0.6,12.9,17.8,0.4,0.3,0.7,0.06,-0.6,-1.8,-2.3,0.0
2013,25,133,POR,Portland Trail Blazers,23.0,NBA,PF,62.0,730.0,9.4,0.51,0.76,0.06,2.4,19.7,10.9,6.2,1.0,0.5,8.4,16.4,0.3,0.4,0.7,0.05,-1.7,-0.7,-2.4,-0.1
2014,19,133,NOP,New Orleans Pelicans,24.0,NBA,PF,27.0,473.0,12.1,0.52,0.62,0.12,4.4,17.5,10.8,9.4,0.8,1.9,8.5,17.0,0.5,0.2,0.7,0.07,0.0,-1.1,-1.1,0.1
2015,19,133,NOP,New Orleans Pelicans,25.0,NBA,SF,63.0,830.0,11.1,0.64,0.6,0.1,1.6,13.5,7.6,4.3,1.1,1.0,11.5,12.4,1.1,0.5,1.6,0.09,0.0,-0.3,-0.4,0.3
2016,19,133,NOP,New Orleans Pelicans,26.0,NBA,SF,47.0,845.0,11.6,0.53,0.38,0.17,3.2,16.7,9.7,9.6,0.6,0.7,6.9,17.5,0.8,0.3,1.1,0.06,-1.0,-1.5,-2.5,-0.1
2017,16,133,MIA,Miami Heat,27.0,NBA,SF,68.0,1065.0,8.3,0.56,0.75,0.05,1.2,13.5,7.3,4.8,0.9,0.8,8.0,13.0,0.8,1.0,1.8,0.08,-2.0,-0.1,-2.0,0.0
2018,31,133,TOT,Total After Trade,28.0,NBA,SF,50.0,715.0,9.8,0.58,0.73,0.1,1.1,13.9,7.5,6.5,0.5,0.8,7.8,15.0,0.5,0.4,0.9,0.06,-0.9,-1.5,-2.4,-0.1
2018,1,133,ATL,Atlanta Hawks,28.0,NBA,SF,37.0,570.0,12.0,0.64,0.66,0.13,1.0,14.9,7.9,7.0,0.6,0.8,7.8,14.8,0.9,0.3,1.1,0.09,0.4,-1.1,-0.7,0.2
2018,16,133,MIA,Miami Heat,28.0,NBA,SF,13.0,145.0,1.3,0.35,0.96,0.0,1.5,10.1,5.8,4.8,0.3,1.2,7.8,15.8,-0.3,0.1,-0.2,-0.07,-5.9,-3.3,-9.2,-0.3
