PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Ty Lawson,23,5,5,167,5.6,11.2,0.5,1.1,2.4,0.455,4.5,8.8,0.512,4.5,5.0,0.9129999999999999,1.5,2.2,3.7,4.1,1.1,0.2,1.3,1.9,16.8
Nenê Hilário,28,5,5,162,4.9,10.2,0.478,0.0,0.0,,4.9,10.2,0.478,6.0,10.7,0.563,3.1,6.9,10.0,1.8,1.1,0.9,1.8,3.8,15.8
Raymond Felton,26,5,0,152,4.3,11.8,0.36,0.9,3.8,0.25,3.3,8.1,0.41200000000000003,4.3,5.7,0.75,0.0,2.1,2.1,5.0,1.4,0.0,2.4,2.4,13.7
Danilo Gallinari,22,5,5,148,4.6,10.7,0.43200000000000005,1.7,3.6,0.467,2.9,7.1,0.414,3.6,5.1,0.7140000000000001,0.2,3.9,4.1,2.4,1.0,0.0,1.7,4.1,14.6
Kenyon Martin,33,5,5,148,5.8,12.2,0.48,0.0,0.0,,5.8,12.2,0.48,2.7,4.4,0.611,1.5,8.0,9.5,1.9,0.5,0.5,1.7,4.4,14.4
Wilson Chandler,23,5,2,115,2.5,9.1,0.276,0.3,2.2,0.14300000000000002,2.2,6.9,0.318,2.2,2.8,0.778,0.6,6.3,6.9,0.6,0.9,1.3,1.3,4.7,7.5
Arron Afflalo,25,3,3,85,5.1,14.4,0.353,1.3,5.1,0.25,3.8,9.3,0.409,3.0,3.4,0.875,0.0,3.8,3.8,3.0,0.0,0.0,1.3,4.2,14.4
J.R. Smith,25,5,0,76,7.6,21.3,0.35600000000000004,4.3,9.9,0.429,3.3,11.4,0.292,3.8,5.2,0.727,0.5,4.3,4.7,2.4,0.9,0.0,3.8,3.8,23.2
Chris Andersen,32,5,0,73,3.5,5.4,0.636,0.0,0.0,,3.5,5.4,0.636,4.9,6.9,0.7140000000000001,2.5,4.4,6.9,1.5,1.5,3.5,1.5,3.9,11.8
Al Harrington,30,5,0,70,5.1,11.3,0.455,2.6,5.1,0.5,2.6,6.2,0.41700000000000004,1.5,2.1,0.75,0.5,3.1,3.6,2.6,1.5,0.0,2.1,3.6,14.4
Gary Forbes,25,1,0,2,0.0,18.0,0.0,0.0,0.0,,0.0,18.0,0.0,0.0,0.0,,0.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
Kosta Koufos,21,1,0,2,18.0,18.0,1.0,0.0,0.0,,18.0,18.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
