Season,Team ID,Team,Team ABV
1987,25,Portland Trail Blazers,POR
1987,14,Los Angeles Lakers,LAL
1987,8,Denver Nuggets,DEN
1987,7,Dallas Mavericks,DAL
1987,21,Seattle Supersonics,SEA
1987,2,Boston Celtics,BOS
1987,10,Golden State Warriors,GSW
1987,9,Detroit Pistons,DET
1987,24,Phoenix Suns,PHO
1987,26,Sacramento Kings,SAC
1987,17,Milwaukee Bucks,MIL
1987,1,Atlanta Hawks,ATL
1987,3,New Jersey Nets,NJN
1987,27,San Antonio Spurs,SAS
1987,29,Utah Jazz,UTA
1987,11,Houston Rockets,HOU
1987,23,Philadelphia 76Ers,PHI
1987,12,Indiana Pacers,IND
1987,30,Washington Bullets,WAB
1987,5,Chicago Bulls,CHI
1987,13,Los Angeles Clippers,LAC
1987,6,Cleveland Cavaliers,CLE
1987,20,New York Knicks,NYK
