Season,Team ID,Team,Team ABV
1981,8,Denver Nuggets,DEN
1981,17,Milwaukee Bucks,MIL
1981,27,San Antonio Spurs,SAS
1981,23,Philadelphia 76Ers,PHI
1981,14,Los Angeles Lakers,LAL
1981,25,Portland Trail Blazers,POR
1981,24,Phoenix Suns,PHO
1981,2,Boston Celtics,BOS
1981,10,Golden State Warriors,GSW
1981,5,Chicago Bulls,CHI
1981,11,Houston Rockets,HOU
1981,20,New York Knicks,NYK
1981,12,Indiana Pacers,IND
1981,26,Kansas City Kings,KCK
1981,3,New Jersey Nets,NJN
1981,13,San Diego Clippers,SDC
1981,6,Cleveland Cavaliers,CLE
1981,30,Washington Bullets,WSB
1981,1,Atlanta Hawks,ATL
1981,21,Seattle Supersonics,SEA
1981,7,Dallas Mavericks,DAL
1981,29,Utah Jazz,UTA
1981,9,Detroit Pistons,DET
