SEASON,TEAM ID,Team,TEAM
2000,26,Sacramento Kings,SAC
2000,9,Detroit Pistons,DET
2000,7,Dallas Mavericks,DAL
2000,12,Indiana Pacers,IND
2000,17,Milwaukee Bucks,MIL
2000,14,Los Angeles Lakers,LAL
2000,22,Orlando Magic,ORL
2000,11,Houston Rockets,HOU
2000,2,Boston Celtics,BOS
2000,21,Seattle Supersonics,SEA
2000,8,Denver Nuggets,DEN
2000,24,Phoenix Suns,PHO
2000,18,Minnesota Timberwolves,MIN
2000,4,Charlotte Hornets,CHO
2000,3,New Jersey Nets,NJN
2000,25,Portland Trail Blazers,POR
2000,28,Toronto Raptors,TOR
2000,6,Cleveland Cavaliers,CLE
2000,30,Washington Wizards,WAS
2000,29,Utah Jazz,UTA
2000,27,San Antonio Spurs,SAS
2000,10,Golden State Warriors,GSW
2000,23,Philadelphia 76Ers,PHI
2000,16,Miami Heat,MIA
2000,1,Atlanta Hawks,ALT
2000,15,Vancouver Grizzlies,VAN
2000,20,New York Knicks,NYK
2000,13,Los Angeles Clippers,LAC
2000,5,Chicago Bulls,CHI
