Season,Team ID,Team,Team ABV
1982,8,Denver Nuggets,DEN
1982,14,Los Angeles Lakers,LAL
1982,27,San Antonio Spurs,SAS
1982,2,Boston Celtics,BOS
1982,23,Philadelphia 76Ers,PHI
1982,9,Detroit Pistons,DET
1982,29,Utah Jazz,UTA
1982,10,Golden State Warriors,GSW
1982,25,Portland Trail Blazers,POR
1982,13,San Diego Clippers,SDC
1982,17,Milwaukee Bucks,MIL
1982,21,Seattle Supersonics,SEA
1982,26,Kansas City Kings,KCK
1982,3,New Jersey Nets,NJN
1982,5,Chicago Bulls,CHI
1982,20,New York Knicks,NYK
1982,24,Phoenix Suns,PHO
1982,11,Houston Rockets,HOU
1982,7,Dallas Mavericks,DAL
1982,30,Washington Bullets,WSB
1982,6,Cleveland Cavaliers,CLE
1982,12,Indiana Pacers,IND
1982,1,Atlanta Hawks,ATL
