Season,Team ID,Team,Team ABV
1989,24,Phoenix Suns,PHO
1989,8,Denver Nuggets,DEN
1989,20,New York Knicks,NYK
1989,10,Golden State Warriors,GSW
1989,14,Los Angeles Lakers,LAL
1989,25,Portland Trail Blazers,POR
1989,21,Seattle Supersonics,SEA
1989,23,Philadelphia 76Ers,PHI
1989,1,Atlanta Hawks,ATL
1989,2,Boston Celtics,BOS
1989,17,Milwaukee Bucks,MIL
1989,6,Cleveland Cavaliers,CLE
1989,11,Houston Rockets,HOU
1989,30,Washington Bullets,WAB
1989,12,Indiana Pacers,IND
1989,9,Detroit Pistons,DET
1989,5,Chicago Bulls,CHI
1989,13,Los Angeles Clippers,LAC
1989,27,San Antonio Spurs,SAS
1989,26,Sacramento Kings,SAC
1989,29,Utah Jazz,UTA
1989,4,Charlotte Hornets,CHO
1989,3,New Jersey Nets,NJN
1989,7,Dallas Mavericks,DAL
1989,16,Miami Heat,MIA
