Season,Team ID,Team,Team ABV
1988,8,Denver Nuggets,DEN
1988,25,Portland Trail Blazers,POR
1988,2,Boston Celtics,BOS
1988,27,San Antonio Spurs,SAS
1988,14,Los Angeles Lakers,LAL
1988,21,Seattle Supersonics,SEA
1988,7,Dallas Mavericks,DAL
1988,9,Detroit Pistons,DET
1988,11,Houston Rockets,HOU
1988,24,Phoenix Suns,PHO
1988,29,Utah Jazz,UTA
1988,26,Sacramento Kings,SAC
1988,1,Atlanta Hawks,ATL
1988,10,Golden State Warriors,GSW
1988,17,Milwaukee Bucks,MIL
1988,23,Philadelphia 76Ers,PHI
1988,20,New York Knicks,NYK
1988,30,Washington Bullets,WSB
1988,5,Chicago Bulls,CHI
1988,12,Indiana Pacers,IND
1988,6,Cleveland Cavaliers,CLE
1988,3,New Jersey Nets,NJN
1988,13,Los Angeles Clippers,LAC
