SEASON,TEAM ID,Team,TEAM
1997,5,Chicago Bulls,CHI
1997,29,Utah Jazz,UTA
1997,24,Phoenix Suns,PHO
1997,21,Seattle Supersonics,SEA
1997,2,Boston Celtics,BOS
1997,11,Houston Rockets,HOU
1997,23,Philadelphia 76Ers,PHI
1997,14,Los Angeles Lakers,LAL
1997,10,Golden State Warriors,GSW
1997,30,Washington Bullets,WAB
1997,25,Portland Trail Blazers,POR
1997,4,Charlotte Hornets,CHO
1997,8,Denver Nuggets,DEN
1997,3,New Jersey Nets,NJN
1997,13,Los Angeles Clippers,LAC
1997,26,Sacramento Kings,SAC
1997,18,Minnesota Timberwolves,MIN
1997,28,Toronto Raptors,TOR
1997,20,New York Knicks,NYK
1997,12,Indiana Pacers,IND
1997,17,Milwaukee Bucks,MIL
1997,16,Miami Heat,MIA
1997,1,Atlanta Hawks,ALT
1997,9,Detroit Pistons,DET
1997,22,Orlando Magic,ORL
1997,7,Dallas Mavericks,DAL
1997,27,San Antonio Spurs,SAS
1997,15,Vancouver Grizzlies,VAN
1997,6,Cleveland Cavaliers,CLE
