Season,Team ID,Team,Team ABV
1984,8,Denver Nuggets,DEN
1984,27,San Antonio Spurs,SAS
1984,9,Detroit Pistons,DET
1984,14,Los Angeles Lakers,LAL
1984,29,Utah Jazz,UTA
1984,25,Portland Trail Blazers,POR
1984,2,Boston Celtics,BOS
1984,24,Phoenix Suns,PHO
1984,13,San Diego Clippers,SDC
1984,11,Houston Rockets,HOU
1984,7,Dallas Mavericks,DAL
1984,26,Kansas City Kings,KCK
1984,3,New Jersey Nets,NJN
1984,10,Golden State Warriors,GSW
1984,21,Seattle Supersonics,SEA
1984,23,Philadelphia 76Ers,PHI
1984,20,New York Knicks,NYK
1984,17,Milwaukee Bucks,MIL
1984,12,Indiana Pacers,IND
1984,5,Chicago Bulls,CHI
1984,30,Washington Bullets,WAB
1984,6,Cleveland Cavaliers,CLE
1984,1,Atlanta Hawks,ATL
