Season,Team ID,Team,Team ABV
2011,8,Denver Nuggets,DEN
2011,20,New York Knicks,NYK
2011,11,Houston Rockets,HOU
2011,24,Phoenix Suns,PHO
2011,21,Oklahoma City Thunder,OKC
2011,27,San Antonio Spurs,SAS
2011,10,Golden State Warriors,GSW
2011,16,Miami Heat,MIA
2011,14,Los Angeles Lakers,LAL
2011,18,Minnesota Timberwolves,MIN
2011,7,Dallas Mavericks,DAL
2011,15,Memphis Grizzlies,MEM
2011,12,Indiana Pacers,IND
2011,29,Utah Jazz,UTA
2011,26,Sacramento Kings,SAC
2011,22,Orlando Magic,ORL
2011,28,Toronto Raptors,TOR
2011,23,Philadelphia 76Ers,PHI
2011,13,Los Angeles Clippers,LAC
2011,5,Chicago Bulls,CHI
2011,30,Washington Wizards,WAS
2011,9,Detroit Pistons,DET
2011,2,Boston Celtics,BOS
2011,25,Portland Trail Blazers,POR
2011,6,Cleveland Cavaliers,CLE
2011,1,Atlanta Hawks,ATL
2011,19,New Orleans Hornets,NOH
2011,3,New Jersey Nets,NJN
2011,4,Charlotte Bobcats,CHA
2011,17,Milwaukee Bucks,MIL
