Season,Team ID,Team,Team ABV
1985,8,Denver Nuggets,DEN
1985,14,Los Angeles Lakers,LAL
1985,9,Detroit Pistons,DET
1985,25,Portland Trail Blazers,POR
1985,26,Kansas City Kings,KCK
1985,2,Boston Celtics,BOS
1985,27,San Antonio Spurs,SAS
1985,23,Philadelphia 76Ers,PHI
1985,11,Houston Rockets,HOU
1985,7,Dallas Mavericks,DAL
1985,17,Milwaukee Bucks,MIL
1985,10,Golden State Warriors,GSW
1985,3,New Jersey Nets,NJN
1985,29,Utah Jazz,UTA
1985,5,Chicago Bulls,CHI
1985,6,Cleveland Cavaliers,CLE
1985,12,Indiana Pacers,IND
1985,24,Phoenix Suns,PHO
1985,13,Los Angeles Clippers,LAC
1985,1,Atlanta Hawks,ATL
1985,30,Washington Bullets,WAB
1985,20,New York Knicks,NYK
1985,21,Seattle Supersonics,SEA
