Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009,21,3076,OKC,Oklahoma City Thunder,Russell Westbrook,"November 12, 1988",20.0,NBA,PG,82.0,65.0,32.5,5.3,13.4,0.4,0.4,1.6,0.27,4.9,11.8,0.42,0.41,4.3,5.2,0.82,2.2,2.7,4.9,5.3,1.3,0.2,3.3,2.3,15.3
2010,21,3076,OKC,Oklahoma City Thunder,Russell Westbrook,"November 12, 1988",21.0,NBA,PG,82.0,82.0,34.3,5.9,14.1,0.42,0.3,1.3,0.22,5.6,12.9,0.44,0.43,4.0,5.1,0.78,1.7,3.1,4.9,8.0,1.3,0.4,3.3,2.5,16.1
2011,21,3076,OKC,Oklahoma City Thunder,Russell Westbrook,"November 12, 1988",22.0,NBA,PG,82.0,82.0,34.7,7.5,17.0,0.44,0.4,1.3,0.33,7.1,15.7,0.45,0.45,6.5,7.7,0.84,1.5,3.1,4.6,8.2,1.9,0.4,3.9,2.5,21.9
2012,21,3076,OKC,Oklahoma City Thunder,Russell Westbrook,"November 12, 1988",23.0,NBA,PG,66.0,66.0,35.3,8.8,19.2,0.46,0.9,3.0,0.32,7.8,16.2,0.48,0.48,5.2,6.3,0.82,1.5,3.1,4.6,5.5,1.7,0.3,3.6,2.2,23.6
2013,21,3076,OKC,Oklahoma City Thunder,Russell Westbrook,"November 12, 1988",24.0,NBA,PG,82.0,82.0,34.9,8.2,18.7,0.44,1.2,3.7,0.32,7.0,15.1,0.47,0.47,5.6,7.0,0.8,1.4,3.9,5.2,7.4,1.8,0.3,3.3,2.3,23.2
2014,21,3076,OKC,Oklahoma City Thunder,Russell Westbrook,"November 12, 1988",25.0,NBA,PG,46.0,46.0,30.7,7.5,17.2,0.44,1.5,4.7,0.32,6.0,12.5,0.48,0.48,5.3,6.4,0.83,1.2,4.5,5.7,6.9,1.9,0.2,3.8,2.3,21.8
2015,21,3076,OKC,Oklahoma City Thunder,Russell Westbrook,"November 12, 1988",26.0,NBA,PG,67.0,67.0,34.4,9.4,22.0,0.43,1.3,4.3,0.3,8.1,17.7,0.46,0.46,8.1,9.8,0.84,1.9,5.4,7.3,8.6,2.1,0.2,4.4,2.7,28.1
2016,21,3076,OKC,Oklahoma City Thunder,Russell Westbrook,"November 12, 1988",27.0,NBA,PG,80.0,80.0,34.4,8.2,18.1,0.45,1.3,4.3,0.3,6.9,13.8,0.5,0.49,5.8,7.2,0.81,1.8,6.0,7.8,10.4,2.0,0.3,4.3,2.5,23.5
2017,21,3076,OKC,Oklahoma City Thunder,Russell Westbrook,"November 12, 1988",28.0,NBA,PG,81.0,81.0,34.6,10.2,24.0,0.42,2.5,7.2,0.34,7.7,16.8,0.46,0.48,8.8,10.4,0.84,1.7,9.0,10.7,10.4,1.6,0.4,5.4,2.3,31.6
2018,21,3076,OKC,Oklahoma City Thunder,Russell Westbrook,"November 12, 1988",29.0,NBA,PG,80.0,80.0,36.4,9.5,21.1,0.45,1.2,4.1,0.3,8.3,17.0,0.48,0.48,5.2,7.1,0.74,1.9,8.2,10.1,10.3,1.8,0.3,4.8,2.5,25.4
2019,21,3076,OKC,Oklahoma City Thunder,Russell Westbrook,"November 12, 1988",30.0,NBA,PG,73.0,73.0,36.0,8.6,20.2,0.43,1.6,5.6,0.29,7.0,14.5,0.48,0.47,4.1,6.2,0.66,1.5,9.6,11.1,10.7,1.9,0.5,4.5,3.4,22.9
2020,11,3076,HOU,Houston Rockets,Russell Westbrook,"November 12, 1988",31.0,NBA,PG,57.0,57.0,35.9,10.6,22.5,0.47,1.0,3.7,0.26,9.6,18.7,0.51,0.49,5.1,6.7,0.76,1.8,6.2,7.9,7.0,1.6,0.4,4.5,3.5,27.2
2021,30,3076,WAS,Washington Wizards,Russell Westbrook,"November 12, 1988",32.0,NBA,PG,13.0,13.0,33.3,7.4,17.9,0.41,1.5,4.3,0.36,5.8,13.6,0.43,0.46,3.7,5.5,0.68,1.4,7.7,9.1,9.0,0.8,0.3,4.8,3.0,20.0
