Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
2008,27,1815,SAS,San Antonio Spurs,Ian Mahinmi,"November 5, 1986",21.0,NBA,C,6.0,0.0,23.0,14.1,28.2,0.5,0.0,0.0,,14.1,28.2,0.5,21.2,21.2,1.0,0.0,11.8,11.8,2.4,0.0,9.4,4.7,9.4,49.4,,123.0,92.0
2010,27,1815,SAS,San Antonio Spurs,Ian Mahinmi,"November 5, 1986",23.0,NBA,C,26.0,0.0,165.0,11.1,17.5,0.64,0.0,0.0,,11.1,17.5,0.64,9.8,14.9,0.66,4.1,12.4,16.5,0.6,1.0,2.5,4.8,10.2,32.1,,115.0,100.0
2011,7,1815,DAL,Dallas Mavericks,Ian Mahinmi,"November 5, 1986",24.0,NBA,C,56.0,0.0,488.0,5.9,10.6,0.56,0.0,0.2,0.0,5.9,10.3,0.57,6.8,8.8,0.77,4.6,8.3,12.9,0.9,1.5,1.6,2.7,11.3,18.6,,121.0,103.0
2012,7,1815,DAL,Dallas Mavericks,Ian Mahinmi,"November 5, 1986",25.0,NBA,C,61.0,12.0,1139.0,6.0,11.0,0.55,0.0,0.0,0.0,6.0,10.9,0.55,4.3,6.8,0.64,5.0,8.3,13.3,0.6,1.8,1.4,2.3,8.1,16.3,,113.0,101.0
2013,12,1815,IND,Indiana Pacers,Ian Mahinmi,"November 5, 1986",26.0,NBA,C,80.0,2.0,1322.0,6.0,13.2,0.45,0.0,0.1,0.0,6.0,13.2,0.46,4.2,6.9,0.61,4.6,7.9,12.5,1.1,1.6,2.7,3.7,8.1,16.2,,95.0,98.0
2014,12,1815,IND,Indiana Pacers,Ian Mahinmi,"November 5, 1986",27.0,NBA,C,77.0,1.0,1248.0,3.8,7.9,0.48,0.0,0.0,0.0,3.8,7.8,0.48,3.7,6.0,0.62,4.4,6.2,10.7,1.0,1.7,3.0,2.4,8.6,11.3,,105.0,97.0
2015,12,1815,IND,Indiana Pacers,Ian Mahinmi,"November 5, 1986",28.0,NBA,C,61.0,6.0,1146.0,5.3,9.5,0.55,0.0,0.0,,5.3,9.5,0.55,1.4,4.6,0.3,4.7,11.3,16.0,1.5,1.3,2.1,2.7,7.7,11.9,,98.0,100.0
2016,12,1815,IND,Indiana Pacers,Ian Mahinmi,"November 5, 1986",29.0,NBA,C,71.0,71.0,1816.0,7.2,12.3,0.59,0.0,0.0,,7.2,12.3,0.59,3.6,6.2,0.59,3.8,10.1,13.9,2.8,1.8,2.1,2.7,6.0,18.1,,114.0,100.0
2017,30,1815,WAS,Washington Wizards,Ian Mahinmi,"November 5, 1986",30.0,NBA,C,31.0,0.0,555.0,5.8,9.9,0.59,0.0,0.0,,5.8,9.9,0.59,3.8,6.7,0.57,4.2,9.1,13.3,1.7,2.9,2.1,3.0,8.0,15.4,,110.0,104.0
2018,30,1815,WAS,Washington Wizards,Ian Mahinmi,"November 5, 1986",31.0,NBA,C,77.0,0.0,1145.0,6.0,10.8,0.56,0.0,0.1,0.0,6.0,10.7,0.56,3.9,5.6,0.7,5.9,7.7,13.5,2.3,1.6,1.8,4.3,10.0,15.9,,107.0,107.0
2019,30,1815,WAS,Washington Wizards,Ian Mahinmi,"November 5, 1986",32.0,NBA,C,34.0,6.0,498.0,4.5,9.9,0.45,0.3,1.5,0.19,4.2,8.4,0.5,4.0,5.8,0.69,4.6,7.6,12.2,2.4,2.4,1.5,2.0,8.0,13.2,,113.0,111.0
2020,30,1815,WAS,Washington Wizards,Ian Mahinmi,"November 5, 1986",33.0,NBA,C,38.0,35.0,808.0,6.0,12.1,0.5,0.3,1.5,0.19,5.7,10.6,0.54,4.0,6.5,0.62,4.5,8.1,12.6,2.8,1.8,2.5,2.6,6.6,16.4,,110.0,112.0
