PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Magic Johnson,28,24,24,965,6.3,12.3,0.514,0.3,0.5,0.5,6.0,11.8,0.514,4.9,5.8,0.852,1.2,3.7,4.8,11.3,1.3,0.1,3.1,2.3,17.8
Byron Scott,26,24,24,897,7.1,14.3,0.499,1.0,2.2,0.436,6.2,12.1,0.51,3.6,4.2,0.865,1.0,3.0,4.0,2.4,1.4,0.2,1.9,2.6,18.9
James Worthy,26,24,24,896,8.2,15.7,0.523,0.0,0.4,0.111,8.2,15.3,0.5329999999999999,3.9,5.1,0.758,2.1,3.5,5.6,4.3,1.3,0.8,2.2,2.3,20.3
A.C. Green,24,24,18,726,4.6,8.4,0.544,0.0,0.0,,4.6,8.4,0.544,2.7,3.6,0.753,2.8,5.9,8.7,1.0,0.5,0.6,1.3,3.0,11.9
Kareem Abdul-Jabbar,40,24,24,718,7.1,15.2,0.46399999999999997,0.0,0.1,0.0,7.1,15.1,0.467,2.8,3.6,0.789,2.5,4.1,6.6,1.8,0.8,1.9,2.3,4.1,16.9
Mychal Thompson,33,24,0,615,5.7,11.2,0.513,0.0,0.0,,5.7,11.2,0.513,2.1,3.6,0.581,3.7,6.3,10.0,0.7,1.0,1.2,1.9,4.1,13.6
Michael Cooper,31,24,0,588,3.3,8.0,0.41200000000000003,1.5,3.8,0.40299999999999997,1.8,4.2,0.42,1.2,1.7,0.741,0.9,2.6,3.6,4.0,1.2,0.6,1.3,3.5,9.4
Kurt Rambis,29,19,6,186,4.1,6.6,0.618,0.0,0.0,,4.1,6.6,0.618,1.7,2.5,0.6920000000000001,2.5,7.4,9.9,1.7,1.0,0.4,1.5,5.4,9.9
Tony Campbell,25,15,0,94,6.9,16.1,0.429,0.0,0.4,0.0,6.9,15.7,0.439,4.2,6.1,0.688,1.5,2.3,3.8,1.9,1.1,0.0,1.9,6.1,18.0
Mike Smrek,25,8,0,34,1.1,5.3,0.2,0.0,0.0,,1.1,5.3,0.2,1.1,3.2,0.33299999999999996,1.1,5.3,6.4,0.0,1.1,3.2,2.1,4.2,3.2
Wes Matthews,28,10,0,27,2.7,6.7,0.4,0.0,1.3,0.0,2.7,5.3,0.5,10.7,13.3,0.8,0.0,1.3,1.3,2.7,1.3,0.0,4.0,5.3,16.0
Milt Wagner,24,5,0,14,5.1,12.9,0.4,0.0,2.6,0.0,5.1,10.3,0.5,5.1,5.1,1.0,0.0,5.1,5.1,7.7,0.0,2.6,0.0,7.7,15.4
