Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
2009,24,1777,PHO,Phoenix Suns,20.0,NBA,C,60.0,614.0,11.6,0.57,0.01,0.5,10.3,12.1,11.2,1.8,0.9,4.9,14.4,14.0,,0.6,0.4,1.1,0.08,,-3.1,-0.3,-3.4,-0.2
2010,24,1777,PHO,Phoenix Suns,21.0,NBA,C,51.0,986.0,17.6,0.62,0.0,0.43,12.6,15.6,14.2,1.1,0.5,3.8,10.6,17.3,,2.5,0.8,3.2,0.16,,0.3,-0.9,-0.6,0.4
2011,24,1777,PHO,Phoenix Suns,22.0,NBA,C,67.0,991.0,13.9,0.54,0.0,0.28,9.5,15.6,12.6,1.3,0.9,3.4,10.7,20.4,,0.8,0.8,1.5,0.07,,-3.1,-1.0,-4.1,-0.5
2012,24,1777,PHO,Phoenix Suns,23.0,NBA,C,64.0,895.0,15.2,0.53,0.0,0.52,11.5,14.8,13.2,3.4,1.0,4.9,11.5,18.9,,1.2,0.9,2.1,0.12,,-2.2,0.0,-2.2,0.0
2013,19,1777,NOH,New Orleans Hornets,24.0,NBA,C,82.0,2136.0,18.9,0.57,0.0,0.29,12.4,13.4,12.9,5.3,0.8,5.0,12.0,20.0,,4.4,1.2,5.6,0.13,,1.3,-0.7,0.6,1.4
2014,25,1777,POR,Portland Trail Blazers,25.0,NBA,C,82.0,2603.0,17.7,0.6,0.0,0.38,13.6,15.3,14.5,4.2,0.5,3.7,10.1,14.0,,7.0,2.6,9.5,0.18,,1.2,-0.1,1.2,2.1
2015,25,1777,POR,Portland Trail Blazers,26.0,NBA,C,59.0,1638.0,16.2,0.57,0.0,0.29,12.7,13.1,12.9,5.1,0.5,3.7,12.9,15.5,,3.2,1.9,5.1,0.15,,0.1,0.1,0.1,0.9
2016,20,1777,NYK,New York Knicks,27.0,NBA,C,82.0,2219.0,17.6,0.57,0.0,0.24,13.4,16.2,14.8,8.5,0.4,4.4,15.4,17.7,,3.7,2.1,5.8,0.13,,0.4,-0.5,-0.2,1.0
2017,5,1777,CHI,Charlotte Bobcats,28.0,NBA,C,81.0,2271.0,14.4,0.51,0.0,0.13,11.5,13.2,12.3,5.6,0.4,4.1,10.0,17.5,,1.8,2.4,4.3,0.09,,-1.4,-0.8,-2.2,-0.1
2018,5,1777,CHI,Charlotte Bobcats,29.0,NBA,C,64.0,1690.0,14.7,0.55,0.02,0.14,8.2,10.3,9.2,12.3,0.4,2.8,13.5,20.4,,1.2,0.7,1.9,0.06,,-0.9,-1.3,-2.2,-0.1
2019,5,1777,CHI,Charlotte Bobcats,30.0,NBA,C,74.0,1606.0,15.9,0.6,0.06,0.23,9.4,10.0,9.7,8.8,0.3,4.2,14.0,18.6,,2.0,0.7,2.7,0.08,,-0.6,-1.4,-1.9,0.0
2020,17,1777,MIL,Milwaukee Bucks,31.0,NBA,C,66.0,958.0,10.2,0.55,0.35,0.18,6.2,10.2,8.3,6.3,0.5,4.1,16.4,16.6,,-0.1,1.6,1.5,0.08,,-3.0,0.4,-2.6,-0.2
2021,30,1777,WAS,Washington Wizards,32.0,NBA,C,11.0,178.0,14.7,0.63,0.11,0.56,11.5,16.6,13.9,4.5,0.3,2.9,11.1,14.5,,0.4,0.1,0.4,0.12,,-1.2,-2.3,-3.5,-0.1
