Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009,25,195,POR,Portland Trail Blazers,Jerryd Bayless,"August 20, 1988",20.0,NBA,PG,53.0,0.0,655.0,3.8,10.4,0.36,0.4,1.5,0.26,3.4,8.9,0.38,4.6,5.7,0.81,0.4,2.7,3.1,4.3,0.9,0.1,3.1,4.5,12.5
2010,25,195,POR,Portland Trail Blazers,Jerryd Bayless,"August 20, 1988",21.0,NBA,SG,74.0,11.0,1304.0,5.5,13.3,0.41,0.8,2.5,0.32,4.7,10.8,0.44,5.5,6.7,0.83,0.5,2.8,3.3,4.7,0.7,0.1,2.6,4.2,17.4
2011,31,195,TOT,Total After Trade,Jerryd Bayless,"August 20, 1988",22.0,NBA,PG,71.0,14.0,1496.0,5.2,12.4,0.42,1.2,3.5,0.34,4.1,8.9,0.46,4.0,5.0,0.81,0.6,3.3,4.0,6.4,0.9,0.1,3.1,3.6,15.7
2011,19,195,NOH,New Orleans Hornets,Jerryd Bayless,"August 20, 1988",22.0,NBA,PG,11.0,0.0,149.0,4.1,11.8,0.35,0.7,3.4,0.21,3.4,8.5,0.4,3.1,4.1,0.76,0.5,3.1,3.6,6.8,0.5,0.2,4.1,3.9,12.1
2011,28,195,TOR,Toronto Raptors,Jerryd Bayless,"August 20, 1988",22.0,NBA,PG,60.0,14.0,1347.0,5.4,12.5,0.43,1.2,3.5,0.35,4.1,9.0,0.46,4.1,5.1,0.81,0.6,3.4,4.0,6.4,1.0,0.1,2.9,3.6,16.1
2012,28,195,TOR,Toronto Raptors,Jerryd Bayless,"August 20, 1988",23.0,NBA,PG,31.0,11.0,705.0,6.0,14.1,0.42,2.2,5.3,0.42,3.7,8.8,0.42,3.8,4.5,0.85,0.4,3.0,3.4,6.0,1.2,0.2,2.7,3.6,18.0
2013,15,195,MEM,Memphis Grizzlies,Jerryd Bayless,"August 20, 1988",24.0,NBA,PG,80.0,4.0,1765.0,5.3,12.7,0.42,1.4,4.1,0.35,3.9,8.6,0.45,2.1,2.5,0.84,0.4,3.1,3.6,5.4,1.2,0.3,2.4,3.4,14.1
2014,31,195,TOT,Total After Trade,Jerryd Bayless,"August 20, 1988",25.0,NBA,PG,72.0,19.0,1686.0,5.3,13.2,0.4,1.6,4.5,0.36,3.7,8.6,0.42,2.0,2.5,0.8,0.5,2.6,3.1,4.1,1.3,0.2,1.8,3.4,14.2
2014,15,195,MEM,Memphis Grizzlies,Jerryd Bayless,"August 20, 1988",25.0,NBA,PG,31.0,5.0,650.0,5.0,13.2,0.38,1.4,4.6,0.3,3.6,8.6,0.42,2.5,3.2,0.79,0.4,2.8,3.3,3.7,1.1,0.3,1.2,4.0,13.8
2014,2,195,BOS,Boston Celtics,Jerryd Bayless,"August 20, 1988",25.0,NBA,PG,41.0,14.0,1036.0,5.5,13.1,0.42,1.8,4.5,0.4,3.7,8.7,0.43,1.7,2.1,0.8,0.5,2.5,3.0,4.4,1.4,0.1,2.1,3.1,14.5
2015,17,195,MIL,Milwaukee Bucks,Jerryd Bayless,"August 20, 1988",26.0,NBA,PG,77.0,4.0,1717.0,4.6,10.8,0.43,0.8,2.5,0.31,3.8,8.3,0.46,2.5,2.9,0.88,0.5,4.0,4.4,4.9,1.2,0.3,2.8,3.4,12.5
2016,17,195,MIL,Milwaukee Bucks,Jerryd Bayless,"August 20, 1988",27.0,NBA,SG,52.0,18.0,1505.0,4.4,10.5,0.42,2.4,5.5,0.44,2.0,4.9,0.41,1.7,2.2,0.78,0.5,2.9,3.4,3.9,1.1,0.3,1.7,2.7,12.9
2017,23,195,PHI,Philadelphia 76Ers,Jerryd Bayless,"August 20, 1988",28.0,NBA,PG,3.0,1.0,71.0,5.6,16.2,0.34,1.0,2.5,0.4,4.6,13.7,0.33,4.6,5.1,0.9,1.5,4.6,6.1,6.6,0.0,0.0,4.6,2.0,16.7
2018,23,195,PHI,Philadelphia 76Ers,Jerryd Bayless,"August 20, 1988",29.0,NBA,SG,39.0,11.0,925.0,4.2,10.2,0.42,2.1,5.7,0.37,2.1,4.5,0.47,1.4,1.7,0.8,0.6,2.5,3.1,2.1,0.9,0.2,1.8,3.5,11.9
2019,18,195,MIN,Minnesota Timberwolves,Jerryd Bayless,"August 20, 1988",30.0,NBA,PG,34.0,6.0,657.0,4.5,12.6,0.36,1.6,5.4,0.3,2.9,7.2,0.4,0.9,1.5,0.57,0.6,2.8,3.4,6.5,1.0,0.1,1.8,3.1,11.5
