Season,Tm,Player,Rank,Pts Won,Pts Max,Share,Type
1995,SAS,David Robinson,1,901.0,1050,0.858,MVP
1995,ORL,Shaquille O'Neal,2,605.0,1050,0.576,MVP
1995,UTA,Karl Malone,3,532.0,1050,0.507,MVP
1995,NYK,Patrick Ewing,4,230.0,1050,0.219,MVP
1995,HOU,Hakeem Olajuwon,5,147.0,1050,0.14,MVP
1995,PHO,Charles Barkley,6,96.0,1050,0.091,MVP
1995,CHI,Scottie Pippen,7,83.0,1050,0.079,MVP
1995,UTA,John Stockton,8,47.0,1050,0.045,MVP
1995,SEA,Gary Payton,9,34.0,1050,0.032,MVP
1995,ORL,Anfernee Hardaway,10,23.0,1050,0.022,MVP
1995,CHI,Michael Jordan,11,12.0,1050,0.011,MVP
1995,SAS,Dennis Rodman,12,9.0,1050,0.009,MVP
1995,DAL,Jason Kidd,13,7.0,1050,0.007,MVP
1995,TOT,Clyde Drexler,14,3.0,1050,0.003,MVP
1995,LAL,Cedric Ceballos,15,1.0,1050,0.001,MVP
