PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
Mychal Thompson,28,7,,284,6.9,14.7,0.47100000000000003,0.0,0.0,,6.9,14.7,0.47100000000000003,4.3,6.6,0.6579999999999999,2.8,6.9,9.7,6.8,1.0,1.4,4.8,4.2,18.2,,97,108
Calvin Natt,26,7,,274,9.0,18.3,0.49,0.2,0.4,0.5,8.8,17.9,0.49,5.6,8.6,0.6459999999999999,3.9,7.5,11.5,2.0,1.4,0.2,1.6,2.5,23.7,,113,107
Jim Paxson,25,7,,260,12.9,21.9,0.586,0.4,0.8,0.5,12.5,21.2,0.589,4.7,6.2,0.758,0.8,2.1,2.8,3.4,1.7,0.2,2.8,2.1,30.8,,117,111
Wayne Cooper,26,7,,228,7.8,16.0,0.486,0.0,0.0,,7.8,16.0,0.486,3.2,3.7,0.882,5.2,6.9,12.1,1.9,0.4,1.7,3.7,7.1,18.8,,102,108
Darnell Valentine,23,7,,205,8.2,19.2,0.425,0.2,0.5,0.5,7.9,18.7,0.423,3.8,5.0,0.762,1.2,2.4,3.6,14.6,2.4,0.7,4.6,5.0,20.4,,101,109
Kenny Carr,27,7,,171,7.5,17.2,0.433,0.0,0.0,,7.5,17.2,0.433,5.2,6.6,0.7829999999999999,4.3,10.3,14.7,2.9,0.9,1.4,2.9,7.5,20.1,,103,105
Fat Lever,22,7,,134,7.0,15.4,0.452,0.0,0.0,,7.0,15.4,0.452,1.5,1.8,0.8,1.1,4.0,5.1,11.4,2.6,0.0,1.5,4.8,15.4,,113,108
Linton Townes,23,6,,60,10.7,22.1,0.48100000000000004,0.8,2.5,0.33299999999999996,9.8,19.7,0.5,4.9,5.7,0.857,1.6,0.8,2.5,4.1,0.0,0.0,2.5,9.0,27.0,,110,115
Audie Norris,22,7,,53,6.5,12.1,0.5379999999999999,0.0,0.0,,6.5,12.1,0.5379999999999999,0.9,1.9,0.5,2.8,8.3,11.1,4.6,1.9,1.9,1.9,4.6,13.9,,110,104
Don Buse,32,5,,31,3.2,12.7,0.25,0.0,0.0,,3.2,12.7,0.25,4.8,6.3,0.75,0.0,3.2,3.2,11.1,0.0,0.0,3.2,3.2,11.1,,87,114
Hank McDowell,23,2,,4,0.0,12.3,0.0,0.0,0.0,,0.0,12.3,0.0,0.0,0.0,,0.0,24.6,24.6,24.6,0.0,0.0,0.0,24.6,0.0,,81,97
Jeff Lamp,23,1,,1,49.2,98.3,0.5,0.0,0.0,,49.2,98.3,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.3,,115,116
