Season,Age,Tm,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
2001,21.0,CHH,NBA,PG,82.0,3192.0,16.6,0.512,0.286,0.352,4.6,9.9,7.3,32.5,2.9,0.8,17.0,19.2,,4.2,4.7,8.9,0.134,,1.0,1.4,2.4,3.6
2002,22.0,CHH,NBA,PG,82.0,3318.0,18.2,0.498,0.356,0.252,3.2,8.8,6.0,37.3,2.8,1.0,14.2,23.9,,4.4,3.8,8.2,0.118,,3.3,0.4,3.8,4.8
2003,23.0,NOH,NBA,PG,50.0,1889.0,16.9,0.5,0.355,0.164,3.4,8.1,5.7,30.5,2.6,0.8,14.1,24.0,,2.2,2.2,4.5,0.113,,2.5,0.7,3.2,2.5
2004,24.0,NOH,NBA,PG,67.0,2686.0,20.7,0.492,0.415,0.251,2.7,9.6,6.1,37.9,3.2,0.8,12.1,30.1,,4.3,3.2,7.5,0.133,,4.7,0.5,5.2,4.8
2005,25.0,TOT,NBA,PG,46.0,1581.0,20.8,0.515,0.471,0.323,2.2,10.6,6.2,42.0,2.7,0.7,13.2,28.2,,2.8,1.5,4.4,0.132,,4.1,0.0,4.1,2.4
2005,25.0,NOH,NBA,PG,18.0,593.0,21.4,0.492,0.452,0.317,3.1,10.6,6.7,44.0,2.9,0.5,9.9,30.0,,1.1,0.6,1.7,0.138,,5.2,0.2,5.4,1.1
2005,25.0,GSW,NBA,PG,28.0,988.0,20.4,0.53,0.483,0.327,1.7,10.6,5.9,40.8,2.6,0.7,15.3,27.1,,1.7,0.9,2.6,0.129,,3.5,-0.1,3.4,1.3
2006,26.0,GSW,NBA,PG,54.0,1971.0,18.3,0.489,0.376,0.336,2.5,11.1,6.7,42.6,2.3,0.5,13.9,25.9,,2.4,2.0,4.4,0.106,,2.8,-0.2,2.6,2.3
2007,27.0,GSW,NBA,PG,63.0,2221.0,21.0,0.53,0.272,0.358,2.5,11.3,6.8,36.9,2.9,1.0,13.9,26.5,,4.1,2.3,6.4,0.139,,3.1,0.5,3.6,3.2
2008,28.0,GSW,NBA,PG,82.0,3196.0,19.8,0.523,0.344,0.278,3.1,10.1,6.4,29.7,2.9,1.0,11.9,25.6,,5.9,2.8,8.7,0.131,,3.2,0.3,3.6,4.5
2009,29.0,LAC,NBA,PG,65.0,2248.0,14.5,0.46,0.342,0.219,2.3,10.2,6.1,38.1,2.5,1.2,15.5,25.2,,-0.9,1.5,0.6,0.013,,0.0,-0.8,-0.8,0.7
2010,30.0,LAC,NBA,PG,75.0,2523.0,17.4,0.501,0.292,0.287,2.4,9.9,6.1,39.6,2.6,1.3,15.6,24.3,,2.5,2.1,4.5,0.086,,1.5,0.0,1.5,2.2
2011,31.0,TOT,NBA,PG,58.0,1649.0,17.0,0.506,0.345,0.189,2.5,8.6,5.5,41.2,2.4,1.3,16.3,24.4,,1.5,1.3,2.8,0.081,,2.2,-0.3,1.9,1.6
2011,31.0,LAC,NBA,PG,43.0,1269.0,16.3,0.492,0.295,0.202,2.7,8.3,5.5,39.9,2.5,1.4,16.0,23.5,,1.0,1.1,2.1,0.079,,1.4,-0.1,1.3,1.0
2011,31.0,CLE,NBA,PG,15.0,380.0,19.3,0.548,0.489,0.152,1.8,9.3,5.4,45.4,2.2,1.2,17.0,27.3,,0.5,0.2,0.7,0.086,,4.8,-0.9,3.9,0.6
2012,32.0,NYK,NBA,PG,29.0,595.0,10.0,0.457,0.462,0.13,2.5,8.4,5.4,36.2,2.9,0.4,28.1,20.4,,-0.7,0.8,0.2,0.014,,-1.9,-0.2,-2.1,0.0
