Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2010,21,1182,OKC,Oklahoma City Thunder,20.0,NBA,SG,6.0,0.0,120.0,3.6,9.3,0.39,1.8,4.8,0.38,1.8,4.5,0.4,4.8,5.7,0.84,0.3,4.2,4.5,3.3,1.8,0.3,0.9,4.2,13.8
2011,21,1182,OKC,Oklahoma City Thunder,21.0,NBA,SG,17.0,0.0,537.0,4.4,9.3,0.48,1.5,5.1,0.3,2.9,4.2,0.68,4.4,5.4,0.82,0.7,5.4,6.1,4.1,1.4,0.9,1.9,3.2,14.8
2012,21,1182,OKC,Oklahoma City Thunder,22.0,NBA,SG,20.0,0.0,630.0,5.3,12.2,0.44,1.8,4.5,0.41,3.5,7.8,0.45,6.2,7.2,0.86,0.7,5.1,5.8,3.9,1.8,0.1,2.4,3.8,18.6
2013,11,1182,HOU,Houston Rockets,23.0,NBA,SG,6.0,6.0,243.0,6.7,17.0,0.39,2.2,6.5,0.34,4.4,10.5,0.42,7.9,9.8,0.8,0.7,5.2,5.9,4.0,1.8,0.9,4.0,2.7,23.4
2014,11,1182,HOU,Houston Rockets,24.0,NBA,SG,6.0,6.0,263.0,6.8,18.2,0.38,2.2,7.4,0.3,4.7,10.8,0.43,6.2,6.8,0.9,0.7,3.1,3.8,4.8,1.6,0.1,2.9,2.9,22.0
2015,11,1182,HOU,Houston Rockets,25.0,NBA,SG,17.0,17.0,636.0,7.3,16.6,0.44,2.3,6.1,0.38,5.0,10.6,0.47,9.2,10.1,0.92,0.7,4.8,5.5,7.2,1.6,0.4,4.4,2.8,26.2
2016,11,1182,HOU,Houston Rockets,26.0,NBA,SG,5.0,5.0,193.0,7.6,18.7,0.41,2.4,7.8,0.31,5.2,10.8,0.48,7.1,8.4,0.84,1.3,3.5,4.8,7.1,2.2,0.2,4.8,2.4,24.8
2017,11,1182,HOU,Houston Rockets,27.0,NBA,PG,11.0,11.0,407.0,8.0,19.3,0.41,2.8,10.2,0.28,5.1,9.1,0.56,8.9,10.2,0.88,0.6,4.7,5.3,8.2,1.9,0.4,5.2,3.8,27.7
2018,11,1182,HOU,Houston Rockets,28.0,NBA,SG,17.0,17.0,621.0,9.2,22.3,0.41,3.0,10.1,0.3,6.1,12.2,0.5,6.8,7.7,0.89,0.8,4.3,5.2,6.7,2.2,0.6,3.8,2.7,28.2
2019,11,1182,HOU,Houston Rockets,29.0,NBA,PG,11.0,11.0,424.0,9.3,22.4,0.41,4.1,11.6,0.35,5.2,10.8,0.48,7.0,8.3,0.84,0.8,5.7,6.5,6.2,2.0,0.8,4.3,3.5,29.5
2020,11,1182,HOU,Houston Rockets,30.0,NBA,SG,12.0,12.0,448.0,8.8,18.3,0.48,3.1,9.4,0.33,5.6,8.9,0.63,7.9,9.3,0.84,1.0,4.4,5.4,7.4,1.4,0.8,3.6,3.5,28.5
