Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
2007,10,130,GSW,Golden State Warriors,23.0,NBA,SG,41.0,9.0,669.0,7.1,15.9,0.44,2.5,5.7,0.43,4.6,10.2,0.45,4.4,5.6,0.78,1.9,4.9,6.8,2.0,1.6,0.7,2.8,3.5,21.1,,108.0,109.0
2008,10,130,GSW,Golden State Warriors,24.0,NBA,SG,81.0,17.0,1732.0,7.3,16.5,0.44,2.0,5.5,0.36,5.3,11.0,0.48,2.8,3.9,0.72,3.0,6.1,9.1,2.1,1.3,1.0,1.6,4.5,19.4,,112.0,111.0
2009,10,130,GSW,Golden State Warriors,25.0,NBA,SF,74.0,51.0,2375.0,8.1,17.4,0.46,1.9,4.3,0.45,6.1,13.1,0.47,3.8,4.7,0.81,2.3,5.3,7.6,2.4,1.2,1.0,2.0,3.8,21.9,,114.0,115.0
2010,10,130,GSW,Golden State Warriors,26.0,NBA,SF,9.0,7.0,231.0,9.9,18.2,0.55,2.1,5.6,0.37,7.9,12.6,0.62,3.9,5.8,0.68,2.5,6.0,8.5,2.1,1.0,1.9,1.4,3.3,25.9,,122.0,113.0
2012,7,130,DAL,Dallas Mavericks,28.0,NBA,SG,3.0,0.0,18.0,8.7,23.3,0.38,2.9,8.7,0.33,5.8,14.6,0.4,0.0,0.0,,0.0,0.0,0.0,0.0,2.9,0.0,11.7,2.9,20.4,,54.0,106.0
