Season,Age,Tm,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
2003,24.0,MIL,NBA,C,49.0,760.0,11.2,0.498,0.007,0.386,10.1,20.3,15.2,1.8,1.5,5.1,13.7,12.0,,0.4,0.7,1.2,0.075,,-3.6,0.1,-3.5,-0.3
2004,25.0,MIL,NBA,C,75.0,1260.0,17.0,0.529,0.003,0.338,11.4,19.8,15.6,3.7,2.1,6.1,10.1,16.0,,1.7,2.0,3.7,0.141,,-1.0,1.6,0.7,0.8
2005,26.0,MIL,NBA,C,81.0,1783.0,18.1,0.551,0.0,0.441,17.0,27.4,22.2,2.7,1.4,4.4,13.1,15.8,,2.8,2.4,5.2,0.14,,0.3,-0.2,0.1,1.0
2006,27.0,MIL,NBA,C,74.0,885.0,17.2,0.55,0.003,0.288,12.0,19.3,15.6,4.9,1.5,3.9,9.1,19.8,,1.3,1.1,2.5,0.134,,-1.6,-0.1,-1.7,0.0
2007,28.0,MIL,NBA,C,54.0,840.0,11.9,0.482,0.004,0.395,13.0,21.6,17.2,5.3,1.4,2.9,15.5,17.0,,0.1,0.7,0.8,0.043,,-3.9,-1.5,-5.4,-0.7
2008,29.0,MIL,NBA,C,51.0,534.0,10.7,0.443,0.006,0.409,14.2,17.7,15.9,3.2,2.0,3.5,15.8,18.2,,-0.4,0.4,0.1,0.006,,-4.8,-1.3,-6.1,-0.6
2009,30.0,MIL,NBA,C,67.0,941.0,12.2,0.495,0.008,0.279,11.4,21.0,16.0,6.5,1.8,3.8,13.0,15.0,,0.4,1.4,1.8,0.094,,-3.2,0.7,-2.5,-0.1
2010,31.0,MIL,NBA,C,32.0,314.0,10.5,0.44,0.0,0.281,13.1,20.5,16.6,6.0,1.5,3.3,13.0,16.6,,-0.1,0.6,0.5,0.077,,-5.2,0.7,-4.5,-0.2
2011,32.0,TOT,NBA,"C,PF",42.0,463.0,9.9,0.419,0.008,0.209,17.2,16.4,16.8,4.5,1.4,4.8,17.1,16.5,,-0.3,0.4,0.1,0.014,,-5.7,-1.3,-7.0,-0.6
2011,32.0,GSW,NBA,C,28.0,297.0,10.2,0.419,0.011,0.159,19.8,12.9,16.4,5.3,1.7,4.6,18.2,17.1,,-0.2,0.2,0.1,0.013,,-5.4,-1.3,-6.8,-0.4
2011,32.0,NJN,NBA,PF,14.0,166.0,9.1,0.417,0.0,0.317,12.5,22.7,17.4,2.9,1.0,5.1,14.6,15.3,,-0.2,0.2,0.1,0.015,,-6.2,-1.2,-7.3,-0.2
2012,33.0,NYK,NBA,C,2.0,13.0,-4.3,0.0,0.0,1.0,8.8,35.9,22.2,0.0,4.0,6.1,25.8,13.4,,-0.1,0.0,0.0,-0.169,,-15.9,0.3,-15.7,0.0
