Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
2002,12,347,IND,Indiana Pacers,22.0,NBA,C,22.0,160.0,9.8,0.54,0.0,0.86,11.6,8.3,9.9,5.8,0.0,3.1,13.0,13.0,,0.2,0.1,0.3,0.1,,-3.0,-0.9,-3.9,-0.1
2003,12,347,IND,Indiana Pacers,23.0,NBA,C,22.0,111.0,10.9,0.45,0.03,0.53,13.5,9.9,11.6,6.0,0.9,2.6,13.0,21.9,,0.0,0.1,0.1,0.05,,-3.7,-1.8,-5.5,-0.1
2004,12,347,IND,Indiana Pacers,24.0,NBA,C,18.0,72.0,9.7,0.49,0.0,0.23,8.1,16.6,12.3,7.9,0.0,3.2,17.3,22.7,,0.0,0.1,0.1,0.04,,-5.1,0.0,-5.1,-0.1
2005,4,347,CHA,Charlotte Bobcats,25.0,NBA,C,72.0,2276.0,16.1,0.55,0.0,0.29,10.8,16.2,13.3,6.6,0.8,1.8,11.1,18.7,,3.5,1.4,4.9,0.1,,0.5,-1.5,-1.0,0.6
2006,4,347,CHA,Charlotte Bobcats,26.0,NBA,C,79.0,2165.0,15.3,0.55,0.0,0.28,9.1,14.8,11.8,3.7,0.5,1.1,8.7,20.0,,3.4,1.2,4.6,0.1,,-0.4,-2.0,-2.4,-0.2
2007,4,347,CHA,Charlotte Bobcats,27.0,NBA,C,58.0,838.0,9.7,0.47,0.01,0.25,11.0,15.2,13.0,4.6,0.7,2.1,11.1,18.5,,0.0,0.6,0.7,0.04,,-4.9,-1.7,-6.6,-1.0
2008,31,347,TOT,Total After Trade,28.0,NBA,C,50.0,475.0,5.4,0.5,0.0,0.43,7.3,12.6,10.0,3.5,0.3,1.2,17.7,13.3,,-0.1,0.3,0.2,0.02,,-6.1,-1.2,-7.3,-0.6
2008,4,347,CHA,Charlotte Bobcats,28.0,NBA,C,20.0,267.0,1.5,0.41,0.0,0.12,6.0,13.0,9.5,3.3,0.0,0.9,24.9,10.3,,-0.4,0.1,-0.3,-0.05,,-7.1,-1.7,-8.8,-0.5
2008,9,347,DET,Detroit Pistons,28.0,NBA,C,17.0,98.0,10.8,0.7,0.0,1.08,8.5,14.7,11.6,6.2,1.1,1.6,20.7,11.6,,0.2,0.1,0.3,0.15,,-4.1,1.7,-2.4,0.0
2008,28,347,TOR,Toronto Raptors,28.0,NBA,C,13.0,110.0,10.2,0.51,0.0,0.55,9.6,9.8,9.7,1.4,0.5,1.5,7.8,22.0,,0.1,0.1,0.2,0.07,,-5.4,-2.6,-8.1,-0.2
2010,31,347,TOT,Total After Trade,30.0,NBA,C,21.0,95.0,4.9,0.33,0.0,0.23,14.2,16.3,15.2,1.6,0.6,2.5,6.5,14.6,,-0.1,0.1,0.0,-0.01,,-7.4,-2.6,-10.0,-0.2
2010,23,347,PHI,Philadelphia 76Ers,30.0,NBA,C,7.0,36.0,0.4,0.18,0.0,0.15,19.4,20.0,19.6,0.0,1.5,2.2,0.0,17.6,,-0.1,0.0,-0.1,-0.11,,-10.7,-5.9,-16.6,-0.1
2010,17,347,MIL,Milwaukee Bucks,30.0,NBA,C,14.0,59.0,7.6,0.47,0.0,0.31,11.0,14.2,12.5,2.6,0.0,2.7,11.9,12.9,,0.0,0.1,0.1,0.06,,-5.4,-0.6,-6.0,-0.1
