Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1980,1,1483,ATL,Atlanta Hawks,24.0,NBA,SG,79.0,,2622.0,8.1,16.6,0.49,0.1,0.2,0.38,8.0,16.5,0.49,3.8,4.6,0.83,1.3,1.4,2.7,5.1,1.6,0.3,2.6,3.0,20.1
1981,1,1483,ATL,Atlanta Hawks,25.0,NBA,SG,75.0,,2693.0,7.7,15.2,0.5,0.1,0.3,0.3,7.6,14.9,0.51,3.7,4.8,0.78,0.8,1.6,2.4,5.4,1.7,0.1,2.6,2.5,19.1
1982,1,1483,ATL,Atlanta Hawks,26.0,NBA,SG,68.0,57.0,2314.0,7.1,15.7,0.45,0.1,0.5,0.23,7.0,15.3,0.46,4.6,6.0,0.76,1.0,2.0,3.0,5.6,1.6,0.2,2.9,2.9,18.8
1983,1,1483,ATL,Atlanta Hawks,27.0,NBA,SG,61.0,57.0,1813.0,7.7,17.0,0.45,0.3,0.8,0.34,7.4,16.2,0.46,3.7,4.7,0.78,0.5,1.9,2.5,6.3,1.2,0.1,3.1,2.7,19.4
1984,1,1483,ATL,Atlanta Hawks,28.0,NBA,SG,67.0,43.0,1893.0,6.7,15.2,0.44,0.3,0.8,0.37,6.4,14.4,0.45,3.1,4.1,0.77,0.6,2.2,2.8,7.1,1.1,0.1,3.3,2.9,16.8
1985,1,1483,ATL,Atlanta Hawks,29.0,NBA,SG,73.0,66.0,2367.0,6.9,14.4,0.48,0.3,1.1,0.31,6.6,13.3,0.49,4.0,5.0,0.8,0.6,2.3,2.9,8.6,0.7,0.1,3.7,2.8,18.1
1986,31,1483,TOT,Total After Trade,30.0,NBA,SG,71.0,9.0,1477.0,6.9,15.1,0.46,0.7,2.1,0.34,6.2,13.1,0.48,2.7,3.8,0.72,0.7,2.2,2.9,8.1,0.4,0.0,3.7,3.1,17.3
1986,1,1483,ATL,Atlanta Hawks,30.0,NBA,SG,39.0,5.0,862.0,6.5,13.7,0.47,0.2,0.8,0.25,6.3,12.9,0.49,3.3,4.6,0.72,0.7,2.4,3.1,9.1,0.4,0.0,3.8,3.0,16.5
1986,6,1483,CLE,Cleveland Cavaliers,30.0,NBA,SG,32.0,4.0,615.0,7.6,17.2,0.44,1.4,3.8,0.37,6.1,13.3,0.46,1.9,2.6,0.73,0.8,1.9,2.7,6.7,0.5,0.1,3.5,3.3,18.4
1987,21,1483,SEA,Seattle Supersonics,31.0,NBA,SG,24.0,0.0,508.0,6.0,13.2,0.46,0.4,1.1,0.33,5.7,12.1,0.47,3.0,3.9,0.76,0.8,2.5,3.3,8.1,0.9,0.1,2.9,2.6,15.4
