Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1986,2,BOS,Boston Celtics,Larry Bird,29,18,18,42.8,9.5,18.4,0.52,1.3,3.1,0.41,8.2,15.3,0.54,0.55,5.6,6.1,0.93,1.9,7.4,9.3,8.2,2.1,0.6,2.6,3.1,25.9
1986,2,BOS,Boston Celtics,Dennis Johnson,31,18,18,39.7,6.1,13.6,0.44,0.3,0.9,0.38,5.7,12.7,0.45,0.46,3.7,4.7,0.8,1.3,2.9,4.2,5.9,2.2,0.3,2.8,3.2,16.2
1986,2,BOS,Boston Celtics,Kevin McHale,28,18,18,39.7,9.3,16.1,0.58,0.0,0.1,0.0,9.3,16.1,0.58,0.58,6.2,7.8,0.79,2.8,5.8,8.6,2.7,0.4,2.4,2.7,3.6,24.9
1986,2,BOS,Boston Celtics,Danny Ainge,26,18,18,36.2,5.9,10.7,0.55,0.8,1.9,0.41,5.2,8.8,0.58,0.59,2.9,3.3,0.87,1.2,3.0,4.2,5.2,2.3,0.1,1.7,3.2,15.6
1986,2,BOS,Boston Celtics,Robert Parish,32,18,18,32.8,5.9,12.5,0.47,0.0,0.0,,5.9,12.5,0.47,0.47,3.2,4.9,0.65,2.9,5.9,8.8,1.4,0.5,1.7,2.4,2.6,15.0
1986,2,BOS,Boston Celtics,Bill Walton,33,16,0,18.2,3.4,5.8,0.58,0.0,0.1,0.0,3.4,5.8,0.59,0.58,1.2,1.4,0.83,1.6,4.9,6.4,1.7,0.4,0.8,1.4,2.8,7.9
1986,2,BOS,Boston Celtics,Jerry Sichting,29,18,0,15.2,1.5,3.4,0.44,0.0,0.1,0.0,1.5,3.3,0.45,0.44,0.2,0.4,0.43,0.3,0.6,0.9,2.2,0.3,0.0,0.4,1.0,3.2
1986,2,BOS,Boston Celtics,Scott Wedman,33,12,0,11.8,1.7,4.3,0.39,0.2,0.3,0.5,1.5,3.9,0.38,0.41,0.3,0.3,0.75,0.9,0.9,1.8,0.7,0.8,0.3,0.5,1.2,3.8
1986,2,BOS,Boston Celtics,Greg Kite,24,13,0,6.0,0.5,0.8,0.7,0.0,0.0,,0.5,0.8,0.7,0.7,0.3,0.5,0.57,0.4,1.1,1.5,0.2,0.2,0.3,0.2,1.5,1.4
1986,2,BOS,Boston Celtics,Rick Carlisle,26,10,0,5.4,0.8,1.5,0.53,0.0,0.0,,0.8,1.5,0.53,0.53,0.3,0.4,0.75,0.3,0.2,0.5,0.8,0.2,0.0,0.3,0.9,1.9
1986,2,BOS,Boston Celtics,Sam Vincent,22,9,0,4.6,0.9,3.1,0.29,0.0,0.1,0.0,0.9,3.0,0.3,0.29,0.7,0.7,1.0,0.1,0.7,0.8,0.6,0.2,0.0,0.4,1.0,2.4
1986,2,BOS,Boston Celtics,David Thirdkill,25,13,0,3.6,0.5,1.4,0.33,0.0,0.1,0.0,0.5,1.3,0.35,0.33,0.4,0.8,0.46,0.1,0.5,0.6,0.2,0.2,0.0,0.2,0.4,1.3
