Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1986,23,PHI,Philadelphia 76Ers,Maurice Cheeks,29,12,12,43.3,7.8,15.2,0.52,0.0,0.6,0.0,7.8,14.6,0.54,0.52,5.2,6.1,0.85,1.1,3.6,4.7,7.1,1.1,0.3,2.7,1.5,20.8
1986,23,PHI,Philadelphia 76Ers,Charles Barkley,22,12,12,41.4,8.7,15.0,0.58,0.1,1.3,0.07,8.6,13.8,0.62,0.58,7.6,10.9,0.7,5.0,10.8,15.8,5.6,2.3,1.3,5.4,4.3,25.0
1986,23,PHI,Philadelphia 76Ers,Julius Erving,35,12,12,36.1,6.8,15.0,0.45,0.2,0.9,0.18,6.6,14.1,0.47,0.46,4.0,5.4,0.74,2.2,3.7,5.8,4.2,0.9,1.3,3.3,2.7,17.7
1986,23,PHI,Philadelphia 76Ers,Bobby Jones,34,12,5,27.4,3.3,6.2,0.53,0.0,0.1,0.0,3.3,6.1,0.53,0.53,3.2,4.2,0.76,0.8,1.9,2.7,2.8,0.8,1.2,1.3,3.3,9.7
1986,23,PHI,Philadelphia 76Ers,Terry Catledge,22,11,10,26.6,4.2,10.6,0.39,0.0,0.0,,4.2,10.6,0.39,0.39,2.0,3.5,0.58,3.4,3.5,6.8,0.5,0.5,0.7,1.3,3.1,10.4
1986,23,PHI,Philadelphia 76Ers,Sedale Threatt,24,12,0,26.0,5.6,11.9,0.47,0.0,0.2,0.0,5.6,11.8,0.48,0.47,2.2,2.8,0.79,0.5,1.6,2.1,3.5,1.9,0.2,1.3,2.9,13.3
1986,23,PHI,Philadelphia 76Ers,Clemon Johnson,29,12,2,25.3,2.4,4.4,0.55,0.0,0.0,,2.4,4.4,0.55,0.55,1.3,2.1,0.64,1.9,3.1,5.0,0.7,0.9,1.3,0.8,2.9,6.2
1986,23,PHI,Philadelphia 76Ers,Bob McAdoo,34,5,0,14.6,4.0,7.2,0.56,0.0,0.0,,4.0,7.2,0.56,0.56,2.8,3.2,0.88,1.6,1.2,2.8,0.4,0.8,1.0,0.4,2.6,10.8
1986,23,PHI,Philadelphia 76Ers,Greg Stokes,22,7,7,12.9,1.1,4.0,0.29,0.0,0.0,,1.1,4.0,0.29,0.29,1.6,1.9,0.85,0.9,1.0,1.9,0.6,0.3,0.9,0.6,1.7,3.9
1986,23,PHI,Philadelphia 76Ers,Perry Moss,27,7,0,4.0,0.3,1.1,0.25,0.0,0.1,0.0,0.3,1.0,0.29,0.25,0.1,0.1,1.0,0.0,0.4,0.4,0.3,0.0,0.1,0.6,0.9,0.7
1986,23,PHI,Philadelphia 76Ers,Michael Young,25,3,0,1.0,0.3,1.3,0.25,0.0,0.0,,0.3,1.3,0.25,0.25,0.0,0.0,,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7
