SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1994,16,MIA,John Salley,29,5,5,201,22,57,0.39,0,0,,22,57,0.39,0.39,11,16,0.69,16,24,40,8,2,5,6,21,55
1994,16,MIA,Glen Rice,26,5,5,195,26,68,0.38,7,23,0.3,19,45,0.42,0.43,6,8,0.75,6,30,36,10,11,2,14,14,65
1994,16,MIA,Steve Smith,24,5,5,192,33,80,0.41,9,22,0.41,24,58,0.41,0.47,21,25,0.84,17,13,30,11,4,2,10,12,96
1994,16,MIA,Rony Seikaly,28,5,3,165,14,32,0.44,0,0,,14,32,0.44,0.44,13,23,0.56,19,28,47,8,4,7,11,22,41
1994,16,MIA,Bimbo Coles,25,5,0,140,25,47,0.53,1,4,0.25,24,43,0.56,0.54,18,23,0.78,2,12,14,17,7,1,11,15,69
1994,16,MIA,Brian Shaw,27,5,5,112,16,41,0.39,0,13,0.0,16,28,0.57,0.39,7,12,0.58,3,17,20,9,4,1,13,8,39
1994,16,MIA,Grant Long,27,4,2,110,14,36,0.39,0,0,,14,36,0.39,0.39,21,27,0.78,10,8,18,7,3,2,10,16,49
1994,16,MIA,Harold Miner,22,4,0,57,12,26,0.46,0,0,,12,26,0.46,0.46,8,11,0.73,3,5,8,2,1,0,2,4,32
1994,16,MIA,Willie Burton,25,2,0,11,1,4,0.25,0,2,0.0,1,2,0.5,0.25,0,0,,0,0,0,0,0,0,1,3,2
1994,16,MIA,Matt Geiger,24,2,0,11,0,2,0.0,0,0,,0,2,0.0,0.0,1,2,0.5,0,4,4,0,0,0,0,1,1
1994,16,MIA,Keith Askins,26,1,0,6,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,1,0,1,0,0,0,2,0,0
