SEASON,TEAM ID,TEAM,PLAYER,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1995,22,ORL,Shaquille O'Neal,22,79,2923,28.6,0.59,0.0,0.54,13.3,21.7,17.6,13.3,1.3,4.5,9.4,31.9,9.6,4.4,14.0,0.23,5.6,0.2,5.8,5.7
1995,22,ORL,Anfernee Hardaway,23,77,2901,20.8,0.6,0.22,0.4,5.7,7.5,6.6,28.5,2.3,0.6,16.1,23.7,8.2,2.5,10.7,0.18,4.4,-0.3,4.1,4.5
1995,22,ORL,Horace Grant,29,74,2693,16.9,0.59,0.01,0.3,9.8,20.3,15.2,8.9,1.4,2.2,9.6,14.1,6.0,3.5,9.5,0.17,1.4,0.6,2.0,2.7
1995,22,ORL,Nick Anderson,27,76,2588,17.5,0.59,0.47,0.22,3.9,10.7,7.4,17.4,2.4,0.6,12.2,19.1,5.7,2.6,8.3,0.15,3.4,0.7,4.0,3.9
1995,22,ORL,Donald Royal,28,70,1841,12.2,0.56,0.01,0.69,5.3,11.8,8.7,14.2,1.2,0.6,18.1,16.1,2.2,1.4,3.6,0.09,-1.3,-0.4,-1.7,0.1
1995,22,ORL,Brian Shaw,28,78,1836,10.4,0.47,0.37,0.19,3.3,11.4,7.5,29.0,2.0,0.7,25.6,16.8,-0.4,1.8,1.3,0.04,-2.1,-0.1,-2.3,-0.1
1995,22,ORL,Dennis Scott,26,62,1499,16.3,0.58,0.55,0.18,2.0,9.0,5.6,12.9,1.5,0.6,7.6,21.6,3.5,1.1,4.6,0.15,3.2,-0.8,2.5,1.7
1995,22,ORL,Anthony Bowie,31,77,1261,11.7,0.53,0.11,0.2,5.1,7.5,6.3,17.3,1.9,1.1,17.7,16.6,1.0,1.0,2.0,0.08,-1.8,-0.1,-1.9,0.0
1995,22,ORL,Anthony Avent,25,71,1066,9.8,0.47,0.0,0.31,10.7,20.4,15.7,5.0,1.3,3.2,16.1,13.3,0.1,1.5,1.5,0.07,-4.1,0.1,-4.0,-0.5
1995,22,ORL,Jeff Turner,32,49,576,9.6,0.52,0.42,0.16,4.7,14.3,9.6,8.9,1.1,0.4,10.3,15.9,0.6,0.5,1.1,0.09,-3.0,-0.7,-3.7,-0.2
1995,22,ORL,Tree Rollins,39,51,478,7.0,0.55,0.0,0.74,7.7,14.9,11.4,2.3,0.7,5.1,29.2,7.1,0.0,0.6,0.5,0.05,-4.0,1.2,-2.8,-0.1
1995,22,ORL,Brooks Thompson,24,38,246,10.5,0.49,0.51,0.1,3.4,7.2,5.3,25.5,2.1,0.6,18.5,25.5,-0.1,0.2,0.1,0.02,-3.5,-1.8,-5.3,-0.2
1995,22,ORL,Darrell Armstrong,26,3,8,40.2,0.56,0.75,0.25,14.8,0.0,7.2,76.1,6.3,0.0,10.1,53.0,0.1,0.0,0.1,0.49,13.9,3.7,17.6,0.0
1995,22,ORL,Geert Hammink,25,1,7,20.1,0.52,0.0,0.67,0.0,31.7,16.3,19.7,0.0,0.0,0.0,23.8,0.0,0.0,0.0,0.26,0.9,1.5,2.5,0.0
1995,22,ORL,Keith Tower,24,3,7,-6.2,0.17,0.0,1.0,16.9,31.7,24.5,0.0,0.0,0.0,25.8,23.8,-0.1,0.0,0.0,-0.3,-14.7,-8.3,-23.0,0.0
