Season,Team ID,Team ABV,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1994,20,NYK,New York Knicks,82,19755,36.4,84.4,0.43,3.3,10.8,0.31,33.1,73.6,0.45,22.0,30.6,0.72,13.3,29.4,42.7,21.9,8.9,4.4,18.6,24.8,98.2
1994,27,SAS,San Antonio Spurs,82,19780,41.3,92.6,0.45,3.9,11.7,0.33,37.4,80.9,0.46,18.2,25.2,0.72,14.7,29.0,43.7,23.8,8.5,4.7,13.7,24.1,104.6
1994,5,CHI,Chicago Bulls,82,19780,40.0,86.4,0.46,3.3,10.3,0.32,36.7,76.1,0.48,19.4,26.2,0.74,13.0,29.6,42.6,24.3,9.6,4.9,17.6,22.8,102.7
1994,1,ATL,Atlanta Hawks,82,19755,40.8,89.6,0.46,3.5,11.2,0.32,37.2,78.4,0.48,16.6,22.3,0.74,14.9,30.4,45.3,24.5,8.3,4.4,18.9,22.2,101.7
1994,11,HOU,Houston Rockets,82,19780,40.3,91.6,0.44,3.3,10.7,0.31,37.0,80.8,0.46,17.6,23.9,0.74,14.5,31.1,45.6,24.3,9.8,4.0,15.6,22.3,101.4
1994,21,SEA,Seattle Supersonics,82,19730,37.4,82.6,0.45,4.2,12.1,0.34,33.3,70.5,0.47,22.5,30.4,0.74,13.9,28.0,41.9,23.1,8.8,5.4,21.3,24.1,101.5
1994,6,CLE,Cleveland Cavaliers,82,19855,41.3,88.9,0.46,3.4,9.6,0.35,37.9,79.3,0.48,19.1,25.9,0.74,14.0,30.8,44.8,26.5,8.3,6.1,17.1,23.7,105.1
1994,12,IND,Indiana Pacers,82,19755,38.8,86.1,0.45,3.6,10.6,0.34,35.2,75.5,0.47,23.0,31.5,0.73,14.7,28.0,42.8,24.8,10.8,5.1,17.5,25.9,104.2
1994,29,UTA,Utah Jazz,82,19830,38.6,86.3,0.45,3.8,12.6,0.3,34.9,73.7,0.47,23.0,31.8,0.72,14.3,30.2,44.5,23.5,7.7,6.0,17.1,25.0,104.1
1994,8,DEN,Denver Nuggets,82,19755,38.7,88.4,0.44,2.6,9.1,0.29,36.1,79.4,0.46,22.3,29.7,0.75,14.1,29.5,43.6,22.0,9.2,6.3,15.7,24.7,102.3
1994,16,MIA,Miami Heat,82,19805,39.2,85.8,0.46,3.8,11.5,0.33,35.4,74.3,0.48,24.4,32.6,0.75,13.9,29.3,43.2,23.5,8.9,5.7,17.0,25.1,106.7
1994,3,NJN,New Jersey Nets,82,19830,41.4,90.3,0.46,3.0,9.4,0.32,38.4,80.9,0.48,19.2,25.8,0.74,14.5,32.0,46.5,24.3,9.1,7.4,15.8,24.1,104.9
1994,22,ORL,Orlando Magic,82,19730,41.7,91.1,0.46,3.8,10.8,0.35,37.9,80.2,0.47,19.5,26.2,0.74,15.3,29.5,44.8,26.9,9.7,5.6,15.7,23.6,106.7
1994,24,PHO,Phoenix Suns,82,19705,42.5,89.8,0.47,3.6,10.9,0.33,39.0,79.0,0.49,18.1,25.2,0.72,13.7,28.3,42.0,27.1,9.4,5.5,15.8,23.5,106.8
