Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1980,14,603,LAL,Los Angeles Lakers,23.0,NBA,SG,16,464,11.2,0.46,0.01,0.26,6.6,7.1,6.8,15.6,2.4,1.3,15.7,15.7,0.3,0.5,0.8,0.08,0.0,0.6,0.6,0.3
1981,14,603,LAL,Los Angeles Lakers,24.0,NBA,SG,3,102,11.7,0.61,0.15,0.7,2.1,6.8,4.7,9.6,2.9,0.0,21.1,13.7,0.1,0.1,0.2,0.08,-1.3,1.2,-0.1,0.1
1982,14,603,LAL,Los Angeles Lakers,25.0,NBA,SG,14,383,17.4,0.6,0.02,0.27,5.6,11.0,8.4,20.2,2.9,1.5,17.3,17.2,0.7,0.5,1.2,0.15,2.9,1.9,4.7,0.7
1983,14,603,LAL,Los Angeles Lakers,26.0,NBA,SG,15,453,11.8,0.53,0.06,0.36,3.0,11.2,7.2,12.0,2.7,0.7,12.6,13.6,0.5,0.4,0.9,0.1,-1.0,1.5,0.4,0.3
1984,14,603,LAL,Los Angeles Lakers,27.0,NBA,SG,21,723,13.7,0.55,0.19,0.32,3.3,9.0,6.4,19.3,1.6,1.5,11.7,14.2,1.2,0.7,1.9,0.13,1.4,1.0,2.4,0.8
1985,14,603,LAL,Los Angeles Lakers,28.0,NBA,SG,19,501,15.5,0.66,0.21,0.41,2.9,12.8,8.3,20.5,1.9,0.9,19.5,14.3,1.0,0.6,1.7,0.16,1.8,1.7,3.4,0.7
1986,14,603,LAL,Los Angeles Lakers,29.0,NBA,SG,14,421,13.1,0.57,0.36,0.1,4.8,8.1,6.5,18.8,2.1,0.5,14.9,13.9,0.6,0.5,1.1,0.12,2.2,0.7,2.9,0.5
1987,14,603,LAL,Los Angeles Lakers,30.0,NBA,SG,18,522,16.7,0.64,0.44,0.34,1.9,9.9,6.3,22.0,2.3,1.5,16.8,17.4,1.0,0.8,1.8,0.16,3.3,2.3,5.6,1.0
1988,14,603,LAL,Los Angeles Lakers,31.0,NBA,SG,24,588,10.2,0.54,0.47,0.21,3.1,8.3,5.8,14.8,1.7,0.9,12.8,12.4,0.6,0.4,1.0,0.08,-0.3,0.7,0.4,0.4
1989,14,603,LAL,Los Angeles Lakers,32.0,NBA,SG,15,414,12.2,0.58,0.62,0.27,2.7,8.0,5.6,23.1,1.1,1.1,14.6,12.2,0.7,0.3,1.0,0.11,2.0,0.8,2.8,0.5
1990,14,603,LAL,Los Angeles Lakers,33.0,NBA,SG,9,173,7.1,0.33,0.34,0.0,7.9,8.6,8.2,18.5,2.1,1.5,16.7,10.7,-0.1,0.1,0.1,0.02,-1.1,1.2,0.0,0.1
