Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
1999,14,1787,LAL,Los Angeles Lakers,21.0,NBA,PG,15.0,188.0,11.2,0.5,0.25,0.32,1.3,2.4,1.9,21.6,1.4,0.0,12.9,20.4,,0.2,0.0,0.2,0.06,,-1.3,-2.3,-3.6,-0.1
2001,14,1787,LAL,Los Angeles Lakers,23.0,NBA,PG,38.0,468.0,8.7,0.51,0.29,0.2,1.2,6.4,3.9,14.3,2.1,0.0,17.5,14.8,,0.2,0.2,0.4,0.04,,-3.6,-0.4,-4.0,-0.2
2002,30,1787,WAS,Washington Wizards,24.0,NBA,PG,71.0,1458.0,13.7,0.51,0.27,0.12,1.1,8.7,4.9,28.5,1.8,0.0,14.9,20.4,,1.3,0.8,2.0,0.07,,0.1,-1.2,-1.1,0.4
2003,30,1787,WAS,Washington Wizards,25.0,NBA,PG,75.0,1986.0,12.9,0.52,0.31,0.18,1.3,7.6,4.4,22.6,1.3,0.0,11.1,16.5,,2.8,0.9,3.7,0.09,,-0.4,-1.1,-1.5,0.3
2004,22,1787,ORL,Orlando Magic,26.0,NBA,PG,76.0,2332.0,12.6,0.52,0.29,0.18,1.2,8.0,4.5,22.7,1.4,0.2,13.8,17.4,,2.7,-0.6,2.1,0.04,,-0.5,-2.0,-2.5,-0.3
2005,31,1787,TOT,Total After Trade,27.0,NBA,PG,70.0,2007.0,14.1,0.54,0.24,0.25,0.8,8.1,4.3,27.4,0.9,0.0,12.6,18.7,,3.4,0.3,3.7,0.09,,0.1,-2.1,-2.0,0.0
2005,11,1787,HOU,Houston Rockets,27.0,NBA,PG,21.0,479.0,7.7,0.48,0.37,0.15,0.0,9.5,4.9,19.6,0.9,0.0,15.6,15.1,,0.0,0.5,0.5,0.05,,-3.1,0.3,-2.8,-0.1
2005,1,1787,ATL,Atlanta Hawks,27.0,NBA,PG,49.0,1528.0,16.2,0.56,0.21,0.28,1.0,7.6,4.2,29.8,0.9,0.0,12.0,19.9,,3.4,-0.2,3.2,0.1,,1.1,-2.8,-1.7,0.1
2006,1,1787,ATL,Atlanta Hawks,28.0,NBA,PG,51.0,1234.0,15.5,0.58,0.3,0.33,1.2,6.9,4.0,21.7,1.1,0.2,13.5,20.4,,2.8,-0.1,2.7,0.1,,1.5,-2.2,-0.7,0.4
2007,1,1787,ATL,Atlanta Hawks,29.0,NBA,PG,56.0,1488.0,14.1,0.53,0.31,0.31,1.5,7.0,4.2,23.9,0.9,0.0,12.5,21.0,,2.2,0.3,2.5,0.08,,0.5,-2.4,-1.9,0.0
2008,31,1787,TOT,Total After Trade,30.0,NBA,PG,50.0,736.0,11.9,0.54,0.34,0.13,1.4,7.0,4.3,16.8,0.8,0.1,9.2,18.2,,1.0,0.3,1.2,0.08,,-0.2,-1.2,-1.4,0.1
2008,1,1787,ATL,Atlanta Hawks,30.0,NBA,PG,33.0,564.0,12.7,0.54,0.35,0.14,1.9,6.6,4.2,17.5,1.0,0.0,9.6,18.5,,0.8,0.2,1.0,0.08,,0.5,-1.2,-0.7,0.2
2008,7,1787,DAL,Dallas Mavericks,30.0,NBA,PG,17.0,172.0,9.2,0.55,0.3,0.07,0.0,8.5,4.4,14.3,0.0,0.4,7.8,17.3,,0.2,0.1,0.3,0.08,,-2.6,-1.1,-3.7,-0.1
2009,31,1787,TOT,Total After Trade,31.0,NBA,PG,44.0,521.0,10.3,0.54,0.38,0.12,1.3,9.2,5.2,18.6,0.8,0.0,11.9,16.8,,0.5,0.4,0.8,0.08,,-0.9,-0.1,-0.9,0.1
2009,17,1787,MIL,Milwaukee Bucks,31.0,NBA,PG,30.0,392.0,10.6,0.56,0.38,0.13,1.7,9.2,5.3,18.8,0.8,0.0,14.3,16.8,,0.4,0.2,0.6,0.07,,-0.5,-0.5,-1.0,0.1
2009,22,1787,ORL,Orlando Magic,31.0,NBA,PG,14.0,129.0,9.4,0.47,0.4,0.07,0.0,9.4,4.8,17.8,0.8,0.0,4.3,16.6,,0.1,0.2,0.3,0.09,,-1.9,1.1,-0.8,0.0
