NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
42,Alexis Ajinça,C,7-2,248,1988-05-06,FR,2,
50,Solomon Alabi,C,7-1,251,1988-03-21,NG,R,Florida State
13,David Andersen,PF,6-11,245,1980-06-23,AU,1,
3,Marcus Banks,PG,6-2,200,1981-11-19,US,7,UNLV
20,Leandro Barbosa,SG,6-3,194,1982-11-28,BR,7,
7,Andrea Bargnani,C,7-0,245,1985-10-26,IT,4,
5,Jerryd Bayless,PG,6-3,200,1988-08-20,US,2,Arizona
8,José Calderón,PG,6-3,200,1981-09-28,ES,5,
32,Ed Davis,PF,6-9,218,1989-06-05,US,R,UNC
10,DeMar DeRozan,SG,6-6,220,1989-08-07,US,1,USC
9,Joey Dorsey,C,6-8,268,1983-12-16,US,2,Memphis
12,Ronald Dupree,SF,6-7,209,1981-01-26,US,5,LSU
30,Reggie Evans,PF,6-8,245,1980-05-18,US,8,Iowa
2,Sundiata Gaines,PG,6-1,185,1986-04-18,US,1,Georgia
1,Jarrett Jack,PG,6-3,200,1983-10-28,US,5,Georgia Tech
15,Amir Johnson,PF,6-9,240,1987-05-01,US,5,
0,James Johnson,SF,6-7,240,1987-02-20,US,1,Wake Forest
12,Trey Johnson,SG,6-5,218,1984-08-30,US,1,"Alcorn State, Jackson State University"
11,Linas Kleiza,SF,6-8,245,1985-01-03,LT,4,Missouri
16,Peja Stojaković,SF,6-10,229,1977-06-09,HR,12,
24,Sonny Weems,SF,6-6,205,1986-07-08,US,2,Arkansas
14,Julian Wright,SF,6-8,225,1987-05-20,US,3,Kansas
