SEASON,TEAM ID,TEAM,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
2011,19,NOH,11,David Andersen,PF,6-11,245,1980-06-23,AU,1,
2011,19,NOH,1,Trevor Ariza,SF,6-8,215,1985-06-30,US,6,UCLA
2011,19,NOH,32,Jerryd Bayless,PG,6-3,200,1988-08-20,US,2,Arizona
2011,19,NOH,8,Marco Belinelli,SG,6-5,220,1986-03-25,IT,3,
2011,19,NOH,22,Patrick Ewing,SF,6-8,235,1984-05-20,US,R,"Indiana, Georgetown"
2011,19,NOH,34,Aaron Gray,C,7-0,270,1984-12-07,US,3,Pitt
2011,19,NOH,33,Willie Green,SG,6-4,200,1981-07-28,US,7,Detroit Mercy
2011,19,NOH,28,Didier Ilunga-Mbenga,C,7-0,245,1980-12-30,CD,6,
2011,19,NOH,2,Jarrett Jack,SG,6-3,200,1983-10-28,US,5,Georgia Tech
2011,19,NOH,24,Carl Landry,PF,6-9,248,1983-09-19,US,3,Purdue
2011,19,NOH,44,Pops Mensah-Bonsu,PF,6-9,240,1983-09-07,GB,3,George Washington
2011,19,NOH,50,Emeka Okafor,C,6-10,252,1982-09-28,US,6,UConn
2011,19,NOH,3,Chris Paul,PG,6-1,175,1985-05-06,US,5,Wake Forest
2011,19,NOH,6,Sasha Pavlovic,SG,6-8,220,1983-11-15,ME,7,
2011,19,NOH,20,Quincy Pondexter,SF,6-7,230,1988-03-10,US,R,Washington
2011,19,NOH,14,Jason Smith,C,7-0,240,1986-03-02,US,2,Colorado State
2011,19,NOH,16,Peja Stojakovic,SF,6-10,229,1977-06-09,HR,12,
2011,19,NOH,5,Marcus Thornton,SG,6-4,205,1987-06-05,US,1,LSU
2011,19,NOH,30,David West,PF,6-9,250,1980-08-29,US,7,Xavier
