Season,Tm,Player,Rank,Pts Won,Pts Max,Share,Type
2006,PHO,Steve Nash,1,924.0,1250,0.739,MVP
2006,CLE,LeBron James,2,688.0,1250,0.55,MVP
2006,DAL,Dirk Nowitzki,3,544.0,1250,0.435,MVP
2006,LAL,Kobe Bryant,4,483.0,1250,0.386,MVP
2006,DET,Chauncey Billups,5,430.0,1250,0.344,MVP
2006,MIA,Dwyane Wade,6,87.0,1250,0.07,MVP
2006,LAC,Elton Brand,7,50.0,1250,0.04,MVP
2006,SAS,Tim Duncan,8,33.0,1250,0.026,MVP
2006,SAS,Tony Parker,9,9.0,1250,0.007,MVP
2006,PHI,Allen Iverson,10T,1.0,1250,0.001,MVP
2006,PHO,Shawn Marion,10T,1.0,1250,0.001,MVP
