Season,Age,Tm,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
1990,23.0,HOU,NBA,PF,1.0,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.025,,-2.8,-0.5,-3.3,0.0
1996,29.0,IND,NBA,PF,1.0,3.0,37.4,1.0,0.0,0.0,0.0,38.0,20.5,0.0,0.0,0.0,0.0,15.9,,0.0,0.0,0.0,0.368,,14.2,2.3,16.5,0.0
