PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Anthony Davis,20.0,67,66.0,2358,522,1005,0.519,2,9,0.222,520,996,0.522,0.52,348,440,0.7909999999999999,207,466,673,105,89,189,109,200,1394
Eric Gordon,25.0,64,64.0,2057,356,817,0.436,101,258,0.391,255,559,0.456,0.498,175,223,0.785,30,135,165,208,74,12,134,114,988
Al-Farouq Aminu,23.0,80,65.0,2045,234,494,0.474,13,48,0.271,221,446,0.496,0.48700000000000004,91,137,0.664,129,367,496,114,82,38,88,147,572
Tyreke Evans,24.0,72,22.0,2028,391,897,0.436,21,95,0.221,370,802,0.461,0.44799999999999995,239,310,0.7709999999999999,76,265,341,363,84,21,175,155,1042
Brian Roberts,28.0,72,42.0,1667,244,581,0.42,64,178,0.36,180,403,0.447,0.475,125,133,0.94,17,119,136,234,43,7,95,132,677
Anthony Morrow,28.0,76,9.0,1426,238,520,0.45799999999999996,88,195,0.451,150,325,0.462,0.542,72,87,0.828,29,111,140,59,38,12,51,102,636
Austin Rivers,21.0,69,4.0,1339,192,474,0.405,36,99,0.364,156,375,0.41600000000000004,0.44299999999999995,110,173,0.636,26,103,129,160,45,9,77,134,530
Jrue Holiday,23.0,34,34.0,1143,203,454,0.447,30,77,0.39,173,377,0.45899999999999996,0.48,51,63,0.81,28,114,142,268,56,12,105,92,487
Greg Stiemsma,28.0,55,20.0,1007,70,122,0.574,0,1,0.0,70,121,0.579,0.574,19,32,0.594,72,154,226,36,35,57,44,169,159
Alexis Ajinça,25.0,56,30.0,951,136,249,0.546,0,1,0.0,136,248,0.5479999999999999,0.546,56,67,0.836,94,183,277,40,23,46,63,187,328
Jason Smith,27.0,31,27.0,830,131,282,0.465,0,0,,131,282,0.465,0.465,39,50,0.78,51,130,181,29,11,29,28,100,301
Ryan Anderson,25.0,22,14.0,795,155,354,0.43799999999999994,67,164,0.409,88,190,0.46299999999999997,0.532,59,62,0.9520000000000001,66,76,142,17,10,7,20,47,436
Darius Miller,23.0,45,7.0,723,73,166,0.44,25,77,0.325,48,89,0.539,0.515,29,36,0.8059999999999999,9,43,52,43,24,9,22,88,200
Jeff Withey,23.0,58,4.0,684,69,129,0.535,0,1,0.0,69,128,0.539,0.535,52,73,0.7120000000000001,49,101,150,26,15,50,20,73,190
Luke Babbitt,24.0,27,2.0,473,60,154,0.39,36,95,0.379,24,59,0.40700000000000003,0.506,14,18,0.778,18,70,88,29,7,11,15,52,170
Lou Amundson,31.0,18,0.0,184,16,32,0.5,0,0,,16,32,0.5,0.5,6,24,0.25,28,27,55,6,9,11,14,49,38
Lance Thomas,25.0,5,0.0,42,2,9,0.222,0,0,,2,9,0.222,0.222,2,4,0.5,2,5,7,3,0,0,2,4,6
Melvin Ely,35.0,2,0.0,27,3,6,0.5,0,0,,3,6,0.5,0.5,0,0,,0,1,1,0,0,1,0,5,6
James Southerland,23.0,3,0.0,27,5,12,0.41700000000000004,3,5,0.6,2,7,0.28600000000000003,0.542,1,2,0.5,0,8,8,0,1,2,1,3,14
Arinze Onuaku,26.0,3,0.0,25,1,4,0.25,0,0,,1,4,0.25,0.25,1,2,0.5,2,5,7,3,0,0,1,3,3
Josh Childress,30.0,4,0.0,24,0,0,,0,0,,0,0,,,0,0,,0,3,3,2,1,0,1,1,0
Team Totals,,82,,19855,3101,6761,0.45899999999999996,486,1303,0.373,2615,5458,0.479,0.495,1489,1936,0.769,933,2486,3419,1745,647,523,1129,1857,8177
