Season,Team ID,Team ABV,Team,W,L,W/L%,GB,PS/G,PA/G,SRS
1999,27,SAS,San Antonio Spurs,37,13,.740,—,92.8,84.7,7.12
1999,29,UTA,Utah Jazz,37,13,.740,—,93.3,86.8,5.54
1999,11,HOU,Houston Rockets,31,19,.620,6.0,94.2,91.9,1.39
1999,18,MIN,Minnesota Timberwolves,25,25,.500,12.0,92.9,92.6,-0.17
1999,7,DAL,Dallas Mavericks,19,31,.380,18.0,91.6,94.0,-2.50
1999,8,DEN,Denver Nuggets,14,36,.280,23.0,93.5,100.1,-6.67
1999,15,VAN,Vancouver Grizzlies,8,42,.160,29.0,88.9,97.5,-8.94
1999,25,POR,Portland Trail Blazers,35,15,.700,—,94.8,88.5,5.67
1999,14,LAL,Los Angeles Lakers,31,19,.620,4.0,99.0,96.0,2.68
1999,24,PHO,Phoenix Suns,27,23,.540,8.0,95.6,93.3,2.15
1999,26,SAC,Sacramento Kings,27,23,.540,8.0,100.2,100.6,-0.89
1999,21,SEA,Seattle Supersonics,25,25,.500,10.0,94.9,95.9,-1.43
1999,10,GSW,Golden State Warriors,21,29,.420,14.0,88.3,90.8,-2.63
1999,13,LAC,Los Angeles Clippers,9,41,.180,26.0,90.4,99.2,-8.94
